순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,파주시,임진각관광지,202009,122265,122265.0
2,경기도,파주시,헤이리예술마을,202009,63420,63420.0
3,경기도,파주시,벽초지수목원,202009,28499,28499.0
4,경기도,파주시,서서울컨트리클럽,202009,11620,11620.0
5,경기도,파주시,서원밸리골프클럽,202009,8183,8183.0
6,경기도,파주시,공릉관광지(하니랜드),202009,6455,6455.0
7,경기도,파주시,파주삼릉,202009,5895,5895.0
8,경기도,파주시,황희선생유적지,202009,5637,5637.0
9,경기도,파주시,율곡선생유적지,202009,4310,4310.0
10,경기도,파주시,베스트밸리,202009,2999,2999.0
11,경기도,파주시,우농타조농장,202009,2965,2965.0
12,경기도,파주시,경기미래교육 파주캠퍼스,202009,2870,2870.0
13,경기도,파주시,파주장릉,202009,2749,2749.0
14,경기도,파주시,소울원,202009,1975,1975.0
15,경기도,파주시,황포돛배,202009,1538,1538.0
16,경기도,파주시,제3땅굴,202009,529,529.0
17,경기도,파주시,통일전망대,202009,259,259.0
18,경기도,파주시,쇠꼴마을,202009,250,250.0
19,경기도,파주시,산머루농원,202009,110,110.0
20,경기도,파주시,영집궁시박물관,202009,71,71.0
21,경기도,파주시,두루뫼박물관,202009,38,38.0
