순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202011,99051,99051.0
2,경기도,파주시,헤이리예술마을,202011,20150,20150.0
3,경기도,파주시,벽초지수목원,202011,17969,17969.0
4,경기도,파주시,서서울컨트리클럽,202011,9755,9755.0
5,경기도,파주시,율곡선생유적지,202011,7593,7593.0
6,경기도,파주시,통일전망대,202011,7342,7342.0
7,경기도,파주시,공릉관광지(하니랜드),202011,7245,7245.0
8,경기도,파주시,경기미래교육 파주캠퍼스,202011,6699,6699.0
9,경기도,파주시,서원밸리골프클럽,202011,5318,5318.0
10,경기도,파주시,파주삼릉,202011,4616,4616.0
11,경기도,파주시,황희선생유적지,202011,4612,4612.0
12,경기도,파주시,제3땅굴,202011,3013,3013.0
13,경기도,파주시,베스트밸리,202011,2865,2865.0
14,경기도,파주시,소울원,202011,2156,2156.0
15,경기도,파주시,파주장릉,202011,1831,1831.0
16,경기도,파주시,우농타조농장,202011,1655,1655.0
17,경기도,파주시,황포돛배,202011,1184,1184.0
18,경기도,파주시,산머루농원,202011,834,834.0
19,경기도,파주시,쇠꼴마을,202011,250,250.0
20,경기도,파주시,영집궁시박물관,202011,150,150.0
21,경기도,파주시,두루뫼박물관,202011,112,112.0
