유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,59.7,8.5
음식,음식점기타,59.7,0.2
음식,전문음식,59.7,19.5
음식,카페/찻집,59.7,28.3
음식,한식,59.7,33.6
음식,외국식,59.7,9.8
문화관광,기타문화관광지,12.6,8.1
문화관광,도시/지역문화관광,12.6,0.1
문화관광,도시공원,12.6,47.9
문화관광,랜드마크관광,12.6,3.0
문화관광,레저스포츠시설,12.6,1.8
문화관광,복합관광시설,12.6,10.4
문화관광,전시시설,12.6,6.9
문화관광,테마공원,12.6,4.7
문화관광,공연시설,12.6,17.1
기타관광,기타관광,11.4,100.0
레저스포츠,기타레저스포츠,7.0,2.5
레저스포츠,육상레저스포츠,7.0,92.8
레저스포츠,수상레저스포츠,7.0,4.6
숙박,캠핑,3.3,46.8
숙박,호텔,3.3,26.7
숙박,펜션/민박,3.3,0.1
숙박,콘도미니엄,3.3,1.0
숙박,모텔,3.3,25.1
숙박,기타숙박,3.3,0.3
자연관광,자연경관(산),2.3,39.0
자연관광,자연경관(하천/해양),2.3,3.2
자연관광,자연공원,2.3,57.8
역사관광,역사유물,2.1,0.3
역사관광,역사유적지,2.1,35.0
역사관광,종교성지,2.1,64.8
쇼핑,시장,0.9,48.5
쇼핑,쇼핑몰,0.9,14.1
쇼핑,기타쇼핑시설,0.9,37.4
체험관광,농/산/어촌체험,0.8,97.0
체험관광,웰니스관광,0.8,3.0
