유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,전문음식,76.3,24.6
음식,간이음식,76.3,8.5
음식,외국식,76.3,10.8
음식,음식점기타,76.3,0.8
음식,카페/찻집,76.3,16.5
음식,한식,76.3,38.8
문화관광,기타문화관광지,14.5,2.5
문화관광,도시공원,14.5,65.7
문화관광,레저스포츠시설,14.5,5.9
문화관광,전시시설,14.5,1.8
문화관광,테마공원,14.5,2.3
문화관광,공연시설,14.5,21.9
숙박,모텔,5.3,17.2
숙박,캠핑,5.3,1.0
숙박,콘도미니엄,5.3,2.4
숙박,호스텔,5.3,1.8
숙박,호텔,5.3,77.6
레저스포츠,수상레저스포츠,1.5,61.0
레저스포츠,육상레저스포츠,1.5,39.0
쇼핑,쇼핑몰,1.2,72.8
쇼핑,기타쇼핑시설,1.2,27.2
기타관광,기타관광,0.8,100.0
역사관광,종교성지,0.4,92.3
역사관광,역사유적지,0.4,7.7
자연관광,자연경관(산),0.1,100.0
체험관광,농/산/어촌체험,0.0,100.0
