유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,13.8,38.5
기타관광,기타관광,13.8,61.5
레저스포츠,기타레저스포츠,8.6,6.3
레저스포츠,수상레저스포츠,8.6,3.0
레저스포츠,육상레저스포츠,8.6,90.7
문화관광,기타문화관광지,9.9,4.8
문화관광,도시/지역문화관광,9.9,0.1
문화관광,도시공원,9.9,39.6
문화관광,랜드마크관광,9.9,6.0
문화관광,복합관광시설,9.9,7.8
문화관광,테마공원,9.9,18.5
문화관광,레저스포츠시설,9.9,1.8
문화관광,공연시설,9.9,13.8
문화관광,전시시설,9.9,7.7
쇼핑,쇼핑몰,17.3,94.3
쇼핑,시장,17.3,4.4
쇼핑,기타쇼핑시설,17.3,1.3
숙박,기타숙박,5.0,0.0
숙박,모텔,5.0,32.1
숙박,펜션/민박,5.0,10.9
숙박,호스텔,5.0,2.6
숙박,호텔,5.0,24.6
숙박,캠핑,5.0,29.9
역사관광,역사유물,1.8,0.6
역사관광,역사유적지,1.8,44.6
역사관광,종교성지,1.8,54.8
음식,간이음식,42.3,10.1
음식,외국식,42.3,8.2
음식,음식점기타,42.3,0.4
음식,전문음식,42.3,17.5
음식,한식,42.3,36.1
음식,카페/찻집,42.3,27.8
자연관광,자연경관(하천/해양),1.0,22.0
자연관광,자연경관(산),1.0,34.9
자연관광,자연공원,1.0,43.1
체험관광,농/산/어촌체험,0.3,70.4
체험관광,웰니스관광,0.3,25.7
체험관광,공예체험,0.3,4.0
