업종중분류명,업체명,방문자수,순위
음식,스타벅스/파주야당DT점,36.0,1
음식,더티트렁크,21.0,2
음식,곤트란쉐리에/파주점,21.0,3
음식,뮌스터담,16.0,4
음식,스타벅스/파주야당역점,12.0,5
음식,앤드테라스/파주점,12.0,6
음식,평양손만두/파주운정점,11.0,7
음식,취선향/본점 [중식],10.0,8
음식,키누카누/파주야당점,10.0,9
음식,파주뼈칼국수교하제면소,10.0,10
쇼핑,신세계프리미엄아울렛/파주점,328.0,1
쇼핑,롯데프리미엄아울렛/파주점,274.0,2
쇼핑,이마트/파주운정점,102.0,3
쇼핑,홈플러스/파주운정점,90.0,4
쇼핑,이마트/파주점,23.0,5
쇼핑,운정가구타운,8.0,6
쇼핑,홈플러스/파주문산점,6.0,7
쇼핑,금촌전통시장,3.0,8
쇼핑,금촌통일시장,2.0,9
쇼핑,문산자유시장,1.0,10
문화관광,운정호수공원,39.0,1
문화관광,CGV/파주야당,23.0,2
문화관광,메가박스/파주운정,12.0,3
문화관광,평화누리,9.0,4
문화관광,롯데시네마/파주운정,7.0,5
문화관광,콰트로박스,6.0,6
문화관광,CJ ENM스튜디오센터,4.0,7
문화관광,교하체육공원,4.0,8
문화관광,새암공원,4.0,9
문화관광,솔가람아트홀,3.0,10
