순위,분류,관련 키워드,언급건수
1,휴식/힐링,힐링,1232
2,레포츠,캠핑,1190
3,휴식/힐링,나들이,879
4,레포츠,빠지,807
5,레포츠,등산,437
6,기타,투어,329
7,기타,데이트코스,242
8,레포츠,산행,195
9,휴식/힐링,불멍,185
10,레포츠,낚시,151
11,레포츠,스키,134
12,레포츠,글램핑,133
13,휴식/힐링,생태관광,123
14,기타,해외여행,113
14,미식,카페투어,113
16,휴식/힐링,휴양,110
17,레포츠,글라이더,105
18,휴식/힐링,즐길거리,100
18,휴식/힐링,피크닉,100
20,기타,부산여행,98
21,미식,먹부림,88
22,기타,답사,86
23,레포츠,감성캠핑,79
24,기타,도보여행,73
25,휴식/힐링,호캉스,70
26,미식,맛집탐방,68
27,레포츠,캠크닉,57
28,레포츠,레저,56
29,레포츠,차박,46
30,휴식/힐링,겨울여행,42
31,휴식/힐링,드라이브코스,36
32,휴식/힐링,눈꽃여행,31
32,미식,빵지순례,31
34,레포츠,백패킹,29
34,미식,고기파티,29
36,미식,맛집투어,26
36,휴식/힐링,재충전,26
38,레포츠,오토캠핑,24
38,휴식/힐링,테라피,24
38,레포츠,클라이밍,24
41,레포츠,캠프파이어,23
42,휴식/힐링,노을뷰,22
42,휴식/힐링,신혼여행,22
42,레포츠,서핑,22
42,체험,승마체험,22
42,레포츠,트래킹,22
47,레포츠,트레킹,21
47,휴식/힐링,물멍,21
47,체험,시티투어,21
50,레포츠,오프로드,20
50,체험,수학여행,20
52,레포츠,게이트볼,19
52,레포츠,카라반캠핑,19
52,기타,일본여행,19
55,휴식/힐링,야영,17
56,레포츠,카약,16
57,기타,유럽여행,15
58,기타,추억여행,13
58,레포츠,캠핑족,13
58,레포츠,짚라인,13
61,체험,딸기체험,12
62,체험,동물체험,11
62,미식,바베큐파티,11
62,레포츠,수상레저,11
65,레포츠,레포츠,10
65,기타,제주여행,10
67,레포츠,캠프닉,9
67,레포츠,산악자전거,9
67,휴식/힐링,일광욕,9
70,휴식/힐링,단풍놀이,8
70,휴식/힐링,우정여행,8
70,레포츠,골프투어,8
70,체험,템플스테이,8
74,휴식/힐링,힐링여행,7
74,미식,먹킷리스트,7
74,체험,동물먹이주기체험,7
74,체험,농촌체험,7
74,체험,먹이주기체험,7
74,체험,갯벌체험,7
80,기타,제주도여행,6
80,체험,한옥체험,6
80,체험,미술체험,6
80,휴식/힐링,가을여행,6
80,레포츠,노지캠핑,6
80,레포츠,골프여행,6
80,체험,농장체험,6
80,체험,농사체험,6
80,체험,도자기체험,6
80,체험,vr체험,6
80,기타,테마여행,6
91,미식,먹방여행,5
91,체험,숲체험,5
91,레포츠,래프팅,5
91,미식,빵투어,5
91,체험,쿠킹클래스,5
91,레포츠,하이킹,5
91,체험,동물먹이체험,5
98,레포츠,패들보드,4
98,체험,물레체험,4
98,레포츠,수상자전거,4
98,레포츠,캠핑여행,4
98,체험,전통놀이체험,4
98,휴식/힐링,일몰뷰,4
98,레포츠,산악오토바이,4
98,레포츠,패러글라이딩,4
98,체험,염색체험,4
98,기타,기차여행,4
98,체험,민속놀이체험,4
98,휴식/힐링,허니문,4
98,레포츠,스노우보드,4
111,체험,교복체험,3
111,체험,달고나체험,3
111,레포츠,케이빙,3
111,레포츠,프리다이빙,3
111,휴식/힐링,숲멍,3
111,레포츠,웨이크보드,3
111,체험,오프로드체험,3
111,체험,커피체험,3
111,체험,낚시체험,3
111,레포츠,모토캠핑,3
111,레포츠,번지점프,3
111,레포츠,오프로드라이딩,3
111,레포츠,해양레저,3
111,휴식/힐링,근교여행,3
111,휴식/힐링,산멍,3
111,레포츠,레저스포츠,3
111,기타,졸업여행,3
111,레포츠,스쿼시,3
111,체험,도예체험,3
111,체험,목장체험,3
111,체험,수확체험,3
132,체험,공방체험,2
132,레포츠,스킨스쿠버,2
132,휴식/힐링,바다멍,2
132,휴식/힐링,감성여행,2
132,기타,미국여행,2
132,레포츠,스노쿨링,2
132,휴식/힐링,온천여행,2
132,레포츠,스쿠버,2
132,레포츠,스쿠버다이빙,2
132,체험,생태체험,2
132,기타,역사여행,2
132,미식,맥주파티,2
132,체험,요리체험,2
132,체험,족욕체험,2
132,레포츠,스노클링,2
132,휴식/힐링,태교여행,2
132,기타,소싸움,2
132,레포츠,암벽등반,2
132,레포츠,ssi,2
132,체험,목공체험,2
132,레포츠,루어낚시,2
