광역지자체명,기초지자체명,기초지자체별 거주 방문자 수,기초지자체별 거주 방문자 비율
강원특별자치도,춘천시,3,12.0
강원특별자치도,원주시,4,16.0
강원특별자치도,강릉시,1,4.0
강원특별자치도,속초시,2,8.0
강원특별자치도,홍천군,4,16.0
강원특별자치도,횡성군,2,8.0
강원특별자치도,철원군,6,24.0
강원특별자치도,인제군,2,8.0
강원특별자치도,양양군,1,4.0
경기도,수원시 장안구,9,0.2
경기도,수원시 권선구,26,0.5
경기도,수원시 팔달구,17,0.3
경기도,수원시 영통구,18,0.4
경기도,성남시 수정구,8,0.2
경기도,성남시 중원구,14,0.3
경기도,성남시 분당구,33,0.7
경기도,의정부시,104,2.1
경기도,안양시 만안구,22,0.4
경기도,안양시 동안구,23,0.5
경기도,부천시,182,3.7
경기도,광명시,52,1.1
경기도,평택시,49,1.0
경기도,동두천시,30,0.6
경기도,안산시 상록구,17,0.3
경기도,안산시 단원구,25,0.5
경기도,고양시 덕양구,895,18.2
경기도,고양시 일산동구,1068,21.8
경기도,고양시 일산서구,1017,20.7
경기도,과천시,2,0.0
경기도,구리시,37,0.8
경기도,남양주시,71,1.4
경기도,오산시,25,0.5
경기도,시흥시,116,2.4
경기도,군포시,27,0.6
경기도,의왕시,14,0.3
경기도,하남시,45,0.9
경기도,용인시 처인구,20,0.4
경기도,용인시 기흥구,22,0.4
경기도,용인시 수지구,19,0.4
경기도,이천시,23,0.5
경기도,안성시,10,0.2
경기도,김포시,393,8.0
경기도,화성시,93,1.9
경기도,광주시,25,0.5
경기도,양주시,228,4.6
경기도,포천시,33,0.7
경기도,여주시,12,0.2
경기도,연천군,74,1.5
경기도,가평군,8,0.2
경기도,양평군,2,0.0
경상남도,창원시 의창구,1,14.3
경상남도,창원시 마산합포구,1,14.3
경상남도,창원시 마산회원구,1,14.3
경상남도,진주시,1,14.3
경상남도,통영시,2,28.6
경상남도,김해시,1,14.3
경상북도,김천시,1,3.6
경상북도,구미시,15,53.6
경상북도,영주시,2,7.1
경상북도,상주시,1,3.6
경상북도,문경시,4,14.3
경상북도,청도군,1,3.6
경상북도,고령군,1,3.6
경상북도,칠곡군,3,10.7
광주광역시,서구,1,50.0
광주광역시,남구,1,50.0
대구광역시,중구,1,11.1
대구광역시,서구,3,33.3
대구광역시,달서구,4,44.4
대구광역시,달성군,1,11.1
대전광역시,중구,1,7.7
대전광역시,서구,4,30.8
대전광역시,유성구,6,46.2
대전광역시,대덕구,2,15.4
부산광역시,동래구,1,100.0
서울특별시,종로구,40,2.0
서울특별시,중구,55,2.7
서울특별시,용산구,56,2.8
서울특별시,성동구,33,1.6
서울특별시,광진구,31,1.5
서울특별시,동대문구,33,1.6
서울특별시,중랑구,39,1.9
서울특별시,성북구,56,2.8
서울특별시,강북구,27,1.3
서울특별시,도봉구,36,1.8
서울특별시,노원구,64,3.2
서울특별시,은평구,166,8.3
서울특별시,서대문구,114,5.7
서울특별시,마포구,266,13.3
서울특별시,양천구,99,4.9
서울특별시,강서구,293,14.6
서울특별시,구로구,79,3.9
서울특별시,금천구,42,2.1
서울특별시,영등포구,151,7.5
서울특별시,동작구,55,2.7
서울특별시,관악구,31,1.5
서울특별시,서초구,66,3.3
서울특별시,강남구,91,4.5
서울특별시,송파구,49,2.4
서울특별시,강동구,34,1.7
인천광역시,중구,60,9.6
인천광역시,동구,7,1.1
인천광역시,미추홀구,42,6.7
인천광역시,연수구,50,8.0
인천광역시,남동구,84,13.4
인천광역시,부평구,92,14.6
인천광역시,계양구,91,14.5
인천광역시,서구,189,30.1
인천광역시,강화군,13,2.1
전라남도,순천시,1,25.0
전라남도,나주시,1,25.0
전라남도,구례군,1,25.0
전라남도,무안군,1,25.0
전북특별자치도,전주시 완산구,1,5.3
전북특별자치도,전주시 덕진구,1,5.3
전북특별자치도,군산시,4,21.1
전북특별자치도,익산시,4,21.1
전북특별자치도,남원시,1,5.3
전북특별자치도,김제시,2,10.5
전북특별자치도,완주군,1,5.3
전북특별자치도,무주군,1,5.3
전북특별자치도,임실군,3,15.8
전북특별자치도,부안군,1,5.3
충청남도,천안시 동남구,9,9.7
충청남도,천안시 서북구,54,58.1
충청남도,공주시,1,1.1
충청남도,보령시,2,2.2
충청남도,아산시,11,11.8
충청남도,서산시,4,4.3
충청남도,논산시,1,1.1
충청남도,계룡시,2,2.2
충청남도,당진시,3,3.2
충청남도,부여군,1,1.1
충청남도,홍성군,2,2.2
충청남도,예산군,2,2.2
충청남도,태안군,1,1.1
충청북도,청주시 상당구,1,2.5
충청북도,청주시 서원구,2,5.0
충청북도,청주시 흥덕구,2,5.0
충청북도,청주시 청원구,5,12.5
충청북도,충주시,4,10.0
충청북도,제천시,1,2.5
충청북도,옥천군,1,2.5
충청북도,영동군,4,10.0
충청북도,증평군,1,2.5
충청북도,진천군,4,10.0
충청북도,괴산군,4,10.0
충청북도,음성군,10,25.0
충청북도,단양군,1,2.5
