업종중분류명,업체명,방문자수,순위
음식,포레스트아웃팅스/일산,36.0,1
음식,일산칼국수/본점,31.0,2
음식,맥도날드/중산DT점,25.0,3
음식,설문커피,20.0,4
음식,메밀꽃이피었습니다/일산본점,16.0,5
음식,양수면옥,15.0,6
음식,등촌샤브칼국수/일산본점,15.0,7
음식,부페파크/일산점,14.0,8
음식,여자만숯불장어구이,12.0,9
음식,백제원/일산점,12.0,10
쇼핑,코스트코홀세일/일산점,153.0,1
쇼핑,라페스타,140.0,2
쇼핑,벨라시타,74.0,3
쇼핑,롯데백화점/일산점,51.0,4
쇼핑,뉴코아아울렛/일산점,46.0,5
쇼핑,이마트/풍산점,45.0,6
쇼핑,롯데아울렛/고양터미널점,22.0,7
쇼핑,홈플러스/일산점,16.0,8
쇼핑,홈플러스/고양터미널점,11.0,9
쇼핑,해태쇼핑타운,11.0,10
문화관광,일산호수공원,31.0,1
문화관광,CGV/일산,24.0,2
문화관광,고양아람누리,16.0,3
문화관광,일산문화광장,6.0,4
문화관광,롯데시네마/라페스타,6.0,5
문화관광,중산체육공원,6.0,6
문화관광,지영체육공원,5.0,7
문화관광,와글아이/일산차움라이프센터점,2.0,8
문화관광,헬로방방/마두역점,2.0,9
문화관광,고양시공원관리사업소,1.0,10
