유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,14.7,38.1
기타관광,기타관광,14.7,61.9
레저스포츠,기타레저스포츠,5.3,8.0
레저스포츠,수상레저스포츠,5.3,7.9
레저스포츠,육상레저스포츠,5.3,84.1
문화관광,기타문화관광지,10.1,4.7
문화관광,도시/지역문화관광,10.1,0.0
문화관광,도시공원,10.1,34.8
문화관광,랜드마크관광,10.1,5.8
문화관광,복합관광시설,10.1,7.2
문화관광,테마공원,10.1,16.2
문화관광,레저스포츠시설,10.1,2.2
문화관광,공연시설,10.1,20.0
문화관광,전시시설,10.1,9.1
쇼핑,쇼핑몰,19.6,93.8
쇼핑,시장,19.6,4.5
쇼핑,기타쇼핑시설,19.6,1.6
숙박,기타숙박,4.7,0.0
숙박,모텔,4.7,27.1
숙박,펜션/민박,4.7,10.5
숙박,호스텔,4.7,2.9
숙박,호텔,4.7,29.0
숙박,캠핑,4.7,30.5
역사관광,역사유물,1.6,0.5
역사관광,역사유적지,1.6,27.3
역사관광,종교성지,1.6,72.2
음식,간이음식,42.8,12.3
음식,외국식,42.8,6.2
음식,음식점기타,42.8,0.3
음식,전문음식,42.8,15.7
음식,한식,42.8,28.4
음식,카페/찻집,42.8,37.1
자연관광,자연경관(하천/해양),0.9,36.6
자연관광,자연경관(산),0.9,42.0
자연관광,자연공원,0.9,21.4
체험관광,농/산/어촌체험,0.3,64.9
체험관광,웰니스관광,0.3,33.6
체험관광,공예체험,0.3,1.6
