지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,1041.0,2.89
41113,수원시 권선구,1295.0,2.86
41115,수원시 팔달구,676.0,2.62
41117,수원시 영통구,1072.0,2.95
41131,성남시 수정구,1167.0,2.9
41133,성남시 중원구,1248.0,2.73
41135,성남시 분당구,1043.0,3.03
41150,의정부시,1590.0,2.84
41171,안양시 만안구,1136.0,2.78
41173,안양시 동안구,1222.0,2.94
41190,부천시,1507.0,2.9
41210,광명시,866.0,2.82
41220,평택시,2549.0,3.0
41250,동두천시,1576.0,2.76
41271,안산시 상록구,1834.0,2.87
41273,안산시 단원구,1272.0,2.76
41281,고양시 덕양구,1064.0,2.87
41285,고양시 일산동구,1003.0,2.95
41287,고양시 일산서구,1029.0,2.88
41290,과천시,862.0,3.11
41310,구리시,714.0,2.81
41360,남양주시,1470.0,2.81
41370,오산시,1525.0,2.9
41390,시흥시,1370.0,2.83
41410,군포시,1477.0,2.95
41430,의왕시,783.0,2.81
41450,하남시,885.0,2.86
41461,용인시 처인구,1244.0,2.75
41463,용인시 기흥구,1236.0,2.95
41465,용인시 수지구,1383.0,2.96
41480,파주시,1470.0,2.86
41500,이천시,1603.0,2.92
41550,안성시,1245.0,2.82
41570,김포시,1497.0,2.9
41590,화성시,1731.0,2.87
41610,광주시,1344.0,2.76
41630,양주시,1301.0,2.78
41650,포천시,1318.0,2.55
41670,여주시,1550.0,2.76
41800,연천군,1545.0,2.59
41820,가평군,1180.0,2.27
41830,양평군,1002.0,2.48
