광역지자체명,기초지자체명,기초지자체별 거주 방문자 수,기초지자체별 거주 방문자 비율
강원특별자치도,춘천시,5,14.7
강원특별자치도,원주시,8,23.5
강원특별자치도,강릉시,4,11.8
강원특별자치도,속초시,2,5.9
강원특별자치도,홍천군,3,8.8
강원특별자치도,평창군,1,2.9
강원특별자치도,정선군,1,2.9
강원특별자치도,철원군,4,11.8
강원특별자치도,인제군,3,8.8
강원특별자치도,양양군,3,8.8
경기도,수원시 장안구,12,0.3
경기도,수원시 권선구,21,0.5
경기도,수원시 팔달구,10,0.3
경기도,수원시 영통구,24,0.6
경기도,성남시 수정구,10,0.3
경기도,성남시 중원구,8,0.2
경기도,성남시 분당구,21,0.5
경기도,의정부시,88,2.2
경기도,안양시 만안구,11,0.3
경기도,안양시 동안구,27,0.7
경기도,부천시,155,3.9
경기도,광명시,37,0.9
경기도,평택시,25,0.6
경기도,동두천시,15,0.4
경기도,안산시 상록구,22,0.6
경기도,안산시 단원구,19,0.5
경기도,고양시 덕양구,762,19.2
경기도,고양시 일산동구,826,20.8
경기도,고양시 일산서구,867,21.9
경기도,과천시,4,0.1
경기도,구리시,27,0.7
경기도,남양주시,67,1.7
경기도,오산시,16,0.4
경기도,시흥시,64,1.6
경기도,군포시,25,0.6
경기도,의왕시,7,0.2
경기도,하남시,24,0.6
경기도,용인시 처인구,12,0.3
경기도,용인시 기흥구,23,0.6
경기도,용인시 수지구,18,0.5
경기도,이천시,14,0.4
경기도,안성시,6,0.2
경기도,김포시,330,8.3
경기도,화성시,69,1.7
경기도,광주시,20,0.5
경기도,양주시,184,4.6
경기도,포천시,25,0.6
경기도,여주시,12,0.3
경기도,연천군,50,1.3
경기도,가평군,4,0.1
경기도,양평군,4,0.1
경상남도,밀양시,1,50.0
경상남도,함안군,1,50.0
경상북도,포항시 북구,2,8.7
경상북도,김천시,1,4.3
경상북도,구미시,9,39.1
경상북도,문경시,5,21.7
경상북도,청도군,1,4.3
경상북도,성주군,1,4.3
경상북도,칠곡군,4,17.4
광주광역시,동구,1,100.0
대구광역시,북구,2,66.7
대구광역시,군위군,1,33.3
대전광역시,동구,1,12.5
대전광역시,서구,1,12.5
대전광역시,유성구,3,37.5
대전광역시,대덕구,3,37.5
부산광역시,부산진구,1,50.0
부산광역시,강서구,1,50.0
서울특별시,종로구,29,1.7
서울특별시,중구,23,1.3
서울특별시,용산구,56,3.2
서울특별시,성동구,26,1.5
서울특별시,광진구,39,2.3
서울특별시,동대문구,14,0.8
서울특별시,중랑구,26,1.5
서울특별시,성북구,36,2.1
서울특별시,강북구,20,1.2
서울특별시,도봉구,41,2.4
서울특별시,노원구,43,2.5
서울특별시,은평구,191,11.1
서울특별시,서대문구,73,4.2
서울특별시,마포구,229,13.3
서울특별시,양천구,103,6.0
서울특별시,강서구,241,14.0
서울특별시,구로구,72,4.2
서울특별시,금천구,31,1.8
서울특별시,영등포구,130,7.5
서울특별시,동작구,51,3.0
서울특별시,관악구,39,2.3
서울특별시,서초구,74,4.3
서울특별시,강남구,75,4.3
서울특별시,송파구,47,2.7
서울특별시,강동구,18,1.0
울산광역시,중구,1,33.3
울산광역시,북구,2,66.7
인천광역시,중구,20,3.9
인천광역시,동구,4,0.8
인천광역시,미추홀구,40,7.8
인천광역시,연수구,50,9.7
인천광역시,남동구,73,14.2
인천광역시,부평구,91,17.7
인천광역시,계양구,82,16.0
인천광역시,서구,144,28.0
인천광역시,강화군,10,1.9
전북특별자치도,전주시 완산구,2,11.1
전북특별자치도,전주시 덕진구,2,11.1
전북특별자치도,군산시,8,44.4
전북특별자치도,익산시,1,5.6
전북특별자치도,정읍시,2,11.1
전북특별자치도,무주군,1,5.6
전북특별자치도,고창군,2,11.1
충청남도,천안시 동남구,3,6.7
충청남도,천안시 서북구,12,26.7
충청남도,공주시,3,6.7
충청남도,보령시,1,2.2
충청남도,아산시,7,15.6
충청남도,서산시,1,2.2
충청남도,논산시,1,2.2
충청남도,당진시,4,8.9
충청남도,서천군,1,2.2
충청남도,홍성군,7,15.6
충청남도,예산군,5,11.1
충청북도,청주시 상당구,1,3.2
충청북도,청주시 흥덕구,1,3.2
충청북도,청주시 청원구,5,16.1
충청북도,충주시,12,38.7
충청북도,제천시,1,3.2
충청북도,진천군,2,6.5
충청북도,괴산군,5,16.1
충청북도,음성군,4,12.9
