업종중분류명,업체명,방문자수,순위
음식,일산칼국수/본점,38.0,1
음식,포레스트아웃팅스/일산,21.0,2
음식,맥도날드/중산DT점,18.0,3
음식,설문커피,15.0,4
음식,가나안덕/일산본점,15.0,5
음식,애니골,9.0,6
음식,창고43/일산점,9.0,7
음식,쿠우쿠우/일산호수공원점,9.0,8
음식,진밭국수,8.0,9
음식,훈장골,8.0,10
쇼핑,코스트코홀세일/일산점,105.0,1
쇼핑,라페스타,104.0,2
쇼핑,이마트/풍산점,45.0,3
쇼핑,롯데백화점/일산점,43.0,4
쇼핑,벨라시타,38.0,5
쇼핑,뉴코아아울렛/일산점,35.0,6
쇼핑,이마트/일산점,19.0,7
쇼핑,홈플러스/일산점,16.0,8
쇼핑,홈플러스/고양터미널점,13.0,9
쇼핑,롯데아울렛/고양터미널점,12.0,10
문화관광,일산호수공원,46.0,1
문화관광,CGV/일산,10.0,2
문화관광,와글아이/일산차움라이프센터점,5.0,3
문화관광,롯데시네마/라페스타,5.0,4
문화관광,고양아람누리,4.0,5
문화관광,중산체육공원,2.0,6
문화관광,메가박스/일산벨라시타,2.0,7
문화관광,일산풋볼파크,2.0,8
문화관광,메가박스/백석,2.0,9
문화관광,안골공원,1.0,10
