유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,14.6,36.5
기타관광,기타관광,14.6,63.5
레저스포츠,기타레저스포츠,5.8,7.8
레저스포츠,수상레저스포츠,5.8,4.7
레저스포츠,육상레저스포츠,5.8,87.5
문화관광,기타문화관광지,9.6,4.9
문화관광,도시/지역문화관광,9.6,0.0
문화관광,도시공원,9.6,41.0
문화관광,랜드마크관광,9.6,6.4
문화관광,복합관광시설,9.6,6.4
문화관광,테마공원,9.6,13.9
문화관광,레저스포츠시설,9.6,2.3
문화관광,공연시설,9.6,15.4
문화관광,전시시설,9.6,9.8
쇼핑,쇼핑몰,18.2,94.2
쇼핑,시장,18.2,4.1
쇼핑,기타쇼핑시설,18.2,1.7
숙박,기타숙박,4.7,0.0
숙박,모텔,4.7,29.0
숙박,펜션/민박,4.7,11.0
숙박,호스텔,4.7,2.9
숙박,호텔,4.7,29.0
숙박,캠핑,4.7,28.0
역사관광,역사유물,1.5,0.6
역사관광,역사유적지,1.5,29.1
역사관광,종교성지,1.5,70.4
음식,간이음식,44.4,12.4
음식,외국식,44.4,6.6
음식,음식점기타,44.4,0.2
음식,전문음식,44.4,15.2
음식,한식,44.4,28.2
음식,카페/찻집,44.4,37.3
자연관광,자연경관(하천/해양),0.9,31.4
자연관광,자연경관(산),0.9,44.1
자연관광,자연공원,0.9,24.6
체험관광,농/산/어촌체험,0.3,69.9
체험관광,웰니스관광,0.3,25.7
체험관광,공예체험,0.3,4.4
