순위,분류,관련 키워드,언급건수
1,기타가족,가족,2050
2,친구,친구,1957
3,회사동료,직원,1269
4,기타가족,엄마,1139
5,싱글,혼자,943
6,친구,친구들,913
7,부모님,부모,750
8,배우자,남편,672
9,부모님,부모님,573
10,부모님,아빠,538
11,기타가족,가정,492
12,친구,지인,467
12,기타가족,언니,467
14,기타가족,오빠,420
15,자녀,아들,418
16,연인,커플,415
17,자녀,학생,395
18,기타가족,동생,363
19,자녀,애들,338
20,연인,연인,323
21,연인,남자친구,278
22,회사동료,대리,256
23,부모님,할머니,255
24,자녀,청소년,240
25,친구,프렌,212
26,기타가족,동서,211
27,자녀,자녀,201
28,기타가족,이모,200
29,회사동료,직원들,199
30,배우자,신랑,193
31,부모님,어머니,190
32,싱글,혼자서,182
33,부모님,아버지,171
34,배우자,아내,151
35,자녀,딸,125
36,배우자,남편이랑,122
36,학생,초등학생,122
38,기타가족,조카,118
38,싱글,홀로,118
40,학생,대학생,112
41,기타가족,장인,104
42,부모님,할아버지,100
43,부모님,어머님,96
44,연인,남친,91
45,배우자,와이프,88
46,회사동료,동료,87
46,부모님,엄마아빠,87
48,연인,여자친구,86
49,기타가족,형제,84
50,기타가족,식구,83
51,싱글,싱글,82
52,기타가족,막내,80
53,배우자,부인,78
54,기타가족,누나,75
55,부모님,엄빠,73
56,학생,초딩,72
56,자녀,자식,72
58,친구,칭구,69
59,자녀,우리아이,68
60,기타가족,친척,61
61,기타가족,시댁,54
62,회사동료,부장,53
63,기타가족,사촌,52
64,기타가족,패밀리,51
64,자녀,장남,51
66,학생,고등학생,49
66,자녀,딸아이,49
66,부모님,아버님,49
69,기타가족,고모,46
70,기타가족,장모,44
71,기타가족,형,42
72,연인,남친이,41
72,배우자,배우자,41
74,기타가족,손자,40
75,학생,중학생,39
75,기타가족,효자,39
75,회사동료,임원,39
78,기타가족,이모님,37
79,기타가족,자매,35
79,기타가족,사위,35
81,배우자,신부,34
82,부모님,아부지,33
83,기타가족,온가족,32
83,학생,고딩,32
83,기타가족,남매,32
86,싱글,나혼자,31
87,기타가족,남동생,30
87,기타가족,며느리,30
87,학생,고3,30
90,싱글,나홀로,29
90,자녀,따님,29
92,기타가족,형부,28
92,부모님,시부,28
92,기타가족,삼촌,28
92,친구,절친,28
96,부모님,친정엄마,27
96,자녀,아드님,27
98,배우자,서방,26
99,자녀,큰아들,25
99,부모님,외할머니,25
99,부모님,시어머니,25
102,기타가족,여동생,24
102,자녀,우리딸,24
104,연인,여친,23
104,자녀,딸래미,23
106,기타가족,형님,22
106,자녀,장녀,22
106,친구,동창,22
106,부모님,모녀,22
110,회사동료,사원,21
110,기타가족,차남,21
110,자녀,우리애,21
113,부모님,시부모,20
113,부모님,울엄마,20
115,자녀,큰딸,19
115,연인,애인,19
115,부모님,아비,19
118,기타가족,사촌동생,18
118,자녀,큰아이,18
118,회사동료,차장,18
121,자녀,워킹맘,17
121,회사동료,직장동료,17
121,부모님,장모님,17
121,자녀,딸램,17
125,자녀,울애,16
125,부모님,할머님,16
125,자녀,첫째아들,16
125,기타가족,막둥이,16
125,학생,중딩,16
125,부모님,할무니,16
131,부모님,어무니,15
131,배우자,남표니,15
131,기타가족,손녀,15
134,자녀,울애기,14
134,부모님,할매,14
134,부모님,시부모님,14
137,배우자,남편님,13
138,기타가족,손주,12
138,학생,중3,12
138,자녀,우리아이들,12
138,자녀,딸내미,12
138,기타가족,숙부,12
138,부모님,증조부,12
138,부모님,시아버지,12
145,자녀,아들래미,11
145,연인,남치니,11
145,자녀,맏아들,11
145,자녀,둘째아들,11
145,자녀,울아들,11
145,자녀,큰애,11
145,친구,베프,11
145,부모님,외할아버지,11
153,기타가족,친지,10
153,자녀,우리애들,10
153,자녀,차녀,10
153,학생,중1,10
153,기타가족,이모님들,10
153,자녀,저희아이,10
153,기타가족,외삼촌,10
160,자녀,여식,9
160,부모님,엄니,9
160,친구,룸메,9
163,부모님,조부모,8
163,자녀,우리아들,8
163,자녀,초보맘,8
163,자녀,직장맘,8
163,부모님,시어머님,8
163,학생,고2,8
163,기타가족,외손자,8
170,기타가족,태아,7
170,학생,중2,7
170,배우자,마눌,7
170,자녀,둘째딸,7
170,자녀,아들램,7
170,기타가족,혈육,7
170,연인,예랑,7
170,배우자,남펴니,7
178,기타가족,새언니,6
178,기타가족,효녀,6
178,자녀,미성년자,6
178,학생,초6,6
178,기타가족,울언니,6
178,배우자,예랑이,6
178,기타가족,사돈,6
178,부모님,할부지,6
178,기타가족,손주들,6
178,기타가족,시누,6
178,학생,재수생,6
189,기타가족,덩생,5
189,연인,남친님,5
189,연인,여친님,5
189,자녀,첫째아이,5
189,연인,남친몬,5
189,자녀,울딸,5
189,자녀,맏딸,5
189,자녀,둥이들,5
