순위,분류,관련 키워드,언급건수
1,휴식/힐링,힐링,829
2,휴식/힐링,나들이,656
3,레포츠,캠핑,492
4,레포츠,빠지,417
5,레포츠,등산,237
6,기타,데이트코스,157
7,기타,투어,143
8,레포츠,스키,120
9,미식,카페투어,105
10,레포츠,산행,104
11,휴식/힐링,불멍,99
12,레포츠,낚시,97
13,휴식/힐링,호캉스,81
14,레포츠,글램핑,74
15,레포츠,레저,70
16,레포츠,수상레저,67
17,기타,해외여행,61
18,레포츠,트레일러닝,59
19,미식,빵지순례,51
20,미식,먹부림,44
21,레포츠,클라이밍,43
21,휴식/힐링,휴양,43
23,휴식/힐링,즐길거리,41
23,휴식/힐링,드라이브코스,41
25,휴식/힐링,피크닉,40
25,미식,맛집투어,40
27,미식,맛집탐방,36
28,레포츠,차박,34
29,레포츠,트레킹,29
30,기타,답사,28
31,휴식/힐링,테라피,26
32,체험,농촌체험,25
33,체험,수확체험,24
33,레포츠,트래킹,24
35,휴식/힐링,물멍,22
36,휴식/힐링,겨울여행,18
37,체험,딸기체험,17
38,레포츠,바다낚시,16
38,미식,먹킷리스트,16
40,레포츠,카약,15
41,체험,도자기체험,13
41,휴식/힐링,근교여행,13
41,레포츠,오토캠핑,13
44,휴식/힐링,노을뷰,12
45,기타,추억여행,11
45,미식,먹방여행,11
47,체험,동물체험,10
47,기타,부산여행,10
47,레포츠,하이킹,10
47,체험,수학여행,10
47,휴식/힐링,신혼여행,10
52,레포츠,서핑,9
52,휴식/힐링,야영,9
52,체험,먹이주기체험,9
52,기타,유럽여행,9
52,휴식/힐링,재충전,9
57,휴식/힐링,힐링여행,8
57,기타,제주여행,8
57,레포츠,감성캠핑,8
57,체험,쿠킹클래스,8
61,기타,일본여행,7
61,체험,vr체험,7
61,체험,물레체험,7
61,휴식/힐링,집콕생활,7
61,휴식/힐링,일광욕,7
61,체험,동물먹이주기체험,7
67,레포츠,게이트볼,6
67,레포츠,백패킹,6
67,미식,애프터눈티,6
67,기타,제주도여행,6
67,미식,바베큐파티,6
67,체험,농장체험,6
73,레포츠,수상자전거,5
73,기타,기차여행,5
73,레포츠,짚라인,5
73,레포츠,캠핑족,5
73,체험,놀이체험,5
73,레포츠,래프팅,5
73,기타,미국여행,5
73,레포츠,스노우보드,5
81,레포츠,캠프파이어,4
81,기타,자유여행,4
81,체험,버스투어,4
81,체험,공포체험,4
81,휴식/힐링,북캉스,4
81,레포츠,골프투어,4
81,체험,역사체험,4
81,레포츠,패러글라이딩,4
81,미식,고기파티,4
81,체험,승마체험,4
81,레포츠,오프로드,4
81,레포츠,레포츠,4
81,미식,빵투어,4
94,체험,갯벌체험,3
94,기타,세계여행,3
94,체험,목공체험,3
94,기타,배낭여행,3
94,레포츠,암벽등반,3
94,체험,동물먹이체험,3
94,기타,역사여행,3
94,레포츠,카라반캠핑,3
94,체험,공방체험,3
94,레포츠,스노쿨링,3
94,레포츠,레저스포츠,3
94,체험,템플스테이,3
94,휴식/힐링,즉흥여행,3
94,체험,미술체험,3
94,체험,생태체험,3
94,기타,테마여행,3
94,휴식/힐링,일몰뷰,3
94,레포츠,스쿠버,3
112,체험,숲체험,2
112,체험,향수만들기,2
112,휴식/힐링,바다멍,2
112,휴식/힐링,봄여행,2
112,휴식/힐링,허니문,2
112,레포츠,번지점프,2
112,레포츠,빙벽등반,2
112,레포츠,산악자전거,2
112,체험,시티투어,2
112,체험,우유주기체험,2
112,체험,교복체험,2
112,레포츠,수상스키,2
112,기타,중국여행,2
112,체험,한옥스테이,2
112,레포츠,수상스포츠,2
112,체험,낚시체험,2
112,체험,전통놀이체험,2
112,휴식/힐링,감성여행,2
112,휴식/힐링,단풍놀이,2
112,기타,도보여행,2
112,레포츠,스쿠버다이빙,2
133,레포츠,ssi,1
133,레포츠,스킨스쿠버,1
133,체험,도예체험,1
133,레포츠,제트스키,1
133,레포츠,오픈워터,1
133,체험,목장체험,1
133,체험,민속놀이체험,1
133,체험,비행시뮬레이션,1
133,휴식/힐링,일출뷰,1
133,레포츠,해양스포츠,1
133,레포츠,캠프닉,1
133,미식,식도락여행,1
133,휴식/힐링,하늘멍,1
133,레포츠,실내스키,1
133,레포츠,서바이벌게임,1
133,체험,귤체험,1
133,기타,세계일주,1
133,체험,감귤체험,1
133,휴식/힐링,숲캉스,1
133,휴식/힐링,생태관광,1
133,레포츠,노지캠핑,1
133,레포츠,바나나보트,1
133,휴식/힐링,숙소콕,1
133,휴식/힐링,촌캉스,1
133,레포츠,패러세일링,1
133,레포츠,스키여행,1
133,레포츠,프리다이빙,1
133,레포츠,플라이낚시,1
133,미식,와이너리투어,1
133,휴식/힐링,낭만여행,1
133,기타,도시여행,1
133,레포츠,행글라이더,1
133,레포츠,애슬레저,1
133,체험,곤충체험,1
133,체험,농사체험,1
133,휴식/힐링,가을여행,1
133,휴식/힐링,차크닉,1
133,미식,미식체험,1
133,휴식/힐링,모캉스,1
133,레포츠,스케이트보드,1
133,레포츠,스쿼시,1
133,휴식/힐링,홈캠핑,1
133,휴식/힐링,요트투어,1
133,레포츠,padi,1
133,레포츠,캠핑여행,1
133,미식,빵집순례,1
133,체험,치즈체험,1
133,체험,토끼먹이주기체험,1
133,휴식/힐링,스테이케이션,1
