지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,991.0,3.01
41113,수원시 권선구,1169.0,2.91
41115,수원시 팔달구,645.0,2.65
41117,수원시 영통구,966.0,2.98
41131,성남시 수정구,1017.0,2.91
41133,성남시 중원구,1136.0,2.78
41135,성남시 분당구,931.0,3.07
41150,의정부시,1432.0,2.92
41171,안양시 만안구,1039.0,2.84
41173,안양시 동안구,1144.0,2.96
41190,부천시,1342.0,2.96
41210,광명시,788.0,2.88
41220,평택시,2287.0,3.06
41250,동두천시,1324.0,2.83
41271,안산시 상록구,1625.0,2.93
41273,안산시 단원구,1131.0,2.76
41281,고양시 덕양구,1014.0,2.99
41285,고양시 일산동구,904.0,3.02
41287,고양시 일산서구,912.0,2.93
41290,과천시,695.0,3.06
41310,구리시,708.0,2.88
41360,남양주시,1245.0,2.89
41370,오산시,1708.0,3.18
41390,시흥시,1230.0,2.89
41410,군포시,1249.0,2.95
41430,의왕시,683.0,2.86
41450,하남시,814.0,2.97
41461,용인시 처인구,1096.0,2.79
41463,용인시 기흥구,1133.0,3.06
41465,용인시 수지구,1326.0,3.05
41480,파주시,1227.0,2.89
41500,이천시,1156.0,2.89
41550,안성시,1080.0,2.9
41570,김포시,1353.0,2.98
41590,화성시,1566.0,2.92
41610,광주시,1183.0,2.83
41630,양주시,1161.0,2.85
41650,포천시,1231.0,2.59
41670,여주시,1207.0,2.86
41800,연천군,1390.0,2.67
41820,가평군,1081.0,2.25
41830,양평군,859.0,2.5
