유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,54.0,12.0
음식,외국식,54.0,8.5
음식,음식점기타,54.0,0.2
음식,전문음식,54.0,17.2
음식,카페/찻집,54.0,34.3
음식,한식,54.0,27.8
쇼핑,시장,17.1,2.7
쇼핑,쇼핑몰,17.1,95.0
쇼핑,기타쇼핑시설,17.1,2.3
기타관광,기타관광,9.7,100.0
문화관광,테마공원,8.8,5.1
문화관광,전시시설,8.8,9.8
문화관광,복합관광시설,8.8,4.5
문화관광,레저스포츠시설,8.8,2.7
문화관광,랜드마크관광,8.8,5.1
문화관광,도시공원,8.8,45.5
문화관광,기타문화관광지,8.8,5.1
문화관광,공연시설,8.8,22.3
레저스포츠,육상레저스포츠,3.7,92.2
레저스포츠,수상레저스포츠,3.7,6.5
레저스포츠,기타레저스포츠,3.7,1.3
숙박,캠핑,3.4,32.1
숙박,호텔,3.4,41.2
숙박,펜션/민박,3.4,0.3
숙박,콘도미니엄,3.4,1.0
숙박,모텔,3.4,24.9
숙박,기타숙박,3.4,0.5
역사관광,종교성지,1.5,77.2
역사관광,역사유적지,1.5,22.8
자연관광,자연경관(산),1.0,68.9
자연관광,자연경관(하천/해양),1.0,9.1
자연관광,자연공원,1.0,22.0
체험관광,농/산/어촌체험,0.7,97.1
체험관광,웰니스관광,0.7,2.9
