시군구명,시도명,관광지명,구분
파주시,경기도,말똥도넛 디저트타운,음식점
파주시,경기도,파주 임진각(평화누리공원),역사관광지
파주시,경기도,감악산(파주),자연관광지
파주시,경기도,아트센터 화이트블럭,문화시설
파주시,경기도,삐아또 고메,음식점
파주시,경기도,파머스테이블,음식점
파주시,경기도,하우스오브미나리마 해리포터 팝업스토어,쇼핑
파주시,경기도,프로방스 마을,체험관광지
파주시,경기도,제3땅굴,역사관광지
파주시,경기도,한국근현대사박물관,문화시설
파주시,경기도,임진강 황포돛배,휴양관광지
파주시,경기도,더티 트렁크,음식점
파주시,경기도,하니랜드 눈썰매장,육상 레포츠
파주시,경기도,통일촌장단콩마을,음식점
파주시,경기도,반구정 나루터집,음식점
파주시,경기도,청도훼미리랜드,휴양관광지
파주시,경기도,재미있는 추억 박물관,문화시설
파주시,경기도,구삼뮤지엄,문화시설
파주시,경기도,도라산 평화공원,역사관광지
파주시,경기도,통일동산 관광특구,휴양관광지
파주시,경기도,임진각평화곤돌라(파주디엠지곤돌라),복합 레포츠
파주시,경기도,활판공방,문화시설
파주시,경기도,물댄동산,육상 레포츠
파주시,경기도,소령원,역사관광지
파주시,경기도,운정건강공원(가온),휴양관광지
파주시,경기도,롯데 파주 프리미엄아울렛,쇼핑
파주시,경기도,복두부집,음식점
파주시,경기도,헤이리스,문화시설
파주시,경기도,93뮤지엄,문화시설
파주시,경기도,서울액션스쿨 (마샬아트센터),육상 레포츠
파주시,경기도,옛생활 체험박물관 타임캡슐,문화시설
파주시,경기도,마장호수휴캠핑장,육상 레포츠
