순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202202,83259,83259.0
2,경기도,파주시,헤이리예술마을,202202,22490,22490.0
3,경기도,파주시,퍼스트가든,202202,14840,14840.0
4,경기도,파주시,통일전망대,202202,10498,10498.0
5,경기도,파주시,공릉관광지(하니랜드),202202,6167,6167.0
6,경기도,파주시,서서울컨트리클럽,202202,4938,4938.0
7,경기도,파주시,서원밸리골프클럽,202202,4360,4360.0
8,경기도,파주시,벽초지수목원,202202,3898,3898.0
9,경기도,파주시,경기미래교육 파주캠퍼스,202202,2940,2940.0
10,경기도,파주시,파주삼릉,202202,2488,2488.0
11,경기도,파주시,쇠꼴마을,202202,2316,2316.0
12,경기도,파주시,황희선생유적지,202202,2227,2227.0
13,경기도,파주시,율곡선생유적지,202202,1942,1942.0
14,경기도,파주시,파주장릉,202202,1385,1385.0
15,경기도,파주시,우농타조농장,202202,1320,1320.0
16,경기도,파주시,베스트밸리,202202,1315,1315.0
17,경기도,파주시,산머루농원,202202,884,884.0
18,경기도,파주시,소울원,202202,698,698.0
19,경기도,파주시,영집궁시박물관,202202,65,65.0
20,경기도,파주시,두루뫼박물관,202202,56,56.0
