순위,분류,관련 키워드,언급건수
1,기타가족,가족,2442
2,친구,친구,2239
3,회사동료,직원,1488
4,기타가족,엄마,1267
5,싱글,혼자,1114
6,친구,친구들,1045
7,배우자,남편,919
8,부모님,부모,793
9,기타가족,가정,789
10,자녀,학생,745
11,부모님,아빠,615
12,부모님,부모님,566
13,자녀,아들,530
14,친구,지인,529
15,기타가족,오빠,509
16,연인,커플,489
17,기타가족,언니,472
18,연인,연인,437
19,자녀,청소년,435
20,기타가족,동생,417
21,회사동료,대리,364
22,자녀,애들,362
23,자녀,자녀,343
24,부모님,아버지,333
25,연인,남자친구,283
26,부모님,할머니,263
27,기타가족,이모,243
28,부모님,어머니,233
29,싱글,혼자서,227
30,친구,프렌,224
31,회사동료,직원들,219
32,배우자,신랑,218
33,배우자,아내,208
34,기타가족,동서,207
35,학생,대학생,175
36,회사동료,동료,172
37,학생,고등학생,152
38,싱글,홀로,151
39,배우자,남편이랑,150
40,자녀,딸,144
41,기타가족,형제,137
42,학생,초등학생,125
43,학생,중학생,120
44,부모님,엄빠,118
44,기타가족,조카,118
46,기타가족,장인,115
47,자녀,자식,114
47,회사동료,부장,114
49,부모님,어머님,113
50,연인,남친,112
51,배우자,와이프,111
52,부모님,할아버지,108
53,싱글,싱글,96
54,연인,여자친구,95
55,배우자,부인,90
56,기타가족,식구,86
57,기타가족,자매,82
58,기타가족,막내,79
59,기타가족,누나,78
60,부모님,엄마아빠,77
61,기타가족,패밀리,72
62,학생,초딩,69
63,친구,칭구,67
64,배우자,배우자,66
65,기타가족,효자,64
66,부모님,아버님,61
67,기타가족,남매,55
68,기타가족,친척,54
69,기타가족,형,52
70,기타가족,사촌,50
71,배우자,신부,49
71,부모님,아부지,49
73,기타가족,이모님,48
74,기타가족,손자,47
75,기타가족,여동생,45
76,기타가족,온가족,41
76,부모님,아비,41
78,연인,남친이,40
79,자녀,장남,39
79,기타가족,손주,39
79,부모님,조부모,39
79,기타가족,시댁,39
83,싱글,나혼자,38
84,기타가족,고모,37
85,회사동료,임원,35
86,기타가족,남동생,33
86,자녀,미성년자,33
88,기타가족,형님,32
88,회사동료,사원,32
90,친구,동창,31
90,자녀,딸래미,31
90,자녀,우리아이,31
90,자녀,아드님,31
90,기타가족,삼촌,31
95,자녀,딸아이,30
96,기타가족,사위,29
97,연인,여친,28
97,기타가족,형부,28
97,부모님,친정엄마,28
97,학생,고3,28
101,기타가족,장모,27
102,친구,절친,26
102,부모님,어무니,26
102,부모님,울엄마,26
102,부모님,시부,26
106,자녀,딸램,25
107,학생,고딩,24
107,부모님,모녀,24
109,부모님,할매,23
109,학생,중2,23
111,기타가족,며느리,22
111,연인,남치니,22
111,자녀,큰아이,22
111,자녀,첫째아들,22
111,회사동료,차장,22
116,싱글,나홀로,21
116,자녀,따님,21
118,자녀,우리딸,20
118,연인,애인,20
118,학생,중딩,20
118,학생,중3,20
118,배우자,남편님,20
123,부모님,외할머니,19
123,기타가족,사촌동생,19
125,학생,고2,18
125,자녀,울애,18
125,자녀,울애기,18
128,배우자,남표니,17
129,기타가족,외삼촌,16
129,배우자,서방,16
131,회사동료,직장동료,15
131,부모님,장모님,15
131,부모님,증조부,15
131,부모님,할무니,15
131,배우자,남푠,15
136,부모님,시어머니,14
136,자녀,딸내미,14
136,부모님,시부모,14
136,기타가족,태아,14
136,부모님,엄니,14
136,부모님,시부모님,14
142,자녀,아들램,13
142,부모님,외할아버지,13
142,배우자,남펴니,13
142,자녀,큰딸,13
142,학생,중1,13
147,연인,남친님,12
147,자녀,우리아들,12
147,기타가족,손녀,12
147,친구,룸메,12
147,기타가족,막둥이,12
152,기타가족,친지,11
152,자녀,외동,11
152,기타가족,이모님들,11
152,자녀,우리애,11
152,기타가족,차남,11
157,자녀,맏아들,10
157,자녀,큰아들,10
157,자녀,큰애,10
160,기타가족,혈육,9
160,친구,베프,9
160,자녀,둥이들,9
160,자녀,워킹맘,9
160,기타가족,외손자,9
160,기타가족,사돈,9
166,부모님,시모,8
166,회사동료,회사사람,8
166,자녀,우리아이들,8
166,부모님,할머님,8
166,학생,초6,8
166,자녀,둘째아이,8
166,부모님,할부지,8
173,기타가족,숙부,7
173,자녀,아들내미,7
173,연인,남친몬,7
173,자녀,울딸,7
173,학생,재수생,7
173,자녀,장녀,7
173,자녀,맏딸,7
180,자녀,첫째아이,6
180,기타가족,올케,6
180,부모님,시어머님,6
180,회사동료,회사동료,6
180,학생,초3,6
180,자녀,우리애들,6
180,기타가족,숙모,6
180,부모님,시아버지,6
180,기타가족,맏며느리,6
180,배우자,마님,6
180,배우자,와이프님,6
180,부모님,장인어른,6
180,자녀,둘째아들,6
193,자녀,아들래미,5
193,자녀,삼둥이,5
193,자녀,아들딸,5
193,학생,초1,5
193,기타가족,손자들,5
193,기타가족,시누,5
193,연인,썸녀,5
193,자녀,울아들,5
201,배우자,마누라,4
201,친구,남사친,4
201,친구,프렌드,4
201,기타가족,처제,4
201,연인,예비신부,4
201,회사동료,회사직원,4
201,자녀,차녀,4
201,부모님,할마,4
201,연인,예랑,4
201,자녀,저희아이,4
201,자녀,외동딸,4
201,기타가족,덩생,4
201,배우자,우리신랑,4
201,부모님,시아버님,4
201,자녀,여식,4
201,기타가족,새언니,4
201,기타가족,효녀,4
201,기타가족,시누이,4
201,배우자,저희남편,4
201,자녀,저희애,4
201,학생,초4,4
201,기타가족,손주들,4
201,기타가족,가족모두,4
224,연인,썸남,3
224,연인,여친님,3
224,자녀,초보맘,3
224,배우자,남푠님,3
224,배우자,저희신랑,3
224,배우자,마눌님,3
224,배우자,마눌,3
224,배우자,영감님,3
224,자녀,둘째딸,3
224,기타가족,울언니,3
224,배우자,남의편,3
224,배우자,예랑이,3
224,자녀,울아이,3
224,학생,고삼,3
224,배우자,집사람,3
224,배우자,울신랑,3
224,학생,초5,3
224,부모님,친정아버지,3
224,학생,초2,3
