순위,분류,관련 키워드,언급건수
1,휴식/힐링,힐링,922
2,휴식/힐링,나들이,907
3,레포츠,캠핑,735
4,레포츠,빠지,575
5,레포츠,등산,327
6,기타,투어,181
6,기타,해외여행,181
8,기타,데이트코스,180
9,레포츠,레저,147
10,미식,카페투어,130
11,레포츠,낚시,114
12,휴식/힐링,피크닉,107
12,레포츠,산행,107
14,휴식/힐링,불멍,75
15,휴식/힐링,즐길거리,68
15,휴식/힐링,드라이브코스,68
17,레포츠,트레일러닝,66
18,레포츠,스키,64
19,휴식/힐링,휴양,63
20,휴식/힐링,호캉스,57
21,미식,빵지순례,56
22,레포츠,글램핑,53
23,미식,먹킷리스트,50
24,미식,맛집탐방,48
25,체험,승마체험,47
26,레포츠,차박,46
27,미식,먹부림,45
28,기타,답사,44
28,레포츠,트레킹,44
30,체험,학생승마체험,43
31,미식,맛집투어,37
32,레포츠,수상레저,34
33,레포츠,트래킹,31
34,휴식/힐링,물멍,28
35,레포츠,카약,22
36,휴식/힐링,테라피,20
37,레포츠,오토캠핑,19
37,휴식/힐링,생태관광,19
37,미식,먹방여행,19
37,휴식/힐링,야영,19
41,기타,도보여행,17
42,체험,딸기체험,16
42,체험,동물체험,16
42,레포츠,백패킹,16
45,휴식/힐링,일광욕,14
45,레포츠,노지캠핑,14
45,레포츠,클라이밍,14
45,레포츠,수상자전거,14
49,레포츠,캠크닉,13
50,레포츠,캠핑족,12
50,체험,생태체험,12
50,체험,도예체험,12
50,체험,먹이주기체험,12
54,레포츠,감성캠핑,11
54,기타,유럽여행,11
54,기타,추억여행,11
57,레포츠,캠프파이어,10
57,체험,도자기체험,10
59,휴식/힐링,노을뷰,9
59,레포츠,수상스키,9
59,체험,쿠킹클래스,9
62,체험,수확체험,8
62,휴식/힐링,신혼여행,8
62,미식,빵투어,8
62,레포츠,산악자전거,8
62,레포츠,서핑,8
62,레포츠,게이트볼,8
68,휴식/힐링,근교여행,7
68,레포츠,하이킹,7
68,레포츠,암벽등반,7
68,기타,부산여행,7
68,체험,동물먹이주기체험,7
68,휴식/힐링,겨울여행,7
74,레포츠,짚라인,6
74,휴식/힐링,재충전,6
74,기타,세계여행,6
74,레포츠,레포츠,6
78,미식,고기파티,5
78,체험,농장체험,5
78,기타,스탬프투어,5
78,레포츠,바다낚시,5
78,체험,물레체험,5
78,레포츠,골프투어,5
84,기타,기차여행,4
84,체험,민속놀이체험,4
84,레포츠,스쿼시,4
84,레포츠,패러글라이딩,4
84,미식,바베큐파티,4
84,휴식/힐링,산멍,4
84,휴식/힐링,힐링여행,4
84,체험,공포체험,4
84,체험,숲체험,4
84,휴식/힐링,봄여행,4
84,체험,농촌체험,4
84,레포츠,오프로드,4
84,기타,일본여행,4
84,체험,vr체험,4
84,휴식/힐링,숲멍,4
84,기타,제주여행,4
84,미식,애프터눈티,4
84,체험,수학여행,4
84,체험,템플스테이,4
84,휴식/힐링,집콕생활,4
84,기타,제주도여행,4
105,기타,걷기여행,3
105,레포츠,제트스키,3
105,휴식/힐링,홈캠핑,3
105,체험,동물먹이체험,3
105,레포츠,캠프닉,3
105,레포츠,카라반캠핑,3
105,휴식/힐링,차크닉,3
105,기타,배낭여행,3
105,체험,미술체험,3
105,휴식/힐링,벚꽃여행,3
105,레포츠,레저스포츠,3
116,레포츠,오픈워터,2
116,레포츠,애슬레저,2
116,휴식/힐링,북캉스,2
116,휴식/힐링,숲캉스,2
116,체험,원예체험,2
116,레포츠,padi,2
116,레포츠,스쿠버,2
116,기타,자전거여행,2
116,기타,졸업여행,2
116,체험,놀이체험,2
116,미식,식도락여행,2
116,체험,목공체험,2
116,레포츠,수상레져,2
116,체험,공방체험,2
116,체험,교복체험,2
116,레포츠,골프여행,2
116,레포츠,bmx,2
116,체험,낚시체험,2
116,체험,전통놀이체험,2
116,휴식/힐링,태교여행,2
136,레포츠,암벽등산,1
136,체험,목장체험,1
136,체험,어린이승마체험,1
136,체험,한복체험,1
136,휴식/힐링,허니문,1
136,레포츠,스카이다이빙,1
136,미식,와인투어,1
136,레포츠,제트보트,1
136,레포츠,패들보트,1
136,레포츠,래프팅,1
136,레포츠,바나나보트,1
136,체험,박물관체험,1
136,체험,사격체험,1
136,휴식/힐링,촌캉스,1
136,레포츠,스쿠버다이빙,1
136,레포츠,웨이크보드,1
136,체험,치즈체험,1
136,체험,토끼먹이주기체험,1
136,체험,숙박체험,1
136,휴식/힐링,구름멍,1
136,레포츠,해양레저,1
136,휴식/힐링,즉흥여행,1
136,체험,시티투어,1
136,레포츠,낚시여행,1
136,체험,다례체험,1
136,체험,달고나체험,1
136,기타,소싸움,1
136,레포츠,번지점프,1
136,체험,커피체험,1
136,체험,한옥스테이,1
136,체험,갯벌체험,1
136,레포츠,서바이벌게임,1
136,휴식/힐링,파도멍,1
136,기타,도시여행,1
136,기타,무전여행,1
136,레포츠,글라이더,1
136,체험,곤충체험,1
136,체험,역사체험,1
136,레포츠,심해잠수,1
136,휴식/힐링,감성여행,1
136,휴식/힐링,단풍놀이,1
136,휴식/힐링,우정여행,1
136,휴식/힐링,일몰뷰,1
136,기타,미국여행,1
136,레포츠,프리다이빙,1
136,미식,와이너리투어,1
136,체험,루지체험,1
136,체험,서핑체험,1
