광역지자체명,기초지자체명,기초지자체별 거주 방문자 수,기초지자체별 거주 방문자 비율
강원특별자치도,춘천시,16,33.3
강원특별자치도,원주시,8,16.7
강원특별자치도,강릉시,3,6.3
강원특별자치도,삼척시,1,2.1
강원특별자치도,홍천군,7,14.6
강원특별자치도,횡성군,1,2.1
강원특별자치도,철원군,10,20.8
강원특별자치도,양양군,2,4.2
경기도,수원시 장안구,11,0.2
경기도,수원시 권선구,15,0.3
경기도,수원시 팔달구,7,0.1
경기도,수원시 영통구,21,0.4
경기도,성남시 수정구,11,0.2
경기도,성남시 중원구,11,0.2
경기도,성남시 분당구,23,0.5
경기도,의정부시,136,2.9
경기도,안양시 만안구,13,0.3
경기도,안양시 동안구,34,0.7
경기도,부천시,207,4.3
경기도,광명시,54,1.1
경기도,평택시,51,1.1
경기도,동두천시,18,0.4
경기도,안산시 상록구,39,0.8
경기도,안산시 단원구,19,0.4
경기도,고양시 덕양구,911,19.1
경기도,고양시 일산동구,926,19.4
경기도,고양시 일산서구,1068,22.4
경기도,과천시,4,0.1
경기도,구리시,34,0.7
경기도,남양주시,86,1.8
경기도,오산시,22,0.5
경기도,시흥시,83,1.7
경기도,군포시,41,0.9
경기도,의왕시,27,0.6
경기도,하남시,29,0.6
경기도,용인시 처인구,16,0.3
경기도,용인시 기흥구,25,0.5
경기도,용인시 수지구,16,0.3
경기도,이천시,28,0.6
경기도,안성시,11,0.2
경기도,김포시,349,7.3
경기도,화성시,87,1.8
경기도,광주시,26,0.5
경기도,양주시,172,3.6
경기도,포천시,27,0.6
경기도,여주시,10,0.2
경기도,연천군,89,1.9
경기도,가평군,5,0.1
경기도,양평군,7,0.1
경상남도,창원시 마산회원구,1,12.5
경상남도,진주시,1,12.5
경상남도,통영시,1,12.5
경상남도,사천시,1,12.5
경상남도,김해시,2,25.0
경상남도,양산시,2,25.0
경상북도,포항시 북구,1,1.8
경상북도,경주시,4,7.3
경상북도,구미시,25,45.5
경상북도,영주시,1,1.8
경상북도,상주시,2,3.6
경상북도,문경시,18,32.7
경상북도,칠곡군,3,5.5
경상북도,예천군,1,1.8
광주광역시,서구,4,66.7
광주광역시,광산구,2,33.3
대구광역시,동구,1,7.7
대구광역시,북구,4,30.8
대구광역시,수성구,1,7.7
대구광역시,달서구,3,23.1
대구광역시,달성군,3,23.1
대구광역시,군위군,1,7.7
대전광역시,동구,2,12.5
대전광역시,중구,1,6.3
대전광역시,서구,2,12.5
대전광역시,유성구,3,18.8
대전광역시,대덕구,8,50.0
부산광역시,부산진구,1,33.3
부산광역시,남구,1,33.3
부산광역시,금정구,1,33.3
서울특별시,종로구,35,1.8
서울특별시,중구,34,1.7
서울특별시,용산구,68,3.4
서울특별시,성동구,25,1.3
서울특별시,광진구,32,1.6
서울특별시,동대문구,34,1.7
서울특별시,중랑구,17,0.9
서울특별시,성북구,50,2.5
서울특별시,강북구,27,1.4
서울특별시,도봉구,35,1.8
서울특별시,노원구,75,3.8
서울특별시,은평구,180,9.0
서울특별시,서대문구,105,5.3
서울특별시,마포구,227,11.4
서울특별시,양천구,131,6.6
서울특별시,강서구,282,14.1
서울특별시,구로구,82,4.1
서울특별시,금천구,48,2.4
서울특별시,영등포구,163,8.2
서울특별시,동작구,66,3.3
서울특별시,관악구,42,2.1
서울특별시,서초구,66,3.3
서울특별시,강남구,86,4.3
서울특별시,송파구,45,2.3
서울특별시,강동구,45,2.3
울산광역시,남구,2,33.3
울산광역시,북구,4,66.7
인천광역시,중구,37,6.1
인천광역시,동구,15,2.5
인천광역시,미추홀구,40,6.6
인천광역시,연수구,66,10.9
인천광역시,남동구,72,11.8
인천광역시,부평구,104,17.1
인천광역시,계양구,89,14.6
인천광역시,서구,167,27.5
인천광역시,강화군,17,2.8
인천광역시,옹진군,1,0.2
전라남도,보성군,1,50.0
전라남도,무안군,1,50.0
전북특별자치도,전주시 완산구,2,15.4
전북특별자치도,전주시 덕진구,4,30.8
전북특별자치도,군산시,1,7.7
전북특별자치도,익산시,1,7.7
전북특별자치도,남원시,1,7.7
전북특별자치도,무주군,1,7.7
전북특별자치도,임실군,1,7.7
전북특별자치도,고창군,2,15.4
충청남도,천안시 동남구,6,9.5
충청남도,천안시 서북구,20,31.7
충청남도,공주시,7,11.1
충청남도,보령시,2,3.2
충청남도,아산시,20,31.7
충청남도,서산시,1,1.6
충청남도,당진시,4,6.3
충청남도,부여군,1,1.6
충청남도,서천군,1,1.6
충청남도,홍성군,1,1.6
충청북도,청주시 서원구,3,7.1
충청북도,청주시 흥덕구,4,9.5
충청북도,청주시 청원구,4,9.5
충청북도,충주시,17,40.5
충청북도,제천시,4,9.5
충청북도,진천군,2,4.8
충청북도,괴산군,4,9.5
충청북도,음성군,4,9.5
