유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,한식,71.5,35.6
음식,간이음식,71.5,10.7
음식,외국식,71.5,11.7
음식,음식점기타,71.5,1.2
음식,전문음식,71.5,24.5
음식,카페/찻집,71.5,16.3
문화관광,공연시설,11.3,25.3
문화관광,기타문화관광지,11.3,2.4
문화관광,도시공원,11.3,56.2
문화관광,레저스포츠시설,11.3,9.3
문화관광,전시시설,11.3,4.5
문화관광,테마공원,11.3,2.3
쇼핑,기타쇼핑시설,10.6,3.4
쇼핑,쇼핑몰,10.6,96.6
숙박,모텔,4.2,20.6
숙박,캠핑,4.2,0.9
숙박,콘도미니엄,4.2,0.9
숙박,호스텔,4.2,1.3
숙박,호텔,4.2,76.2
레저스포츠,기타레저스포츠,1.3,0.8
레저스포츠,육상레저스포츠,1.3,52.5
레저스포츠,수상레저스포츠,1.3,46.7
기타관광,기타관광,0.5,100.0
역사관광,종교성지,0.4,94.0
역사관광,역사유적지,0.4,6.0
자연관광,자연경관(산),0.1,100.0
체험관광,농/산/어촌체험,0.1,100.0
