업종중분류명,업체명,방문자수,순위
음식,말똥도넛,41.0,1
음식,스타벅스/파주야당DT점,39.0,2
음식,뮌스터담,23.0,3
음식,더티트렁크,19.0,4
음식,평양손만두/파주운정점,16.0,5
음식,앤드테라스/파주점,13.0,6
음식,곤트란쉐리에/파주점,11.0,7
음식,문지리535,11.0,8
음식,훈장골/파주점,10.0,9
음식,내사랑동까스,9.0,10
쇼핑,신세계프리미엄아울렛/파주점,294.0,1
쇼핑,롯데프리미엄아울렛/파주점,278.0,2
쇼핑,이마트/파주운정점,69.0,3
쇼핑,홈플러스/파주운정점,56.0,4
쇼핑,이마트/파주점,23.0,5
쇼핑,홈플러스/파주문산점,8.0,6
쇼핑,운정가구타운,7.0,7
쇼핑,문산자유시장,2.0,8
쇼핑,금촌전통시장,2.0,9
쇼핑,대하마트,2.0,10
문화관광,운정호수공원,36.0,1
문화관광,평화누리,14.0,2
문화관광,콰트로박스,13.0,3
문화관광,에이스볼파크야구장,7.0,4
문화관광,CGV/파주야당,5.0,5
문화관광,오두산통일전망대,5.0,6
문화관광,롯데시네마/파주운정,5.0,7
문화관광,메가박스/파주출판도시,4.0,8
문화관광,운정건강공원,4.0,9
문화관광,미메시스아트뮤지엄,4.0,10
