순위,관광지ID,업소명,분류
1,357f0f3a1ef39f5f06dde3f2f6cc593e,뮌스터담,카페/찻집
2,dbc9168a6a836218c8f16ca21ca69aab,말똥도넛디저트타운파주점,카페/찻집
3,bad006bbedb44e6e4ef07895a314e7e1,앤드테라스파주점,카페/찻집
4,e37b6ce6ac8684b377c1e37e473f5cc3,스타벅스파주야당DT점,카페/찻집
5,aaa87c86646f26fb6d2303ee3ca586a5,더티트렁크,카페/찻집
6,e8f4c954720c18756069c2b26c630d8f,이삭토스트파주운정이마트점,간이음식
7,2539e333aa03d1c09bbfad6e8545423b,키누카누파주야당점,전문음식
8,c63dd07550fcb253cdcc0b6b46c4c771,스타벅스파주야당역점,카페/찻집
9,ca5d69dee48c1b93461ebc8491b6184f,문지리535,카페/찻집
10,c3ce179673329f9f3c80fa57913ad561,레드파이프,카페/찻집
11,ff60878ce76ba222ffec402ec2429a12,버터킹빵공장,간이음식
12,0a523af3b049c95f180988fd052d9eb3,브릭루즈,카페/찻집
13,1da2b8cd21c2120c64604e65662c95e0,스타벅스파주문산DT점,카페/찻집
14,ea338bb9f87e70dfcda107be605208a6,훈장골파주점,한식
15,4aef56b098e7250a15f9b0b00b8392a4,벙커힐파주점,전문음식
16,4b7575d2a64ea3473880fe1838b6f3e2,갈릴리농원본관,전문음식
17,2fba09bc89481d8b0307a2f3e59220d8,마롱리면사무소카페,카페/찻집
18,a55248ebeba926e53528618f7ab6ac32,심학산도토리국수본점,한식
19,e1ad4bb422c4422e405c2b422b431707,브런치빈운정점,전문음식
20,1ffda2dbefd704ecc11c40c1fd6b0c88,폴렌베이커리,간이음식
21,40a1fbfb5057863de6e260003c7d5998,버거킹파주야당역점,간이음식
22,ad88f58b3dbd5078c37a8b4106173c41,곤트란쉐리에파주점,간이음식
23,62d7b588d14fe671dc7b24c6e05fcd61,내사랑동까스,전문음식
23,301a49db5cb084ebe041ff2f59c5714f,청산어죽,한식
25,9c39c1f02eb51ccb4179b835441ef224,흑사당,카페/찻집
26,f9ab148ed48809e8c32941f3e2afb592,복많네해물칼국수파주출판단지본점,한식
27,67bed2bdc8ff02441344b37082edf397,교하정,한식
28,c9acc7fb5a210fd8436a18acf26b0a63,파주돌짜장[중식],외국식
29,d6ec4b067b2617760949edcb3afd362b,KFC파주운정DI점,간이음식
30,79f4ee5233bc31faf2985da29015e9fb,버거킹파주운정점,간이음식
31,811c4126a326250620de2e3d5ae16643,폴콘파주본점,카페/찻집
32,49f0135e7f9c9fb983305786120295df,스타벅스파주운정점,카페/찻집
33,4b782d88bc6169887ab9283b0cc903c9,피스피스출판단지점,카페/찻집
34,f3dc5cd3046bf706ccef8ffc575b131b,커피공장103헤이리점,카페/찻집
35,7046e3099bd4c3d0b249bed821f9d7c4,통일동산두부마을,전문음식
36,a5f56696708a431401b65152a5c46c15,파주뼈칼국수교하제면소,한식
37,95acd56ce59b557df4d1940dd740cd1a,라플란드,카페/찻집
38,af4f35cfdf6e6998842e33bf7a31330f,원조삼거리부대찌개,전문음식
39,d694e8d956aa03f0eea9daf57258d10c,아티장베이커스파주점,간이음식
40,f9a93a4fc062175e200f25c06373c532,언칼국수금촌본점,한식
41,26921981a5fc301810ec16912467aaf5,스타벅스파주금릉역점,카페/찻집
41,59f77746add04627f8f0895c5489fc78,평양손만두파주운정점,한식
43,612186adf3f271a7274aece06863e6cd,강릉장칼파주심학산점,한식
44,d1cae4628d6d737dee9d2eece6703915,피자헛파주운정점,간이음식
45,6aa807e94cfa04e6c490b1664472a63f,도미노피자파주운정점,간이음식
46,1eae1e01b893ef1e9909f6a5d2fea8f1,전국목장연합,한식
47,eaecebf3127012c84fc7822cf5b2be9c,심슨더스파이스,외국식
48,a22e939234a2ada731f8d2bfe0a895a2,스타벅스파주산내점,카페/찻집
49,ee1a0d56e766436beec174678b49d77b,삼고집파주점,한식
50,7ef609196aaa77b9e05661c4c3ced6c9,조은도너츠,간이음식
51,9937912f9b69fd3801ca420f673c36a2,반구정나루터집,전문음식
52,737857df34f7b244b683799e660d9fd7,심학산장어,전문음식
53,5e125abe74461455dce9fb7afb4008a9,손탁커피,카페/찻집
53,7f14a8a3a2dfc5f8a6e9f819be0dbdcd,운정골,한식
55,65519b689137e2e8134ce656738f6fb5,국물없는우동,외국식
55,088fe4582c122099f82164a7fd11729f,신간짬뽕금촌점 [중식],외국식
57,1032b0f6e8415eb7e5691b9c48521122,총각네수산,전문음식
57,9108f498e83c548fa2d745f4d6b5a2f1,뇌조리국수집,한식
59,fd7d8928be0215068795e554cf4f0bbf,레드브릿지,카페/찻집
60,e79c18296e95a9b22cdb20c0d4f5649e,소풍농월,카페/찻집
61,1cbb7831fd6c72632382e3e79e9a1fec,소플러스운정점,한식
62,52d1cf5f66af2625e7c95a07c3d2cca9,토모루베이커리파주점,간이음식
62,e6ce3ea99bbf8c6ea1855aaaaa3676bb,개성손만두파주점,한식
64,f6e394726cd758459b5882f64c2c6337,금촌야식,한식
65,658e5ce0616c78221ec181ba67ad3bc6,망향비빔국수파주점,한식
66,2aa3609360bea13f635a5f7bf91ea318,무고레,한식
66,9e8fe09e49aa3b5bd371ab3d2fdff7c7,르시랑스,카페/찻집
68,58b77483c5ee3733e6f573d26e5a55bd,초원오리농장,전문음식
69,9a365285c5cef5010a2e613e614a8134,홍익돈까스파주금릉점,전문음식
70,75900729997344cac1b4cd73c5726081,강남면옥파주점,한식
71,0fd354dbc0e1e8b44cd64761efa7d562,별난명태본점,한식
72,75b160c3097c65053a28b4169226ece7,생선굽는마을,한식
73,c4c6a97335313bd7a9200dc0124abcac,샹배베이커리,간이음식
73,62845268b51eb32358bb7cf6d4746599,안동각,외국식
75,93369a122f2e7b1fd52b5ad9ebb4f875,버거킹금촌역점,간이음식
76,e147d9c8804ff3675806f6cad24aed07,유가원설농탕,한식
76,8abd20e849a08444ed3339238935e781,파주닭국수,한식
76,c162048add52390b90ac7e17a14aed77,전진회관선유점,한식
76,f255cab9336d02381065a097816d5f14,가드너스,카페/찻집
76,a9cef79b32f220fb8388088466bd10fa,피셔맨스키친파주운정점,외국식
81,2323d47699cc1882afcfca3a67684074,FILLMOOD,카페/찻집
82,8388c44321d9e5659df7cee7807f10db,메주꽃[한식],한식
82,c7854514c1ab5d213113de0aca09eaf1,심학산뜨락,한식
84,9e99cc6d7f013a4c714293da463b295f,으뜸착한낙지문산본점,전문음식
85,63d926938ebbc61e818c116318576502,미분당파주야당점,외국식
86,270e5486156b5ee1bece014a52b733a8,청담토종순대국가온점,한식
86,388393b9f2201db72b9ee0092a8fb485,피피카페,카페/찻집
86,f0e568310827fe14a476a06a095dcfe0,홍익돈까스파주운정점,전문음식
89,ebb2420d413fa8b9bb75802b554ca422,궁중영의정인절미떡집,간이음식
89,7e8124f790ad38b5989feb9d8d7d5502,도깨비탕수육,외국식
91,ee6c113ca4d2de3efb71834ff9ec79c0,식당205,전문음식
92,801148329936c8cf1ed883837663aba9,오누테,카페/찻집
92,062786a01fd2f46a693e0b991bf2366e,전주웰빙새알팥죽,간이음식
94,ca766ec0aefdcdd74aa785e35ac4aa01,오야스미파주점,외국식
95,7a7d99d09784ad976ed3bd6abe717d0b,빙달파주운정점,카페/찻집
95,8d19ab961b2c04a603232b9eb83feaef,루미케익,카페/찻집
95,0786cf016ba88c5ada0e0b87e6526e8c,일산칼국수파주점,한식
98,dbb4f3d567b6171027d1b49c5bf61586,복호두파주운정점,간이음식
99,60a6e729b516ac4d5beefe498c318762,파주방축골한우마을,한식
99,8c1fc94e7f3443197175039dd601232b,임꺽정한우마을,한식
