언어명,관광지명,구분
일본어,坡州 臨津閣（平和ヌリ公園）（파주 임진각（평화누리공원））,역사관광지
일본어,ヘイリ芸術村（헤이리 예술마을）,체험관광지
일본어,坡州 李珥遺跡（파주이이유적）,역사관광지
일본어,自由の橋（坡州）（자유의 다리（파주））,역사관광지
일본어,坡州 長陵（仁祖、仁烈王后）［ユネスコ世界遺産（文化遺産）］（파주 장릉（인조_인열왕후）[유네스코 세계문화유산]）,역사관광지
일본어,板門店（판문점）,역사관광지
일본어,世界民俗楽器博物館（세계민속악기박물관）,문화시설
일본어,韓国近現代史博物館（한국근현대사박물관）,문화시설
일본어,ソウルアクションスクール（マーシャルアーツセンター）（서울액션스쿨（마샬아트센터））,육상 레포츠
일본어,プロバンス村（프로방스 마을）,체험관광지
일본어,知恵の森（지혜의 숲）,문화시설
일본어,坡州出版都市（파주출판도시）,산업관광지
일본어,統一公園（坡州）（통일공원（파주））,역사관광지
일본어,碧草池樹木園（벽초지수목원）,자연관광지
일본어,坡州臨津八景（파주임진팔경）,역사관광지
