순위,관광지ID,관광지명,분류
1,f0ad8e376bda7b0a53c69207a42c4ea2,신세계프리미엄아울렛파주점,쇼핑몰
2,28205aacab0912318ebe1d1331d29edc,롯데프리미엄아울렛파주점,쇼핑몰
3,aef708dfe912d4f1d3406ba3e13f8e29,금촌역,교통시설
4,e92345af217684562e5efed50a759b45,문산역,교통시설
5,8a43068f6bfa2c01a05fe0ef8bfb3c82,운정역,교통시설
6,0a6f35411708fdb9548b8eb83005b60e,운정호수공원,도시공원
7,035abbfef151ec9c0b1af40615f719b1,헤이리예술마을,기타관광
8,5c34a4a6cbc89908e092403de0e7cc3c,평화누리,도시공원
9,e8f4371db3097525813a8ac3deaa2093,마장호수출렁다리,기타관광
10,1a4c87742e33ead5b9b3c40c459ac1a2,벽초지수목원,테마공원
11,d6c62dbdf762c441e488d42832e6da07,임진각,기타관광
12,495b2cc1cf7121292a0e426c16967ba6,퍼스트가든,복합관광시설
13,c7ac95f733903a098f4d8230d8a913eb,CGV파주야당,공연시설
14,3c89df4eef0302e40dbdd5832e262fe5,프로방스,기타관광
15,7f173be334b2e7d6b9658b4b366402b0,율곡수목원,자연공원
16,b1b7fe84a7d62a2e75e88e09276be6c0,임진각평화누리캠핑장,캠핑
17,d6a972d506b2b7e7e7d680d25c30463a,하니랜드,테마공원
18,e1a30f9e7254555ab8502aece514d7f5,서원힐스CC,육상레저스포츠
19,04a0154e9869db9bf645448404707719,파주리조트골프클럽PRGC,육상레저스포츠
20,0ef8b4527ee20b9330955f845ec78ed5,파크뷰테라스,호텔
21,c1816c5022f03ebfd494cbdac2b4814a,파주CC,육상레저스포츠
22,2266273b9cb5cb4e9d406a15b04c2724,콰트로박스,기타문화관광지
23,382f4c95b87ee7b8a0ed07179b22f27f,금촌전통시장,시장
24,4620c27e44070de402de83dc11609bd2,파주역,교통시설
25,d38b03ce3f2dab83468c6b25e62298a9,운정건강공원,도시공원
26,3b8daccd597a508de28c1f45dd56fed1,아미가골프장,육상레저스포츠
27,96d2796be471c2ef567bb4a46f07bfc9,감악산출렁다리,기타관광
28,2da3df196ff25fa5183cddba80a6df9b,심학산,자연경관(산)
