순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,파주시,임진각관광지,202204,115695,115695.0
2,경기도,파주시,벽초지수목원,202204,69556,69556.0
3,경기도,파주시,퍼스트가든,202204,32020,32020.0
4,경기도,파주시,공릉관광지(하니랜드),202204,27355,27355.0
5,경기도,파주시,헤이리예술마을,202204,24560,24560.0
6,경기도,파주시,통일전망대,202204,15329,15329.0
7,경기도,파주시,서서울컨트리클럽,202204,12442,12442.0
8,경기도,파주시,서원밸리골프클럽,202204,8908,8908.0
9,경기도,파주시,율곡선생유적지,202204,6688,6688.0
10,경기도,파주시,파주삼릉,202204,5247,5247.0
11,경기도,파주시,베스트밸리,202204,5137,5137.0
12,경기도,파주시,경기미래교육 파주캠퍼스,202204,4855,4855.0
13,경기도,파주시,황희선생유적지,202204,4804,4804.0
14,경기도,파주시,우농타조농장,202204,4255,4255.0
15,경기도,파주시,파주장릉,202204,2778,2778.0
16,경기도,파주시,황포돛배,202204,2099,2099.0
17,경기도,파주시,소울원,202204,1632,1632.0
18,경기도,파주시,산머루농원,202204,761,761.0
19,경기도,파주시,쇠꼴마을,202204,572,572.0
20,경기도,파주시,두루뫼박물관,202204,77,77.0
21,경기도,파주시,영집궁시박물관,202204,57,57.0
