순위,분류,관련 키워드,언급건수
1,기타가족,가족,4672
2,친구,친구,3339
3,회사동료,직원,2177
4,기타가족,엄마,1863
5,부모님,부모,1568
6,친구,친구들,1534
7,기타가족,가정,1503
8,싱글,혼자,1474
9,자녀,학생,1382
10,부모님,부모님,1232
11,배우자,남편,1080
12,부모님,아빠,1023
13,친구,지인,865
14,회사동료,대리,840
15,자녀,아들,794
16,자녀,청소년,711
17,기타가족,언니,691
18,기타가족,동생,599
19,자녀,자녀,596
20,기타가족,오빠,587
21,연인,연인,577
22,연인,커플,557
23,자녀,애들,544
24,학생,초등학생,508
25,회사동료,직원들,504
26,부모님,어머니,457
27,배우자,신랑,396
28,부모님,할머니,365
29,부모님,아버지,360
30,기타가족,이모,327
31,자녀,자식,323
32,연인,남자친구,320
33,싱글,혼자서,302
34,기타가족,동서,301
35,배우자,아내,292
36,회사동료,동료,282
36,친구,프렌,282
38,학생,중학생,269
39,기타가족,패밀리,248
40,배우자,부인,239
41,자녀,딸,226
42,부모님,어머님,190
43,기타가족,조카,189
44,부모님,할아버지,185
45,학생,고등학생,182
46,싱글,홀로,181
47,배우자,와이프,172
47,싱글,싱글,172
49,배우자,남편이랑,166
50,부모님,엄마아빠,163
51,기타가족,식구,158
51,기타가족,형제,158
53,기타가족,장인,157
54,부모님,엄빠,155
55,기타가족,자매,148
56,기타가족,효자,138
57,배우자,신부,136
58,기타가족,누나,133
59,학생,대학생,132
60,기타가족,막내,126
61,회사동료,임원,124
62,연인,남친,121
63,배우자,배우자,120
64,회사동료,부장,117
65,기타가족,형,114
66,연인,여자친구,111
67,부모님,아버님,105
68,기타가족,온가족,102
69,학생,초딩,101
70,친구,칭구,99
71,기타가족,삼촌,95
72,기타가족,사촌,93
73,기타가족,손자,78
74,기타가족,시댁,75
75,자녀,아드님,74
76,기타가족,친척,71
77,싱글,나홀로,70
78,부모님,어무니,60
78,부모님,시부,60
80,자녀,장남,58
81,학생,고딩,57
82,기타가족,며느리,56
83,기타가족,형님,55
83,친구,동창,55
85,기타가족,사위,53
86,부모님,아부지,52
86,회사동료,사원,52
88,배우자,서방,51
88,기타가족,남매,51
90,자녀,우리아이,50
91,기타가족,고모,48
91,기타가족,이모님,48
91,부모님,친정엄마,48
94,기타가족,장모,45
95,부모님,아비,44
95,부모님,시부모,44
95,부모님,외할머니,44
98,자녀,따님,43
99,친구,절친,42
99,연인,남친이,42
101,기타가족,여동생,41
102,연인,애인,40
102,자녀,딸래미,40
102,기타가족,손주,40
102,학생,중2,40
106,학생,고3,38
107,부모님,시부모님,37
107,연인,예랑,37
109,회사동료,차장,36
109,자녀,딸아이,36
109,기타가족,형부,36
112,자녀,우리딸,35
112,기타가족,막둥이,35
114,부모님,장모님,34
114,싱글,나혼자,34
114,자녀,딸내미,34
117,기타가족,남동생,32
117,배우자,예랑이,32
119,자녀,미성년자,31
119,회사동료,직장동료,31
121,기타가족,사촌동생,30
121,연인,남치니,30
123,부모님,모녀,29
123,부모님,시어머니,29
125,배우자,집사람,28
125,자녀,삼둥이,28
125,기타가족,손녀,28
125,부모님,할매,28
129,자녀,딸램,27
130,기타가족,차남,26
130,배우자,남편님,26
130,연인,여친,26
133,부모님,울엄마,25
133,부모님,할무니,25
133,자녀,우리아이들,25
133,자녀,울애,25
137,기타가족,태아,24
137,학생,중1,24
137,자녀,우리애,24
140,자녀,큰아이,23
141,자녀,외동,22
141,학생,고2,22
143,부모님,외할아버지,21
143,자녀,워킹맘,21
145,자녀,아들래미,20
145,학생,중딩,20
145,자녀,울애기,20
145,부모님,조부모,20
149,학생,중3,19
150,배우자,남펴니,18
151,자녀,우리아들,17
151,자녀,큰아들,17
151,자녀,아들램,17
151,기타가족,이모님들,17
155,자녀,둘째아들,16
156,부모님,할머님,15
157,친구,베프,14
158,자녀,큰딸,13
158,기타가족,손주들,13
158,부모님,시아버지,13
161,부모님,엄니,12
161,기타가족,외삼촌,12
161,배우자,마눌,12
161,자녀,저희아이,12
161,기타가족,효녀,12
161,기타가족,울언니,12
167,부모님,시아버님,11
167,연인,예비신랑,11
167,친구,룸메,11
167,연인,예비신부,11
171,기타가족,시누,10
171,배우자,남표니,10
173,친구,프렌드,9
173,자녀,장녀,9
173,자녀,둥이들,9
173,기타가족,시누이,9
173,학생,재수생,9
173,학생,고삼,9
179,부모님,증조부,8
179,부모님,친정아버지,8
179,배우자,남푠,8
179,부모님,할부지,8
179,자녀,맏딸,8
179,싱글,독신,8
179,회사동료,회사동료,8
179,기타가족,새언니,8
179,부모님,할배,8
179,부모님,할아부지,8
179,자녀,첫째딸,8
179,부모님,할아버님,8
179,부모님,시어머님,8
179,부모님,어무이,8
179,기타가족,처제,8
194,배우자,마누라,7
194,연인,남친님,7
194,자녀,아들녀석,7
194,기타가족,숙부,7
194,배우자,예신,7
194,기타가족,친정식구,7
194,기타가족,덩생,7
194,배우자,우리신랑,7
194,자녀,큰애,7
194,배우자,울신랑,7
194,자녀,손녀딸,7
194,회사동료,여직원,7
194,기타가족,친지,7
207,기타가족,가족모두,6
207,부모님,시모,6
207,자녀,직장맘,6
207,기타가족,친정식구들,6
207,배우자,안사람,6
207,배우자,마님,6
207,회사동료,회사사람,6
207,배우자,애엄마,6
207,학생,초6,6
207,자녀,맏아들,6
207,학생,초1,6
218,배우자,마눌님,5
218,학생,초3,5
218,자녀,울딸,5
218,부모님,장인어른,5
218,자녀,울아들,5
218,자녀,아들내미,5
218,자녀,저희딸,5
218,부모님,친정어머니,5
218,자녀,저희애,5
218,학생,초4,5
218,기타가족,혈육,5
218,배우자,남의편,5
218,기타가족,올케,5
218,배우자,아자씨,5
218,자녀,우리애들,5
218,회사동료,회사직원,5
234,기타가족,외손자,4
234,자녀,첫째아이,4
234,친구,남사친,4
234,친구,여사친,4
234,연인,남친몬,4
234,학생,초2,4
234,부모님,친정아빠,4
234,배우자,와이프님,4
234,기타가족,숙모,4
234,자녀,첫째아들,4
234,싱글,싱글남,4
234,배우자,저희신랑,4
234,기타가족,시댁식구,4
247,기타가족,장손,3
247,자녀,저희아들,3
247,자녀,큰놈,3
247,배우자,주말부부,3
247,연인,여친님,3
247,자녀,저희애들,3
247,자녀,딸냄,3
247,자녀,첫아이,3
247,기타가족,사돈,3
247,회사동료,직장상사,3
247,배우자,낭군님,3
247,학생,초5,3
247,자녀,젖먹이,3
247,배우자,저희남편,3
247,기타가족,손자들,3
247,자녀,차녀,3
247,자녀,아들딸,3
247,기타가족,시댁식구들,3
247,자녀,둘째딸,3
266,기타가족,며늘,2
266,부모님,양가부모님,2
266,연인,썸녀,2
266,자녀,외동딸,2
266,자녀,둘째아이,2
266,부모님,친정아부지,2
266,자녀,여식,2
266,기타가족,시동생,2
266,자녀,첫아기,2
266,자녀,외동아들,2
266,배우자,영감님,2
266,자녀,울아이,2
266,싱글,싱글족,2
279,싱글,나홀로족,1
279,자녀,아들자식,1
279,기타가족,막내며느리,1
279,배우자,아이아빠,1
279,부모님,시엄니,1
279,연인,썸남,1
279,기타가족,손자손녀,1
279,부모님,외할무니,1
279,부모님,할멈,1
279,자녀,첫아들,1
279,배우자,우리영감,1
279,배우자,울랑,1
279,배우자,애아빠,1
279,부모님,시어른,1
279,기타가족,맏며느리,1
279,기타가족,막내사위,1
279,자녀,외아들,1
279,회사동료,회사선배,1
279,부모님,시어미,1
279,기타가족,외손주,1
279,배우자,아이들엄마,1
279,부모님,외할매,1
279,연인,약혼녀,1
279,자녀,작은녀석,1
279,자녀,첫째아기,1
279,자녀,초보엄마,1
279,기타가족,외손녀,1
279,연인,약혼자,1
279,부모님,시아부지,1
279,부모님,외할배,1
