지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,908.0,2.89
41113,수원시 권선구,1128.0,2.83
41115,수원시 팔달구,620.0,2.56
41117,수원시 영통구,899.0,2.92
41131,성남시 수정구,890.0,2.84
41133,성남시 중원구,1087.0,2.7
41135,성남시 분당구,887.0,2.99
41150,의정부시,1457.0,2.89
41171,안양시 만안구,938.0,2.8
41173,안양시 동안구,1067.0,2.89
41190,부천시,1292.0,2.93
41210,광명시,749.0,2.82
41220,평택시,2504.0,3.04
41250,동두천시,1249.0,2.76
41271,안산시 상록구,1575.0,2.9
41273,안산시 단원구,1103.0,2.6
41281,고양시 덕양구,957.0,2.91
41285,고양시 일산동구,883.0,2.91
41287,고양시 일산서구,952.0,2.9
41290,과천시,666.0,3.0
41310,구리시,674.0,2.83
41360,남양주시,1242.0,2.81
41370,오산시,1365.0,2.93
41390,시흥시,1177.0,2.83
41410,군포시,1230.0,2.91
41430,의왕시,632.0,2.85
41450,하남시,726.0,2.89
41461,용인시 처인구,1121.0,2.64
41463,용인시 기흥구,1075.0,2.98
41465,용인시 수지구,1242.0,2.99
41480,파주시,1284.0,2.85
41500,이천시,1273.0,2.89
41550,안성시,1017.0,2.78
41570,김포시,1344.0,2.92
41590,화성시,1483.0,2.83
41610,광주시,1501.0,2.96
41630,양주시,1126.0,2.75
41650,포천시,1144.0,2.47
41670,여주시,1129.0,2.7
41800,연천군,1324.0,2.54
41820,가평군,1108.0,2.25
41830,양평군,1490.0,2.55
