시군구명,시도명,관광지명,구분
파주시,경기도,파주 임진각(평화누리공원),역사관광지
파주시,경기도,미메시스 아트 뮤지엄,문화시설
파주시,경기도,마장호수,자연관광지
파주시,경기도,헤이리 예술마을,체험관광지
파주시,경기도,제3땅굴,역사관광지
파주시,경기도,황인용 뮤직 스페이스 <카메라타>,문화시설
파주시,경기도,판문점,역사관광지
파주시,경기도,마장호수 출렁다리,건축/조형물
파주시,경기도,파주 카트랜드,육상 레포츠
파주시,경기도,캠프 그리브스,역사관광지
파주시,경기도,프로방스 마을,체험관광지
파주시,경기도,감악산 출렁다리,건축/조형물
파주시,경기도,재미있는 추억 박물관,문화시설
파주시,경기도,벽초지수목원,자연관광지
파주시,경기도,한국근현대사박물관,문화시설
파주시,경기도,퍼스트가든,자연관광지
파주시,경기도,대성동 자유의 마을,역사관광지
파주시,경기도,임진강 황포돛배,휴양관광지
파주시,경기도,쇠꼴마을,체험관광지
파주시,경기도,오두산 통일전망대,건축/조형물
파주시,경기도,콩스콩스두부,음식점
파주시,경기도,감악산(파주),자연관광지
파주시,경기도,파주 출판도시,산업관광지
파주시,경기도,자유의 다리(파주),역사관광지
파주시,경기도,우농타조농장,산업관광지
파주시,경기도,도라전망대,건축/조형물
파주시,경기도,파주 장단콩마을,체험관광지
파주시,경기도,북카페 블루박스,음식점
파주시,경기도,반구정과 황희선생유적지,역사관광지
파주시,경기도,말똥도넛 디저트타운,음식점
파주시,경기도,모산목장,체험관광지
파주시,경기도,더티 트렁크,음식점
파주시,경기도,심학산 산림공원,자연관광지
파주시,경기도,지혜의 숲,문화시설
파주시,경기도,평화랜드,자연관광지
파주시,경기도,동화나라,문화시설
파주시,경기도,고구려최강달인의집,음식점
파주시,경기도,운계폭포,자연관광지
파주시,경기도,열화당책박물관,문화시설
파주시,경기도,파주 맛고을 음식문화거리,체험관광지
파주시,경기도,갈릴리농원_본관,음식점
파주시,경기도,복두부집,음식점
파주시,경기도,청산어죽,음식점
파주시,경기도,경기미래교육 파주캠퍼스,체험관광지
파주시,경기도,평화누리길 9코스 율곡길,육상 레포츠
파주시,경기도,화석정,역사관광지
파주시,경기도,파주이이유적,역사관광지
파주시,경기도,구삼뮤지엄,문화시설
파주시,경기도,통일동산 관광특구,휴양관광지
파주시,경기도,파주향교,역사관광지
파주시,경기도,아트센터 화이트블럭,문화시설
파주시,경기도,MUNJIRI.535,음식점
파주시,경기도,임진강 독개다리,역사관광지
파주시,경기도,율곡수목원,자연관광지
파주시,경기도,93뮤지엄,문화시설
파주시,경기도,아시아출판문화정보센터,건축/조형물
파주시,경기도,뮌스터담,음식점
파주시,경기도,파주 DMZ 생태연구소,자연관광지
파주시,경기도,헤이리스,문화시설
파주시,경기도,장산전망대,건축/조형물
파주시,경기도,삐아또 고메,음식점
파주시,경기도,도라산역,역사관광지
파주시,경기도,임진각평화곤돌라(파주디엠지곤돌라),복합 레포츠
파주시,경기도,한길 책박물관,문화시설
파주시,경기도,활판공방,문화시설
파주시,경기도,파주공룡박물관,문화시설
파주시,경기도,파주 삼릉 [유네스코 세계문화유산],역사관광지
파주시,경기도,도라산 평화공원,역사관광지
파주시,경기도,파머스테이블,음식점
파주시,경기도,신세계사이먼 파주 프리미엄 아울렛,쇼핑
파주시,경기도,명필름아트센터,문화시설
파주시,경기도,가림시골밥상,음식점
파주시,경기도,우연히설렘,음식점
파주시,경기도,소울원,자연관광지
파주시,경기도,산머루농원,산업관광지
파주시,경기도,박달산(파주),자연관광지
파주시,경기도,옛날시골밥상,음식점
파주시,경기도,레드파이프,음식점
파주시,경기도,쥬라리움 파주점,자연관광지
파주시,경기도,갤러리 MOA,문화시설
파주시,경기도,평화를 품은 집,산업관광지
파주시,경기도,한향림옹기박물관,문화시설
파주시,경기도,밥상마루,음식점
파주시,경기도,호메오 (Homeo),쇼핑
파주시,경기도,보광사(파주),역사관광지
파주시,경기도,용암사(파주),역사관광지
파주시,경기도,교하동 고인돌 산림욕장,역사관광지
파주시,경기도,파주돌짜장,음식점
파주시,경기도,스토리 미니어처 뮤지엄,문화시설
파주시,경기도,행복한 마음(김영사 북아울렛),문화시설
파주시,경기도,국립민속박물관 파주,문화시설
파주시,경기도,갤러리박영,문화시설
파주시,경기도,파주 나비나라박물관,문화시설
파주시,경기도,샹배베이커리,음식점
파주시,경기도,아이노스,음식점
파주시,경기도,아지동테마파크(헤이리마을),자연관광지
파주시,경기도,파주라기파크,문화시설
파주시,경기도,파운커피,음식점
파주시,경기도,오래된 서점,문화시설
파주시,경기도,[경기옛길 의주길 제5길] 임진나루길(선유삼거리 ~ 임진각),육상 레포츠
