순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202209,134322,134322.0
2,경기도,파주시,벽초지수목원,202209,38698,38698.0
3,경기도,파주시,퍼스트가든,202209,29526,29526.0
4,경기도,파주시,헤이리예술마을,202209,28415,28415.0
5,경기도,파주시,통일전망대,202209,16276,16276.0
6,경기도,파주시,공릉관광지(하니랜드),202209,14681,14681.0
7,경기도,파주시,서서울컨트리클럽,202209,11887,11887.0
8,경기도,파주시,제3땅굴,202209,8055,8055.0
9,경기도,파주시,서원밸리골프클럽,202209,8032,8032.0
10,경기도,파주시,율곡선생유적지,202209,7082,7082.0
11,경기도,파주시,황희선생유적지,202209,6509,6509.0
12,경기도,파주시,파주삼릉,202209,5995,5995.0
13,경기도,파주시,경기미래교육 파주캠퍼스,202209,5780,5780.0
14,경기도,파주시,베스트밸리,202209,5364,5364.0
15,경기도,파주시,황포돛배,202209,3742,3742.0
16,경기도,파주시,소울원,202209,3186,3186.0
17,경기도,파주시,우농타조농장,202209,2756,2756.0
18,경기도,파주시,파주장릉,202209,2605,2605.0
19,경기도,파주시,쇠꼴마을,202209,1852,1852.0
20,경기도,파주시,산머루농원,202209,410,410.0
21,경기도,파주시,영집궁시박물관,202209,393,393.0
22,경기도,파주시,두루뫼박물관,202209,254,254.0
