순위,관광지ID,업소명,분류
1,357f0f3a1ef39f5f06dde3f2f6cc593e,뮌스터담,카페/찻집
2,bad006bbedb44e6e4ef07895a314e7e1,앤드테라스파주점,카페/찻집
3,aaa87c86646f26fb6d2303ee3ca586a5,더티트렁크,카페/찻집
4,dbc9168a6a836218c8f16ca21ca69aab,말똥도넛디저트타운파주점,카페/찻집
5,ca5d69dee48c1b93461ebc8491b6184f,문지리535,카페/찻집
6,2539e333aa03d1c09bbfad6e8545423b,키누카누파주야당점,전문음식
7,e37b6ce6ac8684b377c1e37e473f5cc3,스타벅스파주야당DT점,카페/찻집
8,0a523af3b049c95f180988fd052d9eb3,브릭루즈,카페/찻집
9,a55248ebeba926e53528618f7ab6ac32,심학산도토리국수본점,한식
10,c3ce179673329f9f3c80fa57913ad561,레드파이프,카페/찻집
11,1da2b8cd21c2120c64604e65662c95e0,스타벅스파주문산DT점,카페/찻집
11,c63dd07550fcb253cdcc0b6b46c4c771,스타벅스파주야당역점,카페/찻집
13,e1ad4bb422c4422e405c2b422b431707,브런치빈운정점,전문음식
14,eaecebf3127012c84fc7822cf5b2be9c,심슨더스파이스,외국식
15,ea338bb9f87e70dfcda107be605208a6,훈장골파주점,한식
16,62d7b588d14fe671dc7b24c6e05fcd61,내사랑동까스,전문음식
17,2fba09bc89481d8b0307a2f3e59220d8,마롱리면사무소카페,카페/찻집
18,491a66e11786052b37caf35aecd4e79b,해브펀카페베이커리,카페/찻집
18,4b7575d2a64ea3473880fe1838b6f3e2,갈릴리농원본관,전문음식
20,4aef56b098e7250a15f9b0b00b8392a4,벙커힐파주점,전문음식
21,301a49db5cb084ebe041ff2f59c5714f,청산어죽,한식
22,f9ab148ed48809e8c32941f3e2afb592,복많네해물칼국수파주출판단지본점,한식
23,95acd56ce59b557df4d1940dd740cd1a,라플란드,카페/찻집
24,52c607075a6901d9c6ffb28c4a3fc6af,연리희재,카페/찻집
25,ff60878ce76ba222ffec402ec2429a12,버터킹빵공장,간이음식
26,1032b0f6e8415eb7e5691b9c48521122,총각네수산,전문음식
27,7046e3099bd4c3d0b249bed821f9d7c4,통일동산두부마을,전문음식
27,9937912f9b69fd3801ca420f673c36a2,반구정나루터집,전문음식
29,f3dc5cd3046bf706ccef8ffc575b131b,커피공장103헤이리점,카페/찻집
30,67bed2bdc8ff02441344b37082edf397,교하정,한식
31,d6ec4b067b2617760949edcb3afd362b,KFC파주운정DI점,간이음식
32,02ff1c8879f32eb68400e892434dfa62,서쪽하늘,간이음식
