week_label,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE
202401W1,부산여행,여행,국내여행,부산광역시,14100,3366,17466
202401W1,제주여행,여행,국내여행,제주특별자치도,11177,2224,13401
202401W1,여수여행,여행,국내여행,전라남도,8489,1560,10049
202401W1,경주여행,여행,국내여행,경상북도,6658,1586,8244
202401W1,강릉여행,여행,국내여행,강원도,6343,1510,7853
202401W1,군산여행,여행,국내여행,전라북도,6679,1112,7791
202401W1,전주여행,여행,국내여행,전라북도,5007,1039,6046
202401W1,속초여행,여행,국내여행,강원도,4461,1086,5547
202401W1,대구여행,여행,국내여행,대구광역시,4244,962,5206
202401W1,대전여행,여행,국내여행,대전광역시,1654,528,2182
202401W1,목포여행,여행,국내여행,전라남도,1731,323,2054
202401W1,청도여행,여행,국내여행,경상북도,969,46,1015
202401W2,부산여행,여행,국내여행,부산광역시,14374,3924,18298
202401W2,제주여행,여행,국내여행,제주특별자치도,11247,2709,13956
202401W2,여수여행,여행,국내여행,전라남도,8509,1652,10161
202401W2,경주여행,여행,국내여행,경상북도,7202,1680,8882
202401W2,강릉여행,여행,국내여행,강원도,6250,1747,7997
202401W2,군산여행,여행,국내여행,전라북도,6308,1219,7527
202401W2,전주여행,여행,국내여행,전라북도,5053,1274,6327
202401W2,속초여행,여행,국내여행,강원도,4295,1230,5525
202401W2,대구여행,여행,국내여행,대구광역시,4038,1074,5112
202401W2,목포여행,여행,국내여행,전라남도,2280,656,2936
202401W2,대전여행,여행,국내여행,대전광역시,1773,417,2190
202401W3,부산여행,여행,국내여행,부산광역시,14402,4159,18561
202401W3,제주여행,여행,국내여행,제주특별자치도,11082,2575,13657
202401W3,여수여행,여행,국내여행,전라남도,8655,1914,10569
202401W3,경주여행,여행,국내여행,경상북도,7179,2012,9191
202401W3,강릉여행,여행,국내여행,강원도,6383,1855,8238
202401W3,군산여행,여행,국내여행,전라북도,6428,1391,7819
202401W3,전주여행,여행,국내여행,전라북도,5357,1311,6668
202401W3,속초여행,여행,국내여행,강원도,4299,1221,5520
202401W3,대구여행,여행,국내여행,대구광역시,3622,934,4556
202401W3,대전여행,여행,국내여행,대전광역시,3427,1096,4523
202401W3,목포여행,여행,국내여행,전라남도,1254,251,1505
202401W4,부산여행,여행,국내여행,부산광역시,14066,4134,18200
202401W4,제주여행,여행,국내여행,제주특별자치도,12500,2862,15362
202401W4,여수여행,여행,국내여행,전라남도,8189,2027,10216
202401W4,경주여행,여행,국내여행,경상북도,6871,2211,9082
202401W4,강릉여행,여행,국내여행,강원도,6759,2098,8857
202401W4,군산여행,여행,국내여행,전라북도,6495,1374,7869
202401W4,전주여행,여행,국내여행,전라북도,5024,1318,6342
202401W4,속초여행,여행,국내여행,강원도,4529,1337,5866
202401W4,대구여행,여행,국내여행,대구광역시,3988,1096,5084
202401W4,대전여행,여행,국내여행,대전광역시,3516,887,4403
202401W4,목포여행,여행,국내여행,전라남도,702,67,769
202401W5,부산여행,여행,국내여행,부산광역시,5727,2115,7842
202401W5,제주여행,여행,국내여행,제주특별자치도,4276,1496,5772
202401W5,여수여행,여행,국내여행,전라남도,3308,1137,4445
202401W5,경주여행,여행,국내여행,경상북도,2987,1151,4138
202401W5,강릉여행,여행,국내여행,강원도,2839,1088,3927
202401W5,군산여행,여행,국내여행,전라북도,2649,780,3429
202401W5,전주여행,여행,국내여행,전라북도,2050,730,2780
202401W5,속초여행,여행,국내여행,강원도,1869,675,2544
202401W5,대구여행,여행,국내여행,대구광역시,1762,700,2462
202401W5,대전여행,여행,국내여행,대전광역시,1639,550,2189
202402W1,부산여행,여행,국내여행,부산광역시,13134,3968,17102
202402W1,제주여행,여행,국내여행,제주특별자치도,9148,2713,11861
202402W1,여수여행,여행,국내여행,전라남도,8097,2204,10301
202402W1,경주여행,여행,국내여행,경상북도,7017,2169,9186
202402W1,강릉여행,여행,국내여행,강원도,6514,2169,8683
202402W1,군산여행,여행,국내여행,전라북도,6428,1327,7755
202402W1,전주여행,여행,국내여행,전라북도,4879,1261,6140
202402W1,속초여행,여행,국내여행,강원도,4576,1455,6031
202402W1,대구여행,여행,국내여행,대구광역시,4118,1531,5649
202402W1,목포여행,여행,국내여행,전라남도,2498,778,3276
202402W1,대전여행,여행,국내여행,대전광역시,1123,251,1374
202402W2,부산여행,여행,국내여행,부산광역시,19267,3583,22850
202402W2,제주여행,여행,국내여행,제주특별자치도,10109,2381,12490
202402W2,여수여행,여행,국내여행,전라남도,9484,1730,11214
202402W2,경주여행,여행,국내여행,경상북도,8331,1940,10271
202402W2,군산여행,여행,국내여행,전라북도,8211,1299,9510
202402W2,강릉여행,여행,국내여행,강원도,7265,1682,8947
202402W2,전주여행,여행,국내여행,전라북도,5626,1264,6890
202402W2,속초여행,여행,국내여행,강원도,5239,1034,6273
202402W2,대구여행,여행,국내여행,대구광역시,4489,1323,5812
202402W2,목포여행,여행,국내여행,전라남도,3734,575,4309
202402W2,대전여행,여행,국내여행,대전광역시,526,195,721
202402W3,부산여행,여행,국내여행,부산광역시,17267,5074,22341
202402W3,제주여행,여행,국내여행,제주특별자치도,11120,3135,14255
202402W3,여수여행,여행,국내여행,전라남도,9652,2705,12357
202402W3,경주여행,여행,국내여행,경상북도,8685,3101,11786
202402W3,군산여행,여행,국내여행,전라북도,8875,2123,10998
202402W3,강릉여행,여행,국내여행,강원도,6880,2377,9257
202402W3,전주여행,여행,국내여행,전라북도,5951,1886,7837
202402W3,대구여행,여행,국내여행,대구광역시,4675,1873,6548
202402W3,속초여행,여행,국내여행,강원도,4870,1487,6357
202402W3,목포여행,여행,국내여행,전라남도,4790,1412,6202
202402W4,부산여행,여행,국내여행,부산광역시,15875,4853,20728
202402W4,여수여행,여행,국내여행,전라남도,10465,2880,13345
202402W4,제주여행,여행,국내여행,제주특별자치도,9988,2905,12893
202402W4,경주여행,여행,국내여행,경상북도,9184,3071,12255
202402W4,군산여행,여행,국내여행,전라북도,9786,2402,12188
202402W4,강릉여행,여행,국내여행,강원도,7342,2452,9794
202402W4,전주여행,여행,국내여행,전라북도,6877,2055,8932
202402W4,속초여행,여행,국내여행,강원도,6039,1886,7925
202402W4,대구여행,여행,국내여행,대구광역시,5132,1963,7095
202402W4,목포여행,여행,국내여행,전라남도,4465,1408,5873
202402W4,대전여행,여행,국내여행,대전광역시,593,176,769
202402W5,부산여행,여행,국내여행,부산광역시,2063,729,2792
202402W5,군산여행,여행,국내여행,전라북도,1753,452,2205
202402W5,여수여행,여행,국내여행,전라남도,1474,396,1870
202402W5,경주여행,여행,국내여행,경상북도,1253,478,1731
202402W5,강릉여행,여행,국내여행,강원도,1121,461,1582
202402W5,제주여행,여행,국내여행,제주특별자치도,1133,387,1520
202402W5,전주여행,여행,국내여행,전라북도,1096,346,1442
202402W5,속초여행,여행,국내여행,강원도,946,307,1253
202402W5,대구여행,여행,국내여행,대구광역시,838,360,1198
202402W5,목포여행,여행,국내여행,전라남도,870,220,1090
202403W1,부산여행,여행,국내여행,부산광역시,10866,2602,13468
202403W1,제주여행,여행,국내여행,제주특별자치도,8977,2391,11368
202403W1,여수여행,여행,국내여행,전라남도,7696,1794,9490
202403W1,군산여행,여행,국내여행,전라북도,7533,1165,8698
202403W1,경주여행,여행,국내여행,경상북도,6583,2003,8586
202403W1,강릉여행,여행,국내여행,강원도,5073,1458,6531
202403W1,전주여행,여행,국내여행,전라북도,4555,1133,5688
202403W1,목포여행,여행,국내여행,전라남도,4458,796,5254
202403W1,대구여행,여행,국내여행,대구광역시,3715,1188,4903
202403W1,속초여행,여행,국내여행,강원도,2927,707,3634
202403W1,대전여행,여행,국내여행,대전광역시,908,210,1118
202403W2,부산여행,여행,국내여행,부산광역시,10100,3451,13551
202403W2,제주여행,여행,국내여행,제주특별자치도,8840,2792,11632
202403W2,여수여행,여행,국내여행,전라남도,7284,2251,9535
202403W2,경주여행,여행,국내여행,경상북도,6519,2610,9129
202403W2,군산여행,여행,국내여행,전라북도,5957,1459,7416
202403W2,강릉여행,여행,국내여행,강원도,4736,1746,6482
202403W2,전주여행,여행,국내여행,전라북도,4178,1495,5673
202403W2,목포여행,여행,국내여행,전라남도,3148,833,3981
202403W2,속초여행,여행,국내여행,강원도,2835,1062,3897
202403W2,대구여행,여행,국내여행,대구광역시,2968,912,3880
202403W2,대전여행,여행,국내여행,대전광역시,1414,394,1808
202403W3,부산여행,여행,국내여행,부산광역시,10239,3583,13822
202403W3,제주여행,여행,국내여행,제주특별자치도,8817,2820,11637
202403W3,여수여행,여행,국내여행,전라남도,8467,2432,10899
202403W3,경주여행,여행,국내여행,경상북도,7461,2963,10424
202403W3,군산여행,여행,국내여행,전라북도,6053,1417,7470
202403W3,강릉여행,여행,국내여행,강원도,4854,1643,6497
202403W3,전주여행,여행,국내여행,전라북도,4489,1573,6062
202403W3,대구여행,여행,국내여행,대구광역시,3669,1139,4808
202403W3,목포여행,여행,국내여행,전라남도,3710,1053,4763
202403W3,속초여행,여행,국내여행,강원도,1944,561,2505
202403W3,대전여행,여행,국내여행,대전광역시,1276,528,1804
202403W4,부산여행,여행,국내여행,부산광역시,10239,3420,13659
202403W4,여수여행,여행,국내여행,전라남도,9103,2652,11755
202403W4,경주여행,여행,국내여행,경상북도,8171,3145,11316
202403W4,제주여행,여행,국내여행,제주특별자치도,8396,2766,11162
202403W4,군산여행,여행,국내여행,전라북도,6446,1510,7956
202403W4,전주여행,여행,국내여행,전라북도,4837,1642,6479
202403W4,강릉여행,여행,국내여행,강원도,4660,1724,6384
202403W4,목포여행,여행,국내여행,전라남도,4390,1171,5561
202403W4,대구여행,여행,국내여행,대구광역시,3560,1131,4691
202403W4,속초여행,여행,국내여행,강원도,2678,1227,3905
