연도,월,RESPOND_CHARTR_SDIV_ID,RESPOND_CHARTR_SDIV_NM,RSPNS_RATE
2021,10,SEXDSTN_M,남성,51.9
2021,10,SEXDSTN_F,여성,48.1
2021,10,AGRDE_20,20대,19.1
2021,10,AGRDE_30,30대,22.9
2021,10,AGRDE_40,40대,23.9
2021,10,AGRDE_50,50대,20.1
2021,10,AGRDE_60,60대,14.0
2021,10,OC_AREA_SU,서울,20.4
2021,10,OC_AREA_BS,부산,6.6
2021,10,OC_AREA_DG,대구,5.4
2021,10,OC_AREA_IC,인천,6.4
2021,10,OC_AREA_GJ,광주,3.1
2021,10,OC_AREA_DJ,대전,2.9
2021,10,OC_AREA_US,울산,2.1
2021,10,OC_AREA_GG,경기,25.1
2021,10,OC_AREA_GW,강원,2.3
2021,10,OC_AREA_CB,충청북도,2.8
2021,10,OC_AREA_CN,충청남도(세종시 포함),4.6
2021,10,OC_AREA_JNBK,전라북도,3.4
2021,10,OC_AREA_JN,전라남도,3.2
2021,10,OC_AREA_GB,경상북도,5.3
2021,10,OC_AREA_GN,경상남도,5.7
2021,10,OC_AREA_JJ,제주,0.9
2021,10,HSHLD_INCOME_300,300만원 미만,11.6
2021,10,HSHLD_INCOME_300_500,300이상500만원 미만,28.3
2021,10,HSHLD_INCOME_500_700,500이상700만원 미만,30.0
2021,10,HSHLD_INCOME_700,700만원 이상,30.1
2021,10,JOB_SE,자영업,6.6
2021,10,JOB_SL,판매/서비스직,4.4
2021,10,JOB_GMW,기능/숙련/일반작업직,5.2
2021,10,JOB_WC,사무/기술직,50.4
2021,10,JOB_BM,경영/관리/전문직,9.4
2021,10,JOB_HW,전업주부,8.1
2021,10,JOB_GS,대학/대학원생,6.7
2021,10,JOB_ETC,기타/무직,9.2
2021,10,MRST_UM,미혼,38.3
2021,10,MRST_NK,신혼기(자녀 없음),8.1
2021,10,MRST_KD_EL,자녀 유아&성장(막내 입학전~초등생),20.8
2021,10,MRST_KD_MD,자녀 성장(막내 중고생),8.2
2021,10,MRST_KD_CL,자녀 성인(막내 대학),19.5
2021,10,MRST_KD_MR,자녀 독립(막내 결혼),5.1
2021,11,SEXDSTN_M,남성,51.9
2021,11,SEXDSTN_F,여성,48.1
2021,11,AGRDE_20,20대,18.7
2021,11,AGRDE_30,30대,21.3
2021,11,AGRDE_40,40대,25.1
2021,11,AGRDE_50,50대,21.0
2021,11,AGRDE_60,60대,13.9
2021,11,OC_AREA_SU,거주지역_서울특별시,20.5
2021,11,OC_AREA_BS,거주지역_부산광역시,6.8
2021,11,OC_AREA_DG,거주지역_대구광역시,5.6
2021,11,OC_AREA_IC,거주지역_인천광역시,6.1
2021,11,OC_AREA_GJ,거주지역_광주광역시,3.2
2021,11,OC_AREA_DJ,거주지역_대전광역시,3.0
2021,11,OC_AREA_US,거주지역_울산광역시,2.5
2021,11,OC_AREA_GG,거주지역_경기도,24.3
2021,11,OC_AREA_GW,거주지역_강원도,2.7
2021,11,OC_AREA_CHNB,거주지역_충청북도,2.8
2021,11,OC_AREA_CHNN_SJ,거주지역_충청남도(세종시 포함),4.4
2021,11,OC_AREA_JLBK,거주지역_전라북도,3.3
2021,11,OC_AREA_JLNM,거주지역_전라남도,2.8
2021,11,OC_AREA_GYNB,거주지역_경상북도,4.6
2021,11,OC_AREA_GYNN,거주지역_경상남도,6.4
2021,11,OC_AREA_JJ,거주지역_제주특별자치도,1.0
2021,11,HSHLD_INCOME_300,300만원 미만,11.0
2021,11,HSHLD_INCOME_300_500,300이상500만원 미만,26.3
2021,11,HSHLD_INCOME_500_700,500이상700만원 미만,30.1
2021,11,HSHLD_INCOME_700,700만원 이상,32.7
2021,11,JOB_SE,자영업,8.0
2021,11,JOB_SL,판매/서비스직,4.4
2021,11,JOB_GMW,기능/숙련/일반작업직,4.4
2021,11,JOB_WC,사무/기술직,50.3
2021,11,JOB_BM,경영/관리/전문직,7.9
2021,11,JOB_HW,전업주부,9.5
2021,11,JOB_GS,대학/대학원생,5.1
2021,11,JOB_ETC,기타/무직,10.2
2021,11,MRST_UM,미혼,35.7
2021,11,MRST_NK,신혼기(자녀 없음),9.0
2021,11,MRST_KD_EL,자녀 유아&성장(막내 입학전~초등생),21.6
2021,11,MRST_KD_MD,자녀 성장(막내 중고생),8.9
2021,11,MRST_KD_CL,자녀 성인(막내 대학),19.7
2021,11,MRST_KD_MR,자녀 독립(막내 결혼),5.1
2021,12,SEXDSTN_M,남성,52.5
2021,12,SEXDSTN_F,여성,47.5
2021,12,AGRDE_20,20대,19.1
2021,12,AGRDE_30,30대,23.0
2021,12,AGRDE_40,40대,23.5
2021,12,AGRDE_50,50대,21.1
2021,12,AGRDE_60,60대,13.4
2021,12,OC_AREA_SU,거주지역_서울특별시,19.6
2021,12,OC_AREA_BS,거주지역_부산광역시,6.2
2021,12,OC_AREA_DG,거주지역_대구광역시,5.1
2021,12,OC_AREA_IC,거주지역_인천광역시,6.0
2021,12,OC_AREA_GJ,거주지역_광주광역시,3.3
2021,12,OC_AREA_DJ,거주지역_대전광역시,3.1
2021,12,OC_AREA_US,거주지역_울산광역시,2.4
2021,12,OC_AREA_GG,거주지역_경기도,25.0
2021,12,OC_AREA_GW,거주지역_강원도,2.7
2021,12,OC_AREA_CHNB,거주지역_충청북도,3.4
2021,12,OC_AREA_CHNN_SJ,거주지역_충청남도(세종시 포함),4.4
2021,12,OC_AREA_JLBK,거주지역_전라북도,3.3
2021,12,OC_AREA_JLNM,거주지역_전라남도,3.3
2021,12,OC_AREA_GYNB,거주지역_경상북도,4.6
2021,12,OC_AREA_GYNN,거주지역_경상남도,6.6
2021,12,OC_AREA_JJ,거주지역_제주특별자치도,1.1
2021,12,HSHLD_INCOME_300,300만원 미만,11.7
2021,12,HSHLD_INCOME_300_500,300이상500만원 미만,26.1
2021,12,HSHLD_INCOME_500_700,500이상700만원 미만,29.9
2021,12,HSHLD_INCOME_700,700만원 이상,32.3
2021,12,JOB_SE,자영업,7.6
2021,12,JOB_SL,판매/서비스직,4.1
2021,12,JOB_GMW,기능/숙련/일반작업직,4.5
2021,12,JOB_WC,사무/기술직,49.8
2021,12,JOB_BM,경영/관리/전문직,8.8
2021,12,JOB_HW,전업주부,8.8
2021,12,JOB_GS,대학/대학원생,5.3
2021,12,JOB_ETC,기타/무직,11.1
2021,12,MRST_UM,미혼,37.7
2021,12,MRST_NK,신혼기(자녀 없음),8.2
2021,12,MRST_KD_EL,자녀 유아&성장(막내 입학전~초등생),20.2
2021,12,MRST_KD_MD,자녀 성장(막내 중고생),8.8
2021,12,MRST_KD_CL,자녀 성인(막내 대학),19.3
2021,12,MRST_KD_MR,자녀 독립(막내 결혼),6.0
2022,1,SEXDSTN_M,남성,52.3
2022,1,SEXDSTN_F,여성,47.7
2022,1,AGRDE_20,20대,18.7
2022,1,AGRDE_30,30대,18.9
2022,1,AGRDE_40,40대,21.8
2022,1,AGRDE_50,50대,22.3
2022,1,AGRDE_60,60대,18.3
2022,1,OC_AREA_SU,거주지역_서울특별시,19.0
2022,1,OC_AREA_BS,거주지역_부산광역시,6.6
2022,1,OC_AREA_DG,거주지역_대구광역시,4.9
2022,1,OC_AREA_IC,거주지역_인천광역시,5.3
2022,1,OC_AREA_GJ,거주지역_광주광역시,2.7
2022,1,OC_AREA_DJ,거주지역_대전광역시,2.6
2022,1,OC_AREA_US,거주지역_울산광역시,2.4
2022,1,OC_AREA_GG,거주지역_경기도,27.4
2022,1,OC_AREA_GW,거주지역_강원도,3.1
2022,1,OC_AREA_CHNB,거주지역_충청북도,2.6
2022,1,OC_AREA_CHNN_SJ,거주지역_충청남도(세종시 포함),4.8
2022,1,OC_AREA_JLBK,거주지역_전라북도,2.7
2022,1,OC_AREA_JLNM,거주지역_전라남도,3.5
2022,1,OC_AREA_GYNB,거주지역_경상북도,4.5
2022,1,OC_AREA_GYNN,거주지역_경상남도,6.8
2022,1,OC_AREA_JJ,거주지역_제주특별자치도,1.1
2022,1,HSHLD_INCOME_300,300만원 미만,11.8
2022,1,HSHLD_INCOME_300_500,300이상500만원 미만,26.6
2022,1,HSHLD_INCOME_500_700,500이상700만원 미만,28.9
2022,1,HSHLD_INCOME_700,700만원 이상,32.8
2022,1,JOB_SE,자영업,6.7
2022,1,JOB_SL,판매/서비스직,5.1
2022,1,JOB_GMW,기능/숙련/일반작업직,6.1
2022,1,JOB_WC,사무/기술직,44.6
2022,1,JOB_BM,경영/관리/전문직,9.6
2022,1,JOB_HW,전업주부,9.8
2022,1,JOB_GS,대학/대학원생,6.4
2022,1,JOB_ETC,기타/무직,11.7
2022,1,MRST_UM,미혼,35.8
2022,1,MRST_NK,신혼기(자녀 없음),7.7
2022,1,MRST_KD_EL,자녀 유아&성장(막내 입학전~초등생),18.0
2022,1,MRST_KD_MD,자녀 성장(막내 중고생),6.8
2022,1,MRST_KD_CL,자녀 성인(막내 대학),25.7
2022,1,MRST_KD_MR,자녀 독립(막내 결혼),6.0
2022,2,SEXDSTN_M,남성,51.8
2022,2,SEXDSTN_F,여성,48.2
2022,2,AGRDE_20,20대,19.1
2022,2,AGRDE_30,30대,19.9
2022,2,AGRDE_40,40대,21.5
2022,2,AGRDE_50,50대,21.5
2022,2,AGRDE_60,60대,18.0
2022,2,OC_AREA_SU,거주지역_서울특별시,18.2
2022,2,OC_AREA_BS,거주지역_부산광역시,6.4
2022,2,OC_AREA_DG,거주지역_대구광역시,5.0
2022,2,OC_AREA_IC,거주지역_인천광역시,6.6
2022,2,OC_AREA_GJ,거주지역_광주광역시,2.4
2022,2,OC_AREA_DJ,거주지역_대전광역시,3.2
2022,2,OC_AREA_US,거주지역_울산광역시,2.2
2022,2,OC_AREA_GG,거주지역_경기도,27.6
2022,2,OC_AREA_GW,거주지역_강원도,2.6
2022,2,OC_AREA_CHNB,거주지역_충청북도,3.0
2022,2,OC_AREA_CHNN_SJ,거주지역_충청남도(세종시 포함),4.5
2022,2,OC_AREA_JLBK,거주지역_전라북도,3.2
2022,2,OC_AREA_JLNM,거주지역_전라남도,2.8
2022,2,OC_AREA_GYNB,거주지역_경상북도,4.3
2022,2,OC_AREA_GYNN,거주지역_경상남도,6.7
2022,2,OC_AREA_JJ,거주지역_제주특별자치도,1.2
2022,2,HSHLD_INCOME_300,300만원 미만,11.8
2022,2,HSHLD_INCOME_300_500,300이상500만원 미만,24.3
2022,2,HSHLD_INCOME_500_700,500이상700만원 미만,27.9
2022,2,HSHLD_INCOME_700,700만원 이상,36.0
2022,2,JOB_SE,자영업,7.8
2022,2,JOB_SL,판매/서비스직,3.9
2022,2,JOB_GMW,기능/숙련/일반작업직,4.3
2022,2,JOB_WC,사무/기술직,45.7
2022,2,JOB_BM,경영/관리/전문직,10.1
2022,2,JOB_HW,전업주부,9.5
2022,2,JOB_GS,대학/대학원생,6.6
2022,2,JOB_ETC,기타/무직,12.2
2022,2,MRST_UM,미혼,35.0
2022,2,MRST_NK,신혼기(자녀 없음),7.6
2022,2,MRST_KD_EL,자녀 유아&성장(막내 입학전~초등생),17.9
2022,2,MRST_KD_MD,자녀 성장(막내 중고생),8.1
2022,2,MRST_KD_CL,자녀 성인(막내 대학),24.7
2022,2,MRST_KD_MR,자녀 독립(막내 결혼),6.6
2022,3,SEXDSTN_M,남성,53.1
2022,3,SEXDSTN_F,여성,46.9
2022,3,AGRDE_20,20대,18.8
2022,3,AGRDE_30,30대,19.3
2022,3,AGRDE_40,40대,22.6
2022,3,AGRDE_50,50대,20.8
2022,3,AGRDE_60,60대,18.6
2022,3,OC_AREA_SU,거주지역_서울특별시,19.8
2022,3,OC_AREA_BS,거주지역_부산광역시,6.3
2022,3,OC_AREA_DG,거주지역_대구광역시,4.1
2022,3,OC_AREA_IC,거주지역_인천광역시,5.8
2022,3,OC_AREA_GJ,거주지역_광주광역시,3.5
2022,3,OC_AREA_DJ,거주지역_대전광역시,3.1
2022,3,OC_AREA_US,거주지역_울산광역시,1.8
2022,3,OC_AREA_GG,거주지역_경기도,26.0
2022,3,OC_AREA_GW,거주지역_강원도,2.9
2022,3,OC_AREA_CHNB,거주지역_충청북도,3.0
2022,3,OC_AREA_CHNN_SJ,거주지역_충청남도(세종시 포함),4.9
2022,3,OC_AREA_JLBK,거주지역_전라북도,3.2
2022,3,OC_AREA_JLNM,거주지역_전라남도,3.3
2022,3,OC_AREA_GYNB,거주지역_경상북도,4.8
2022,3,OC_AREA_GYNN,거주지역_경상남도,6.5
2022,3,OC_AREA_JJ,거주지역_제주특별자치도,1.0
2022,3,HSHLD_INCOME_300,300만원 미만,12.3
2022,3,HSHLD_INCOME_300_500,300이상500만원 미만,24.6
2022,3,HSHLD_INCOME_500_700,500이상700만원 미만,31.2
2022,3,HSHLD_INCOME_700,700만원 이상,31.9
2022,3,JOB_SE,자영업,10.0
2022,3,JOB_SL,판매/서비스직,3.8
2022,3,JOB_GMW,기능/숙련/일반작업직,5.8
2022,3,JOB_WC,사무/기술직,44.8
2022,3,JOB_BM,경영/관리/전문직,8.6
2022,3,JOB_HW,전업주부,9.2
2022,3,JOB_GS,대학/대학원생,5.2
2022,3,JOB_ETC,기타/무직,12.6
2022,3,MRST_UM,미혼,35.4
2022,3,MRST_NK,신혼기(자녀 없음),8.4
2022,3,MRST_KD_EL,자녀 유아&성장(막내 입학전~초등생),16.7
2022,3,MRST_KD_MD,자녀 성장(막내 중고생),6.5
2022,3,MRST_KD_CL,자녀 성인(막내 대학),26.7
2022,3,MRST_KD_MR,자녀 독립(막내 결혼),6.3
2022,4,SEXDSTN_M,남성,53.5
2022,4,SEXDSTN_F,여성,46.5
2022,4,AGRDE_20,20대,20.4
2022,4,AGRDE_30,30대,19.4
2022,4,AGRDE_40,40대,20.4
2022,4,AGRDE_50,50대,21.6
2022,4,AGRDE_60,60대,18.2
2022,4,OC_AREA_SU,거주지역_서울특별시,19.1
2022,4,OC_AREA_BS,거주지역_부산광역시,6.6
2022,4,OC_AREA_DG,거주지역_대구광역시,4.9
2022,4,OC_AREA_IC,거주지역_인천광역시,6.4
2022,4,OC_AREA_GJ,거주지역_광주광역시,3.0
2022,4,OC_AREA_DJ,거주지역_대전광역시,2.7
2022,4,OC_AREA_US,거주지역_울산광역시,2.2
2022,4,OC_AREA_GG,거주지역_경기도,27.7
2022,4,OC_AREA_GW,거주지역_강원도,2.7
2022,4,OC_AREA_CHNB,거주지역_충청북도,2.5
2022,4,OC_AREA_CHNN_SJ,거주지역_충청남도(세종시 포함),4.5
2022,4,OC_AREA_JLBK,거주지역_전라북도,3.1
2022,4,OC_AREA_JLNM,거주지역_전라남도,3.0
2022,4,OC_AREA_GYNB,거주지역_경상북도,5.0
2022,4,OC_AREA_GYNN,거주지역_경상남도,5.8
2022,4,OC_AREA_JJ,거주지역_제주특별자치도,0.9
2022,4,HSHLD_INCOME_300,300만원 미만,10.7
2022,4,HSHLD_INCOME_300_500,300이상500만원 미만,25.6
2022,4,HSHLD_INCOME_500_700,500이상700만원 미만,28.8
2022,4,HSHLD_INCOME_700,700만원 이상,34.9
2022,4,JOB_SE,자영업,7.0
2022,4,JOB_SL,판매/서비스직,4.7
2022,4,JOB_GMW,기능/숙련/일반작업직,5.3
