기간,기초지자체,검색건수
22.10~23.09,수원시 장안구,1299237
22.10~23.09,수원시 권선구,2872605
22.10~23.09,수원시 팔달구,3929758
22.10~23.09,수원시 영통구,3545118
22.10~23.09,성남시 수정구,1610842
22.10~23.09,성남시 중원구,579088
22.10~23.09,성남시 분당구,6304890
22.10~23.09,의정부시,2568176
22.10~23.09,안양시 만안구,1053438
22.10~23.09,안양시 동안구,1867200
22.10~23.09,부천시,3992243
22.10~23.09,광명시,3403282
22.10~23.09,평택시,4385649
22.10~23.09,동두천시,549064
22.10~23.09,안산시 상록구,1198385
22.10~23.09,안산시 단원구,2994062
22.10~23.09,고양시 덕양구,5841975
22.10~23.09,고양시 일산동구,4223950
22.10~23.09,고양시 일산서구,2950673
22.10~23.09,과천시,1400583
22.10~23.09,구리시,1837040
22.10~23.09,남양주시,7709345
22.10~23.09,오산시,1705733
22.10~23.09,시흥시,4536996
22.10~23.09,군포시,795063
22.10~23.09,의왕시,2272500
22.10~23.09,하남시,5410426
22.10~23.09,용인시 처인구,5737767
22.10~23.09,용인시 기흥구,4076630
22.10~23.09,용인시 수지구,2503290
22.10~23.09,파주시,7499263
22.10~23.09,이천시,3354390
22.10~23.09,안성시,3193081
22.10~23.09,김포시,5005854
22.10~23.09,화성시,8863287
22.10~23.09,광주시,3698060
22.10~23.09,양주시,2717552
22.10~23.09,포천시,3470797
22.10~23.09,여주시,3173888
22.10~23.09,연천군,826543
22.10~23.09,가평군,3508242
22.10~23.09,양평군,2674741
23.10~24.09,수원시 장안구,2750558
23.10~24.09,수원시 권선구,3508767
23.10~24.09,수원시 팔달구,3691984
23.10~24.09,수원시 영통구,3657578
23.10~24.09,성남시 수정구,1751904
23.10~24.09,성남시 중원구,632785
23.10~24.09,성남시 분당구,6434912
23.10~24.09,의정부시,2738653
23.10~24.09,안양시 만안구,1110908
23.10~24.09,안양시 동안구,1652509
23.10~24.09,부천시,998123
23.10~24.09,부천시 원미구,2023685
23.10~24.09,부천시 소사구,549431
23.10~24.09,부천시 오정구,408733
23.10~24.09,광명시,3537282
23.10~24.09,평택시,5057805
23.10~24.09,동두천시,626239
23.10~24.09,안산시 상록구,1355237
23.10~24.09,안산시 단원구,3407505
23.10~24.09,고양시 덕양구,6291583
23.10~24.09,고양시 일산동구,4332043
23.10~24.09,고양시 일산서구,3053941
23.10~24.09,과천시,1571905
23.10~24.09,구리시,2052369
23.10~24.09,남양주시,8686888
23.10~24.09,오산시,1726646
23.10~24.09,시흥시,4807670
23.10~24.09,군포시,883415
23.10~24.09,의왕시,2376517
23.10~24.09,하남시,5592489
23.10~24.09,용인시 처인구,6154383
23.10~24.09,용인시 기흥구,4659038
23.10~24.09,용인시 수지구,2721363
23.10~24.09,파주시,8015901
23.10~24.09,이천시,3560038
23.10~24.09,안성시,3422021
23.10~24.09,김포시,5506610
23.10~24.09,화성시,10355469
23.10~24.09,광주시,4103443
23.10~24.09,양주시,2818296
23.10~24.09,포천시,3871782
23.10~24.09,여주시,3646094
23.10~24.09,연천군,1011951
23.10~24.09,가평군,3826503
23.10~24.09,양평군,2958070
24.10~25.09,수원시 장안구,2641877
24.10~25.09,수원시 권선구,3280462
24.10~25.09,수원시 팔달구,3110216
24.10~25.09,수원시 영통구,3259460
24.10~25.09,성남시 수정구,1623940
24.10~25.09,성남시 중원구,584489
24.10~25.09,성남시 분당구,6037157
24.10~25.09,의정부시,2599586
24.10~25.09,안양시 만안구,1061050
24.10~25.09,안양시 동안구,1630532
24.10~25.09,부천시 원미구,2620674
24.10~25.09,부천시 소사구,704926
24.10~25.09,부천시 오정구,517125
24.10~25.09,광명시,3303071
24.10~25.09,평택시,4530468
24.10~25.09,동두천시,567572
24.10~25.09,안산시 상록구,1183408
24.10~25.09,안산시 단원구,3013951
24.10~25.09,고양시 덕양구,5774805
24.10~25.09,고양시 일산동구,4092717
24.10~25.09,고양시 일산서구,2941906
24.10~25.09,과천시,1628531
24.10~25.09,구리시,1983429
24.10~25.09,남양주시,8068406
24.10~25.09,오산시,1782824
24.10~25.09,시흥시,4511681
24.10~25.09,군포시,768312
24.10~25.09,의왕시,2134928
24.10~25.09,하남시,5241775
24.10~25.09,용인시 처인구,5766192
24.10~25.09,용인시 기흥구,4227339
24.10~25.09,용인시 수지구,2571997
24.10~25.09,파주시,7433152
24.10~25.09,이천시,3213008
24.10~25.09,안성시,3176790
24.10~25.09,김포시,5165308
24.10~25.09,화성시,9643684
24.10~25.09,광주시,3856905
24.10~25.09,양주시,2672836
24.10~25.09,포천시,3569861
24.10~25.09,여주시,3398973
24.10~25.09,연천군,862197
24.10~25.09,가평군,3365415
24.10~25.09,양평군,2693690
