기간,카테고리중분류명,유형별 검색건수,유형별 검색건수 비율
22.10~23.09,자연관광,56148,0.7
22.10~23.09,역사관광,115309,1.5
22.10~23.09,체험관광,27130,0.4
22.10~23.09,문화관광,769241,10.3
22.10~23.09,레저스포츠,546082,7.3
22.10~23.09,쇼핑,1206351,16.1
22.10~23.09,음식,3568776,47.6
22.10~23.09,숙박,340507,4.5
22.10~23.09,기타관광,869719,11.6
23.10~24.09,자연관광,74168,0.9
23.10~24.09,역사관광,115703,1.4
23.10~24.09,체험관광,25350,0.3
23.10~24.09,문화관광,858488,10.7
23.10~24.09,레저스포츠,577980,7.2
23.10~24.09,쇼핑,1203634,15.0
23.10~24.09,음식,4018029,50.1
23.10~24.09,숙박,328979,4.1
23.10~24.09,기타관광,813570,10.1
24.10~25.09,자연관광,36693,0.5
24.10~25.09,역사관광,114917,1.5
24.10~25.09,체험관광,25575,0.3
24.10~25.09,문화관광,815234,11.0
24.10~25.09,레저스포츠,551619,7.4
24.10~25.09,쇼핑,1144228,15.4
24.10~25.09,음식,3728692,50.2
24.10~25.09,숙박,298432,4.0
24.10~25.09,기타관광,717762,9.7
