연도,월,주차,EXAMIN_BEGIN_DE,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_COM_NMPR_NM,TOUR_PD_VALUE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
2024년,1월,1주차,20240101,30~40만원 미만,5~7만원 미만,10만원 이상,10만원 이상,1만원 미만,1~3만원 미만,3~5만원 미만,전라북도,무주군,2명,2박 3일,M,60대 이상,기타,자녀 독립(막내 결혼),기타/무직,300~500만원 미만
2024년,1월,1주차,20240101,20~30만원 미만,7~10만원 미만,7~10만원 미만,1만원 미만,1만원 미만,5~7만원 미만,1만원 미만,충청남도,예산군,5명 이상,2박 3일,M,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,500~700만원 미만
2024년,1월,1주차,20240101,10~20만원 미만,1만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,전라북도,군산시,4명,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),판매/서비스직,300만원 미만
2024년,1월,1주차,20240101,모름,모름,모름,모름,모름,모름,모름,충청남도,서천군,5명 이상,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,700만원 이상
2024년,1월,1주차,20240101,10만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1~3만원 미만,1만원 미만,경기도,남양주시,4명,1박 2일,F,50대,기혼,자녀 성인(막내 대학),자영업,700만원 이상
2024년,1월,1주차,20240101,모름,모름,모름,모름,모름,모름,모름,강원도,평창군,5명 이상,2박 3일,F,20대,미혼,미혼,사무/기술직,700만원 이상
2024년,1월,1주차,20240101,30~40만원 미만,10만원 이상,10만원 이상,7~10만원 미만,1만원 미만,1만원 미만,1만원 미만,경상남도,양산시,2명,3박 4일,M,50대,기혼,자녀 성인(막내 대학),경영/관리/전문직,300~500만원 미만
2024년,1월,1주차,20240101,10~20만원 미만,3~5만원 미만,7~10만원 미만,1~3만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,충청북도,제천시,2명,4박 5일,M,60대 이상,기혼,자녀 독립(막내 결혼),경영/관리/전문직,700만원 이상
2024년,1월,1주차,20240101,20~30만원 미만,10만원 이상,5~7만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,강원도,강릉시,2명,1박 2일,M,50대,기혼,자녀 성인(막내 대학),사무/기술직,500~700만원 미만
2024년,1월,1주차,20240101,10~20만원 미만,3~5만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,강원도,강릉시/속초시/평창군,2명,2박 3일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,700만원 이상
2024년,1월,1주차,20240101,10~20만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,강원도,양양군,4명,1박 2일,M,40대,미혼,미혼,사무/기술직,700만원 이상
2024년,1월,1주차,20240101,10~20만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,강원도,동해시/속초시,3명,1박 2일,M,50대,기혼,자녀 성인(막내 대학),기타/무직,300~500만원 미만
2024년,1월,1주차,20240101,20~30만원 미만,5~7만원 미만,10만원 이상,3~5만원 미만,5~7만원 미만,1만원 미만,1만원 미만,제주도,서귀포시(시내동)/애월읍/한림읍,2명,2박 3일,M,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,300만원 미만
2024년,1월,1주차,20240101,모름,모름,모름,모름,모름,모름,모름,전라남도,무안군/해남군,2명,3박 4일,M,50대,기혼,자녀 성인(막내 대학),자영업,500~700만원 미만
2024년,1월,1주차,20240101,모름,모름,모름,모름,모름,모름,모름,강원도,강릉시,4명,1박 2일,M,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상
2024년,1월,1주차,20240101,30~40만원 미만,10만원 이상,5~7만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,전라북도,김제시/익산시/전주시,혼자서,6박 7일 이상,M,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상
2024년,1월,1주차,20240101,10~20만원 미만,1만원 미만,7~10만원 미만,3~5만원 미만,5~7만원 미만,1만원 미만,1만원 미만,경기도,고양시,2명,1박 2일,F,40대,기혼,자녀 성인(막내 대학),사무/기술직,500~700만원 미만
2024년,1월,1주차,20240101,30~40만원 미만,10만원 이상,10만원 이상,5~7만원 미만,1만원 미만,5~7만원 미만,1만원 미만,전라남도,담양군,2명,1박 2일,M,50대,기혼,자녀 성장(막내 중고생),자영업,700만원 이상
2024년,1월,1주차,20240101,40만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,10만원 이상,강원도,삼척시/태백시,2명,2박 3일,M,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상
2024년,1월,1주차,20240101,30~40만원 미만,10만원 이상,10만원 이상,5~7만원 미만,3~5만원 미만,1만원 미만,1만원 미만,부산시,모름,2명,3박 4일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,300~500만원 미만
2024년,1월,1주차,20240101,40만원 이상,10만원 이상,10만원 이상,5~7만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,제주도,구좌읍/애월읍/제주시(시내동)/조천읍/표선면,2명,3박 4일,M,30대,기혼,신혼기(자녀 없음),사무/기술직,500~700만원 미만
2024년,1월,1주차,20240101,10~20만원 미만,10만원 이상,5~7만원 미만,3~5만원 미만,1만원 미만,1~3만원 미만,1만원 미만,강원도,고성군,4명,1박 2일,F,20대,미혼,미혼,사무/기술직,300만원 미만
2024년,1월,1주차,20240101,40만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,10만원 이상,1만원 미만,충청남도,부여군,2명,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,500~700만원 미만
2024년,1월,1주차,20240101,20~30만원 미만,1~3만원 미만,10만원 이상,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,강원도,강릉시,2명,1박 2일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만
2024년,1월,1주차,20240101,10~20만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,충청북도,증평군/충주시(구 청원군 포함),4명,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,700만원 이상
2024년,1월,1주차,20240101,20~30만원 미만,3~5만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,3~5만원 미만,5~7만원 미만,전라북도,부안군,4명,2박 3일,M,50대,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상
2024년,1월,1주차,20240101,10~20만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,1만원 미만,대구시,모름,5명 이상,4박 5일,F,60대 이상,미혼,미혼,기타/무직,300만원 미만
2024년,1월,1주차,20240101,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1~3만원 미만,7~10만원 미만,1만원 미만,제주도,서귀포시(시내동)/조천읍,3명,5박 6일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상
2024년,1월,1주차,20240101,40만원 이상,10만원 이상,10만원 이상,1~3만원 미만,1만원 미만,3~5만원 미만,1만원 미만,부산시,모름,2명,3박 4일,M,60대 이상,기혼,자녀 성인(막내 대학),자영업,700만원 이상
2024년,1월,1주차,20240101,10~20만원 미만,1만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,경기도,오산시/화성시,5명 이상,2박 3일,M,20대,미혼,미혼,대학/대학원생,500~700만원 미만
2024년,1월,1주차,20240101,10~20만원 미만,1만원 미만,1만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,제주도,성산읍/애월읍/우도면/제주시(시내동),4명,3박 4일,M,20대,미혼,미혼,사무/기술직,300~500만원 미만
2024년,1월,1주차,20240101,10만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,제주도,안덕면,2명,1박 2일,M,30대,미혼,미혼,사무/기술직,300만원 미만
2024년,1월,1주차,20240101,10~20만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,충청남도,금산군,5명 이상,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만
2024년,1월,1주차,20240101,40만원 이상,10만원 이상,5~7만원 미만,1만원 미만,5~7만원 미만,10만원 이상,1만원 미만,제주도,애월읍,3명,4박 5일,M,30대,기타,자녀 유아&성장(막내 입학전~초등생),판매/서비스직,300~500만원 미만
2024년,1월,1주차,20240101,모름,모름,모름,모름,모름,모름,모름,부산시,모름,3명,1박 2일,M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,500~700만원 미만
2024년,1월,1주차,20240101,20~30만원 미만,3~5만원 미만,10만원 이상,1~3만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,강원도,속초시,5명 이상,4박 5일,F,30대,기혼,신혼기(자녀 없음),사무/기술직,500~700만원 미만
2024년,1월,1주차,20240101,모름,모름,모름,모름,모름,모름,모름,제주도,성산읍,3명,2박 3일,F,50대,기혼,자녀 성인(막내 대학),판매/서비스직,700만원 이상
2024년,1월,1주차,20240101,모름,모름,모름,모름,모름,모름,모름,제주도,제주시(시내동),2명,3박 4일,M,30대,미혼,미혼,사무/기술직,300만원 미만
2024년,1월,1주차,20240101,모름,모름,모름,모름,모름,모름,모름,제주도,서귀포시(시내동),3명,2박 3일,F,40대,미혼,미혼,사무/기술직,300만원 미만
2024년,1월,1주차,20240101,10~20만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,부산시,모름,4명,1박 2일,F,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,300~500만원 미만
2024년,1월,1주차,20240101,모름,모름,모름,모름,모름,모름,모름,서울시,모름,4명,1박 2일,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),기능/숙련/일반작업직,700만원 이상
2024년,1월,1주차,20240101,30~40만원 미만,1만원 미만,10만원 이상,1만원 미만,5~7만원 미만,5~7만원 미만,10만원 이상,경기도,용인시,5명 이상,2박 3일,F,50대,기혼,자녀 성인(막내 대학),전업주부,500~700만원 미만
2024년,1월,1주차,20240101,10만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,강원도,삼척시,4명,1박 2일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만
2024년,1월,1주차,20240101,40만원 이상,10만원 이상,10만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,강원도,강릉시,4명,2박 3일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상
