순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202307,90569,2248045.0
1,경기도,파주시,임진각관광지,202308,104978,2248045.0
1,경기도,파주시,임진각관광지,202309,125535,2248045.0
1,경기도,파주시,임진각관광지,202310,139362,2248045.0
1,경기도,파주시,임진각관광지,202311,79161,2248045.0
1,경기도,파주시,임진각관광지,202312,71187,2248045.0
1,경기도,파주시,임진각관광지,202401,69984,2248045.0
1,경기도,파주시,임진각관광지,202402,90705,2248045.0
1,경기도,파주시,임진각관광지,202403,129547,2248045.0
1,경기도,파주시,임진각관광지,202404,185151,2248045.0
1,경기도,파주시,임진각관광지,202405,174411,2248045.0
1,경기도,파주시,임진각관광지,202406,172944,2248045.0
1,경기도,파주시,임진각관광지,202407,126354,2248045.0
1,경기도,파주시,임진각관광지,202408,139133,2248045.0
1,경기도,파주시,임진각관광지,202409,161687,2248045.0
1,경기도,파주시,임진각관광지,202410,164975,2248045.0
1,경기도,파주시,임진각관광지,202411,130244,2248045.0
1,경기도,파주시,임진각관광지,202412,92118,2248045.0
2,경기도,파주시,헤이리예술마을,202307,38942,935742.0
2,경기도,파주시,헤이리예술마을,202308,47852,935742.0
2,경기도,파주시,헤이리예술마을,202309,123438,935742.0
2,경기도,파주시,헤이리예술마을,202310,31000,935742.0
2,경기도,파주시,헤이리예술마을,202311,20150,935742.0
2,경기도,파주시,헤이리예술마을,202312,15500,935742.0
2,경기도,파주시,헤이리예술마을,202401,23750,935742.0
2,경기도,파주시,헤이리예술마을,202402,33000,935742.0
2,경기도,파주시,헤이리예술마을,202403,26420,935742.0
2,경기도,파주시,헤이리예술마을,202404,33500,935742.0
2,경기도,파주시,헤이리예술마을,202405,34700,935742.0
2,경기도,파주시,헤이리예술마을,202406,38300,935742.0
2,경기도,파주시,헤이리예술마을,202407,59930,935742.0
2,경기도,파주시,헤이리예술마을,202408,67100,935742.0
2,경기도,파주시,헤이리예술마을,202409,68500,935742.0
2,경기도,파주시,헤이리예술마을,202410,163000,935742.0
2,경기도,파주시,헤이리예술마을,202411,60000,935742.0
2,경기도,파주시,헤이리예술마을,202412,50660,935742.0
3,경기도,파주시,통일전망대,202307,17232,623001.0
3,경기도,파주시,통일전망대,202308,22343,623001.0
3,경기도,파주시,통일전망대,202309,25476,623001.0
3,경기도,파주시,통일전망대,202310,31732,623001.0
3,경기도,파주시,통일전망대,202311,23786,623001.0
3,경기도,파주시,통일전망대,202312,17599,623001.0
3,경기도,파주시,통일전망대,202401,24041,623001.0
3,경기도,파주시,통일전망대,202402,26319,623001.0
3,경기도,파주시,통일전망대,202403,43149,623001.0
3,경기도,파주시,통일전망대,202404,38801,623001.0
3,경기도,파주시,통일전망대,202405,39778,623001.0
3,경기도,파주시,통일전망대,202406,40752,623001.0
3,경기도,파주시,통일전망대,202407,38722,623001.0
