순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,제3땅굴,202307,28626,486848.0
1,경기도,파주시,제3땅굴,202308,25290,486848.0
1,경기도,파주시,제3땅굴,202309,25956,486848.0
1,경기도,파주시,제3땅굴,202310,30251,486848.0
1,경기도,파주시,제3땅굴,202311,26353,486848.0
1,경기도,파주시,제3땅굴,202312,20184,486848.0
1,경기도,파주시,제3땅굴,202401,12599,486848.0
1,경기도,파주시,제3땅굴,202402,12441,486848.0
1,경기도,파주시,제3땅굴,202403,36419,486848.0
1,경기도,파주시,제3땅굴,202404,36285,486848.0
1,경기도,파주시,제3땅굴,202405,36367,486848.0
1,경기도,파주시,제3땅굴,202406,34118,486848.0
1,경기도,파주시,제3땅굴,202407,19816,486848.0
1,경기도,파주시,제3땅굴,202408,29019,486848.0
1,경기도,파주시,제3땅굴,202409,30342,486848.0
1,경기도,파주시,제3땅굴,202410,32825,486848.0
1,경기도,파주시,제3땅굴,202411,28304,486848.0
1,경기도,파주시,제3땅굴,202412,21653,486848.0
2,경기도,파주시,산머루농원,202307,816,11467.0
2,경기도,파주시,산머루농원,202308,1778,11467.0
2,경기도,파주시,산머루농원,202309,1207,11467.0
2,경기도,파주시,산머루농원,202310,389,11467.0
2,경기도,파주시,산머루농원,202311,411,11467.0
2,경기도,파주시,산머루농원,202312,418,11467.0
2,경기도,파주시,산머루농원,202401,512,11467.0
2,경기도,파주시,산머루농원,202402,620,11467.0
2,경기도,파주시,산머루농원,202403,654,11467.0
2,경기도,파주시,산머루농원,202404,590,11467.0
2,경기도,파주시,산머루농원,202405,670,11467.0
2,경기도,파주시,산머루농원,202406,541,11467.0
2,경기도,파주시,산머루농원,202407,500,11467.0
2,경기도,파주시,산머루농원,202408,620,11467.0
2,경기도,파주시,산머루농원,202409,741,11467.0
2,경기도,파주시,산머루농원,202410,454,11467.0
2,경기도,파주시,산머루농원,202411,325,11467.0
2,경기도,파주시,산머루농원,202412,221,11467.0
3,경기도,파주시,헤이리예술마을,202307,1640,10032.0
3,경기도,파주시,헤이리예술마을,202308,2340,10032.0
3,경기도,파주시,헤이리예술마을,202309,3282,10032.0
3,경기도,파주시,헤이리예술마을,202310,300,10032.0
3,경기도,파주시,헤이리예술마을,202311,250,10032.0
