순위,관광지ID,업소명,분류
1,3b6e33ee7e35b5a32d5f48f820a2cd7d,쿠우쿠우파주운정점,전문음식
2,5e768534b8f8c34d3eaa9bcf52c3e004,모쿠슈라2호점,카페/찻집
3,357f0f3a1ef39f5f06dde3f2f6cc593e,뮌스터담,카페/찻집
4,ca5d69dee48c1b93461ebc8491b6184f,문지리535,카페/찻집
5,658e5ce0616c78221ec181ba67ad3bc6,망향비빔국수파주점,한식
6,394096aab09672b056bebd8be9a0918f,아레볼,카페/찻집
7,e37b6ce6ac8684b377c1e37e473f5cc3,스타벅스파주야당DT점,카페/찻집
8,c3ce179673329f9f3c80fa57913ad561,레드파이프,카페/찻집
9,bad006bbedb44e6e4ef07895a314e7e1,앤드테라스파주점,카페/찻집
10,a55248ebeba926e53528618f7ab6ac32,심학산도토리국수본점,한식
11,9a365285c5cef5010a2e613e614a8134,홍익돈까스파주금릉점,전문음식
12,aaa87c86646f26fb6d2303ee3ca586a5,더티트렁크,카페/찻집
13,0a523af3b049c95f180988fd052d9eb3,브릭루즈,카페/찻집
14,301a49db5cb084ebe041ff2f59c5714f,청산어죽,한식
15,4b7575d2a64ea3473880fe1838b6f3e2,갈릴리농원본관,전문음식
16,0cb2f59c5401bae40a5c3d3b7357f77e,팥티오운정점,카페/찻집
17,1da2b8cd21c2120c64604e65662c95e0,스타벅스파주문산DT점,카페/찻집
18,75b160c3097c65053a28b4169226ece7,생선굽는마을,한식
19,c63dd07550fcb253cdcc0b6b46c4c771,스타벅스파주야당역점,카페/찻집
20,ea338bb9f87e70dfcda107be605208a6,훈장골파주점,한식
21,491a66e11786052b37caf35aecd4e79b,해브펀카페베이커리,카페/찻집
22,62d7b588d14fe671dc7b24c6e05fcd61,내사랑동까스,전문음식
23,f063500256a2d5e1d016e053f6234141,소담촌파주운정역점,전문음식
24,dbc9168a6a836218c8f16ca21ca69aab,말똥도넛디저트타운파주점,카페/찻집
25,c00cb8f6714e8aadacc2e58fd010693e,산내칡냉면,한식
26,37f59296b4e9cad24e9bc1a562a5e5f7,애슐리퀸즈파주운정점,전문음식
27,f316eb563415769d11e988905cf8062e,207FEET파주본점,전문음식
28,2539e333aa03d1c09bbfad6e8545423b,키누카누파주야당점,전문음식
29,59f77746add04627f8f0895c5489fc78,평양손만두파주운정점,한식
30,f9ab148ed48809e8c32941f3e2afb592,복많네해물칼국수파주출판단지본점,한식
31,7ef609196aaa77b9e05661c4c3ced6c9,조은도너츠,간이음식
32,ff60878ce76ba222ffec402ec2429a12,버터킹빵공장,간이음식
33,270e5486156b5ee1bece014a52b733a8,청담순대국운정호수1호점,한식
34,7046e3099bd4c3d0b249bed821f9d7c4,통일동산두부마을,전문음식
35,4aef56b098e7250a15f9b0b00b8392a4,벙커힐파주점,전문음식
36,95acd56ce59b557df4d1940dd740cd1a,라플란드,카페/찻집
37,55fa2365cf5a2c6bafa33d9d33859482,스타벅스파주가람점,카페/찻집
38,4b782d88bc6169887ab9283b0cc903c9,피스피스출판단지점,카페/찻집
39,bb8c205aeed63783628f06722babb912,수라한식뷔페,전문음식
40,9937912f9b69fd3801ca420f673c36a2,반구정나루터집,전문음식
41,c9acc7fb5a210fd8436a18acf26b0a63,파주돌짜장[중식],외국식
42,75900729997344cac1b4cd73c5726081,강남면옥파주점,한식
43,67bed2bdc8ff02441344b37082edf397,교하정,한식
44,d6ec4b067b2617760949edcb3afd362b,KFC파주운정DI점,간이음식
45,99ef3e71d0216a46627398467c15a612,명륜진사갈비파주다율점,한식
46,af4f35cfdf6e6998842e33bf7a31330f,박가삼거리부대찌개,전문음식
47,e6ce3ea99bbf8c6ea1855aaaaa3676bb,개성손만두파주점,한식
48,f255cab9336d02381065a097816d5f14,가드너스,카페/찻집
49,96b3759a49fc73efddf7c74ce0c88188,아이노스,카페/찻집
50,2fba09bc89481d8b0307a2f3e59220d8,마롱리면사무소카페,카페/찻집
51,b62dda58c79327c107d43dc30ba70ea0,바리루스,카페/찻집
52,e9fccd90097c65312c56d9147bb8eac0,육대장 파주문산,한식
53,088fe4582c122099f82164a7fd11729f,신간짬뽕금촌점 [중식],외국식
54,40a1fbfb5057863de6e260003c7d5998,버거킹파주야당역점,간이음식
55,a5f56696708a431401b65152a5c46c15,파주뼈칼국수교하제면소,한식
56,ad88f58b3dbd5078c37a8b4106173c41,곤트란쉐리에파주점,간이음식
57,7f14a8a3a2dfc5f8a6e9f819be0dbdcd,운정골,한식
58,498d0856cce0cb5f862aff0b2d18fcd5,쟈빠따,카페/찻집
59,7aba26ed85970c7ccba432d773e0e364,이가덕보갈비탕갈비찜본점,한식
60,38e3b7895aa597b33742dc562c85c9ce,명륜진사갈비파주문산점,한식
61,f9a93a4fc062175e200f25c06373c532,언칼국수금촌본점,한식
62,62845268b51eb32358bb7cf6d4746599,안동각[중식],외국식
63,f85e3aabe42aea59f78bb286eddd44ca,미꼬담운정점 [한식],한식
64,3ae3d535ac54cc1b4ae406963c4c3a33,카페8794,카페/찻집
65,52c607075a6901d9c6ffb28c4a3fc6af,연리희재,카페/찻집
66,c493373bf7c1c2109194db43f36af142,신솥해장국&돼지국밥,한식
67,eaecebf3127012c84fc7822cf5b2be9c,심슨더스파이스,외국식
68,f3dc5cd3046bf706ccef8ffc575b131b,커피공장103헤이리점,카페/찻집
69,3c0a04317641aafee2b0933d53fc7cb4,심학산들꽃쌈밥,한식
70,2aa3609360bea13f635a5f7bf91ea318,무고레,한식
71,26921981a5fc301810ec16912467aaf5,스타벅스파주금릉역점,카페/찻집
72,2323d47699cc1882afcfca3a67684074,FILLMOOD,카페/찻집
73,e1ad4bb422c4422e405c2b422b431707,브런치빈파주점,전문음식
74,27e998ff4d9087a557a7cc396ed375ca,행운식당,한식
75,39ecbaf1de6f5338b76011a027e4e99f,온더레일,카페/찻집
76,1f4f693f7a8a67a751735a0629c4b9c9,샤브20파주운정점,전문음식
77,dc91f41363b38f876d1d0c19886e3736,심학산풍천장어,전문음식
78,062786a01fd2f46a693e0b991bf2366e,전주웰빙새알팥죽,간이음식
79,ee1a0d56e766436beec174678b49d77b,삼고집파주점,한식
80,8abd20e849a08444ed3339238935e781,파주닭국수,한식
81,b2ab9804ff1489ba2e7c6e63b240cd3f,심학산바베큐그릴,전문음식
82,6fbd5ff085952a5abac284b6883e30fa,밀크북,카페/찻집
83,9e99cc6d7f013a4c714293da463b295f,으뜸착한낙지문산본점,전문음식
84,1d2e9e181274168d9129f597d54d9709,이디야커피파주목동점,카페/찻집
85,ebb2420d413fa8b9bb75802b554ca422,궁중영의정인절미떡집,간이음식
86,63250e730c2d13cbe6ebb5bf7f9f7e0b,소문난팔당냉면,한식
87,fd7d8928be0215068795e554cf4f0bbf,레드브릿지,카페/찻집
88,c7854514c1ab5d213113de0aca09eaf1,심학산뜨락,한식
89,47c47a450c637ee4492d34f30f206863,양평해장국방축점,한식
90,3ffe628599d51a8a9a8fd8fa0be8e4ab,심학산닭갈비,전문음식
91,65519b689137e2e8134ce656738f6fb5,국물없는우동,외국식
92,c2d6b95264db61c4af21e6a89e4a21cb,다온숲풀빛정원,전문음식
93,cb4dda3224b3090fa21dc60a141c7d81,장수대,한식
94,96f826713a581a841eec46c38b21ffc6,명륜진사갈비파주가람점,한식
95,e147d9c8804ff3675806f6cad24aed07,유가원설농탕,한식
96,0fd354dbc0e1e8b44cd64761efa7d562,별난명태본점,한식
97,8cab7cc389266412124b71fbcde00618,바그운정점,간이음식
98,cbcf11a11d4483e4df3d13be179580c1,원조두지리매운탕본점,한식
99,cd680219093543ce5127aa9012ca38c7,SUBWAY야당역점,간이음식
100,88b17d5840bb78d7e5cc0458f6cc9c89,송원[중식],외국식
