업종명,기준년도,상위업종명,영업현황수
전체,2025,전체,280
전체,2025,여행업,107
국내외여행업,2025,여행업,54
종합여행업,2025,여행업,39
국내여행업,2025,여행업,14
전체,2025,관광객 이용시설업,74
일반야영장업,2025,관광객 이용시설업,53
외국인관광도시민박업,2025,관광객 이용시설업,8
자동차야영장업,2025,관광객 이용시설업,8
한옥체험업,2025,관광객 이용시설업,4
전문휴양업,2025,관광객 이용시설업,1
전체,2025,테마파크업,58
테마파크업(기타),2025,테마파크업,49
일반테마파크업,2025,테마파크업,8
종합테마파크업,2025,테마파크업,1
전체,2025,관광편의 시설업,18
외국인전용유흥음식점업,2025,관광편의 시설업,14
관광펜션업,2025,관광편의 시설업,3
관광궤도업,2025,관광편의 시설업,1
전체,2025,관광숙박업,14
호스텔업,2025,관광숙박업,10
관광호텔업,2025,관광숙박업,4
전체,2025,국제회의업,9
국제회의기획업,2025,국제회의업,9
