시도명,시군구명,발행년월,월별카드발행수량,월별카드충전액,월별카드사용액,관리기관명,관리기관전화번호,데이터기준일자
경기도,파주시,2021-01,7290,7177962668,7383664117,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2021-02,12210,6202560872,5890076583,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2021-03,8565,8519169145,8543697205,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2021-04,8553,9117730470,9391042737,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2021-05,10829,8460224143,7902526614,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2021-06,16942,14372641441,12513976221,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2021-07,5138,11252203091,12481217503,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2021-08,4520,11750433787,11934849497,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2021-09,10373,8527385944,8249068904,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2021-10,9437,9248052976,8794330004,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2021-11,11399,11292912218,10042671635,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2021-12,4539,8583899182,10512246990,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2022-01,3549,13590838948,12221895905,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2022-02,2977,11898114789,11126517889,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2022-03,2828,13046522266,13122720005,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2022-04,3051,13300526119,13624611200,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2022-05,2818,13707019535,13817283236,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2022-06,2543,13657446025,13393079226,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2022-07,5397,14081854926,13737441378,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2022-08,4362,14200857066,13896232436,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2022-09,4037,13188819473,14641776416,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2022-10,5130,11328837622,12045191073,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2022-11,3501,11060537599,11133850714,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2022-12,3201,8123206583,9591210507,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2023-01,4338,16974252136,12234509189,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2023-02,12285,11968059573,12623194851,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2023-03,57418,13154870013,12046354074,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2023-04,9000,14784976832,15133517539,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2023-05,5683,19555162944,18103794043,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2023-06,3107,15412049608,16012931910,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2023-07,3328,12082050757,13894471895,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2023-08,2977,11778587034,12397326100,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2023-09,2800,11065588350,11896621431,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2023-10,2702,11495620526,11592889013,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2023-11,2247,10670094232,10360562983,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2023-12,2198,8825856738,10127057702,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2024-01,4969,16560243976,13095386462,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2024-02,4802,29503457382,19037751007,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2024-03,4560,20189107359,21171084393,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2024-04,4188,19425625475,20882199985,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2024-05,3816,24200253137,22546037945,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2024-06,3026,18785151188,20745631805,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2024-07,4265,19785977455,21038642771,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2024-08,3695,20215364990,21108155935,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2024-09,3796,24623876665,21827358082,경기도 파주시청,031-940-4522,2024-11-06
경기도,파주시,2024-10,4476,20157024454,22117096949,경기도 파주시청,031-940-4522,2024-11-06
