연도,월,방문인구(명),누적방문인구(명),전월대비 증감률(%),전년동월대비 증감률(%),3개월 이동평균(명),방문인구 지수(평균=100),성수기 구분,기준월
2023,9,279134,279134,,,,128.4,성수기,2023-09-01
2023,10,325037,604171,16.44,,,149.5,성수기,2023-10-01
2023,11,197192,801363,-39.33,,267121.0,90.7,평생시기,2023-11-01
2023,12,144450,945813,-26.75,,222226.0,66.4,비수기,2023-12-01
2024,1,160745,1106558,11.28,,167462.0,73.9,비수기,2024-01-01
2024,2,195110,1301668,21.38,,166768.0,89.7,평생시기,2024-02-01
2024,3,228401,1530069,17.06,,194752.0,105.0,평생시기,2024-03-01
2024,4,254797,1784866,11.56,,226103.0,117.2,평생시기,2024-04-01
2024,5,265673,2050539,4.27,,249624.0,122.2,성수기,2024-05-01
2024,6,235591,2286130,-11.32,,252020.0,108.4,평생시기,2024-06-01
2024,7,175781,2461911,-25.39,,225682.0,80.8,평생시기,2024-07-01
2024,8,209128,2671039,18.97,,206833.0,96.2,평생시기,2024-08-01
2024,9,279021,2950060,33.42,-0.04,221310.0,128.3,성수기,2024-09-01
2024,10,312880,3262940,12.13,-3.74,267010.0,143.9,성수기,2024-10-01
2024,11,225456,3488396,-27.94,14.33,272452.0,103.7,평생시기,2024-11-01
2024,12,118908,3607304,-47.26,-17.68,219081.0,54.7,비수기,2024-12-01
2025,1,157902,3765206,32.79,-1.77,167422.0,72.6,비수기,2025-01-01
2025,2,134526,3899732,-14.8,-31.05,137112.0,61.9,비수기,2025-02-01
2025,3,195197,4094929,45.1,-14.54,162542.0,89.8,평생시기,2025-03-01
2025,4,189880,4284809,-2.72,-25.48,173201.0,87.3,평생시기,2025-04-01
2025,5,300019,4584828,58.0,12.93,228365.0,138.0,성수기,2025-05-01
2025,6,241717,4826545,-19.43,2.6,243872.0,111.2,평생시기,2025-06-01
2025,7,174175,5000720,-27.94,-0.91,238637.0,80.1,비수기,2025-07-01
