SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1120","177","1297","20250412"
"1","2","경주여행","여행","국내여행","경상북도","889","168","1057","20250412"
"2","3","군산여행","여행","국내여행","전라북도","884","102","986","20250412"
"3","4","제주여행","여행","국내여행","제주특별자치도","845","123","968","20250412"
"4","5","전주여행","여행","국내여행","전라북도","702","111","813","20250412"
"5","6","여수여행","여행","국내여행","전라남도","696","115","811","20250412"
"6","7","강릉여행","여행","국내여행","강원도","583","113","696","20250412"
"7","8","대전여행","여행","국내여행","대전광역시","519","78","597","20250412"
"8","9","목포여행","여행","국내여행","전라남도","517","77","594","20250412"
"9","10","속초여행","여행","국내여행","강원도","510","75","585","20250412"
