date,weekday,seq_no,rank,rank_score,keyword,upper_category,lower_category,area,mobile_count,pc_count,total_count,mobile_ratio,pc_ratio,relative_popularity
2025-07-01,Tuesday,0,1,10,부산여행,여행,국내여행,부산광역시,1273,617,1890,0.6735,0.3265,1.0
2025-07-01,Tuesday,1,2,9,제주여행,여행,국내여행,제주특별자치도,901,689,1590,0.5667,0.4333,0.8413
2025-07-01,Tuesday,2,3,8,여수여행,여행,국내여행,전라남도,773,400,1173,0.659,0.341,0.6206
2025-07-01,Tuesday,3,4,7,강릉여행,여행,국내여행,강원도,738,427,1165,0.6335,0.3665,0.6164
2025-07-01,Tuesday,4,5,6,속초여행,여행,국내여행,강원도,672,376,1048,0.6412,0.3588,0.5545
2025-07-01,Tuesday,5,6,5,경주여행,여행,국내여행,경상북도,617,335,952,0.6481,0.3519,0.5037
2025-07-01,Tuesday,6,7,4,군산여행,여행,국내여행,전라북도,624,295,919,0.679,0.321,0.4862
2025-07-01,Tuesday,7,8,3,남해여행,여행,국내여행,경상남도,444,252,696,0.6379,0.3621,0.3683
2025-07-01,Tuesday,8,9,2,목포여행,여행,국내여행,전라남도,425,235,660,0.6439,0.3561,0.3492
2025-07-01,Tuesday,9,10,1,대전여행,여행,국내여행,대전광역시,461,198,659,0.6995,0.3005,0.3487
