기간,대분류,중분류,대분류 지출액 비율 (내국인),중분류 지출액 비율 (내국인),대분류 지출액 비율 (외국인),중분류 지출액 비율 (외국인)
21.10~22.09,쇼핑업,기타관광쇼핑,46.9,31.9,74.2,29.9
21.10~22.09,쇼핑업,대형쇼핑몰,46.9,65.2,74.2,69.4
21.10~22.09,쇼핑업,레저용품쇼핑,46.9,2.9,74.2,0.7
21.10~22.09,숙박업,기타숙박,0.8,80.9,4.6,67.9
21.10~22.09,숙박업,캠핑장/펜션,0.8,6.0,4.6,0.0
21.10~22.09,숙박업,호텔,0.8,13.1,4.6,32.1
21.10~22.09,식음료업,일반외식업,27.2,80.6,11.8,82.4
21.10~22.09,식음료업,제과음료업,27.2,19.4,11.8,17.6
21.10~22.09,여가서비스업,골프장,9.8,76.7,4.1,71.3
21.10~22.09,여가서비스업,관광유원시설,9.8,3.5,4.1,2.0
21.10~22.09,여가서비스업,기타레저,9.8,13.7,4.1,23.8
21.10~22.09,여가서비스업,문화서비스,9.8,6.1,4.1,2.9
21.10~22.09,여행업,여행업,0.0,100.0,0.0,100.0
21.10~22.09,운송업,렌터카,14.3,0.0,2.2,1.0
21.10~22.09,운송업,육상운송,14.3,100.0,2.2,99.0
21.10~22.09,의료웰니스업,뷰티,1.0,82.9,3.2,38.6
21.10~22.09,의료웰니스업,의료관광,1.0,17.1,3.2,61.4
22.10~23.09,쇼핑업,기타관광쇼핑,46.5,31.0,74.8,23.9
22.10~23.09,쇼핑업,대형쇼핑몰,46.5,65.9,74.8,75.3
22.10~23.09,쇼핑업,레저용품쇼핑,46.5,3.1,74.8,0.8
22.10~23.09,숙박업,기타숙박,0.7,85.0,5.1,86.8
22.10~23.09,숙박업,캠핑장/펜션,0.7,7.4,5.1,0.4
22.10~23.09,숙박업,호텔,0.7,7.6,5.1,12.8
22.10~23.09,식음료업,일반외식업,29.7,81.1,10.5,81.9
22.10~23.09,식음료업,제과음료업,29.7,18.9,10.5,18.1
22.10~23.09,여가서비스업,골프장,9.6,76.7,2.9,57.2
22.10~23.09,여가서비스업,관광유원시설,9.6,3.0,2.9,2.4
22.10~23.09,여가서비스업,기타레저,9.6,15.0,2.9,38.4
22.10~23.09,여가서비스업,문화서비스,9.6,5.3,2.9,2.0
22.10~23.09,여행업,여행업,0.1,100.0,0.1,100.0
22.10~23.09,운송업,렌터카,12.2,0.1,0.7,3.1
22.10~23.09,운송업,육상운송,12.2,99.9,0.7,96.9
22.10~23.09,의료웰니스업,뷰티,1.2,84.4,5.9,77.2
22.10~23.09,의료웰니스업,의료관광,1.2,15.6,5.9,22.8
23.10~24.09,쇼핑업,기타관광쇼핑,46.7,30.3,78.1,27.4
23.10~24.09,쇼핑업,대형쇼핑몰,46.7,66.3,78.1,72.0
23.10~24.09,쇼핑업,레저용품쇼핑,46.7,3.4,78.1,0.6
23.10~24.09,숙박업,기타숙박,0.6,83.7,3.1,86.9
23.10~24.09,숙박업,캠핑장/펜션,0.6,7.3,3.1,0.7
23.10~24.09,숙박업,호텔,0.6,8.9,3.1,12.3
23.10~24.09,식음료업,일반외식업,30.1,81.5,12.0,81.0
23.10~24.09,식음료업,제과음료업,30.1,18.5,12.0,19.0
23.10~24.09,여가서비스업,골프장,9.6,76.4,3.2,44.9
23.10~24.09,여가서비스업,관광유원시설,9.6,3.4,3.2,2.1
23.10~24.09,여가서비스업,기타레저,9.6,14.3,3.2,48.5
23.10~24.09,여가서비스업,문화서비스,9.6,6.0,3.2,4.5
23.10~24.09,여행업,여행업,0.1,100.0,0.0,100.0
23.10~24.09,운송업,렌터카,11.6,0.1,0.7,1.6
23.10~24.09,운송업,육상운송,11.6,99.9,0.7,98.4
23.10~24.09,의료웰니스업,뷰티,1.3,84.2,2.8,52.5
23.10~24.09,의료웰니스업,의료관광,1.3,15.8,2.8,47.5
24.10~25.09,쇼핑업,기타관광쇼핑,46.6,29.9,78.6,38.6
24.10~25.09,쇼핑업,대형쇼핑몰,46.6,67.2,78.6,60.9
24.10~25.09,쇼핑업,레저용품쇼핑,46.6,2.9,78.6,0.5
24.10~25.09,숙박업,기타숙박,0.6,85.9,3.3,82.4
24.10~25.09,숙박업,캠핑장/펜션,0.6,5.1,3.3,4.0
24.10~25.09,숙박업,호텔,0.6,9.0,3.3,13.5
24.10~25.09,식음료업,일반외식업,30.3,82.3,12.5,83.4
24.10~25.09,식음료업,제과음료업,30.3,17.7,12.5,16.6
24.10~25.09,여가서비스업,골프장,9.1,76.8,2.5,48.6
24.10~25.09,여가서비스업,관광유원시설,9.1,4.0,2.5,3.6
24.10~25.09,여가서비스업,기타레저,9.1,14.6,2.5,45.5
24.10~25.09,여가서비스업,문화서비스,9.1,4.6,2.5,2.3
24.10~25.09,여행업,여행업,0.1,100.0,0.0,100.0
24.10~25.09,운송업,렌터카,11.9,0.1,0.7,1.5
24.10~25.09,운송업,육상운송,11.9,99.9,0.7,98.5
24.10~25.09,의료웰니스업,뷰티,1.4,84.0,2.3,33.1
24.10~25.09,의료웰니스업,의료관광,1.4,16.0,2.3,66.9
