EXAMIN_YM,RESPOND_CHARTR_SDIV_ID,RESPOND_CHARTR_SDIV_NM,RSPNS_RATE
202110,SEXDSTN_M,남성,51.9
202110,SEXDSTN_F,여성,48.1
202110,AGRDE_20,20대,19.1
202110,AGRDE_30,30대,22.9
202110,AGRDE_40,40대,23.9
202110,AGRDE_50,50대,20.1
202110,AGRDE_60,60대,14.0
202110,OC_AREA_SU,서울,20.4
202110,OC_AREA_BS,부산,6.6
202110,OC_AREA_DG,대구,5.4
202110,OC_AREA_IC,인천,6.4
202110,OC_AREA_GJ,광주,3.1
202110,OC_AREA_DJ,대전,2.9
202110,OC_AREA_US,울산,2.1
202110,OC_AREA_GG,경기,25.1
202110,OC_AREA_GW,강원,2.3
202110,OC_AREA_CB,충청북도,2.8
202110,OC_AREA_CN,충청남도(세종시 포함),4.6
202110,OC_AREA_JNBK,전라북도,3.4
202110,OC_AREA_JN,전라남도,3.2
202110,OC_AREA_GB,경상북도,5.3
202110,OC_AREA_GN,경상남도,5.7
202110,OC_AREA_JJ,제주,0.9
202110,HSHLD_INCOME_300,300만원 미만,11.6
202110,HSHLD_INCOME_300_500,300이상500만원 미만,28.3
202110,HSHLD_INCOME_500_700,500이상700만원 미만,30.0
202110,HSHLD_INCOME_700,700만원 이상,30.1
202110,JOB_SE,자영업,6.6
202110,JOB_SL,판매/서비스직,4.4
202110,JOB_GMW,기능/숙련/일반작업직,5.2
202110,JOB_WC,사무/기술직,50.4
202110,JOB_BM,경영/관리/전문직,9.4
202110,JOB_HW,전업주부,8.1
202110,JOB_GS,대학/대학원생,6.7
202110,JOB_ETC,기타/무직,9.2
202110,MRST_UM,미혼,38.3
202110,MRST_NK,신혼기(자녀 없음),8.1
202110,MRST_KD_EL,자녀 유아&성장(막내 입학전~초등생),20.8
202110,MRST_KD_MD,자녀 성장(막내 중고생),8.2
202110,MRST_KD_CL,자녀 성인(막내 대학),19.5
202110,MRST_KD_MR,자녀 독립(막내 결혼),5.1
202111,SEXDSTN_M,남성,51.9
202111,SEXDSTN_F,여성,48.1
202111,AGRDE_20,20대,18.7
202111,AGRDE_30,30대,21.3
202111,AGRDE_40,40대,25.1
202111,AGRDE_50,50대,21.0
202111,AGRDE_60,60대,13.9
202111,OC_AREA_SU,거주지역_서울특별시,20.5
202111,OC_AREA_BS,거주지역_부산광역시,6.8
202111,OC_AREA_DG,거주지역_대구광역시,5.6
202111,OC_AREA_IC,거주지역_인천광역시,6.1
202111,OC_AREA_GJ,거주지역_광주광역시,3.2
202111,OC_AREA_DJ,거주지역_대전광역시,3.0
202111,OC_AREA_US,거주지역_울산광역시,2.5
202111,OC_AREA_GG,거주지역_경기도,24.3
202111,OC_AREA_GW,거주지역_강원도,2.7
202111,OC_AREA_CHNB,거주지역_충청북도,2.8
202111,OC_AREA_CHNN_SJ,거주지역_충청남도(세종시 포함),4.4
202111,OC_AREA_JLBK,거주지역_전라북도,3.3
202111,OC_AREA_JLNM,거주지역_전라남도,2.8
202111,OC_AREA_GYNB,거주지역_경상북도,4.6
202111,OC_AREA_GYNN,거주지역_경상남도,6.4
202111,OC_AREA_JJ,거주지역_제주특별자치도,1.0
202111,HSHLD_INCOME_300,300만원 미만,11.0
202111,HSHLD_INCOME_300_500,300이상500만원 미만,26.3
202111,HSHLD_INCOME_500_700,500이상700만원 미만,30.1
202111,HSHLD_INCOME_700,700만원 이상,32.7
202111,JOB_SE,자영업,8.0
202111,JOB_SL,판매/서비스직,4.4
202111,JOB_GMW,기능/숙련/일반작업직,4.4
202111,JOB_WC,사무/기술직,50.3
202111,JOB_BM,경영/관리/전문직,7.9
202111,JOB_HW,전업주부,9.5
202111,JOB_GS,대학/대학원생,5.1
202111,JOB_ETC,기타/무직,10.2
202111,MRST_UM,미혼,35.7
202111,MRST_NK,신혼기(자녀 없음),9.0
202111,MRST_KD_EL,자녀 유아&성장(막내 입학전~초등생),21.6
202111,MRST_KD_MD,자녀 성장(막내 중고생),8.9
202111,MRST_KD_CL,자녀 성인(막내 대학),19.7
202111,MRST_KD_MR,자녀 독립(막내 결혼),5.1
202112,SEXDSTN_M,남성,52.5
202112,SEXDSTN_F,여성,47.5
202112,AGRDE_20,20대,19.1
202112,AGRDE_30,30대,23.0
202112,AGRDE_40,40대,23.5
202112,AGRDE_50,50대,21.1
202112,AGRDE_60,60대,13.4
202112,OC_AREA_SU,거주지역_서울특별시,19.6
202112,OC_AREA_BS,거주지역_부산광역시,6.2
202112,OC_AREA_DG,거주지역_대구광역시,5.1
202112,OC_AREA_IC,거주지역_인천광역시,6.0
202112,OC_AREA_GJ,거주지역_광주광역시,3.3
202112,OC_AREA_DJ,거주지역_대전광역시,3.1
202112,OC_AREA_US,거주지역_울산광역시,2.4
202112,OC_AREA_GG,거주지역_경기도,25.0
202112,OC_AREA_GW,거주지역_강원도,2.7
202112,OC_AREA_CHNB,거주지역_충청북도,3.4
202112,OC_AREA_CHNN_SJ,거주지역_충청남도(세종시 포함),4.4
202112,OC_AREA_JLBK,거주지역_전라북도,3.3
202112,OC_AREA_JLNM,거주지역_전라남도,3.3
202112,OC_AREA_GYNB,거주지역_경상북도,4.6
202112,OC_AREA_GYNN,거주지역_경상남도,6.6
202112,OC_AREA_JJ,거주지역_제주특별자치도,1.1
202112,HSHLD_INCOME_300,300만원 미만,11.7
202112,HSHLD_INCOME_300_500,300이상500만원 미만,26.1
202112,HSHLD_INCOME_500_700,500이상700만원 미만,29.9
202112,HSHLD_INCOME_700,700만원 이상,32.3
202112,JOB_SE,자영업,7.6
202112,JOB_SL,판매/서비스직,4.1
202112,JOB_GMW,기능/숙련/일반작업직,4.5
202112,JOB_WC,사무/기술직,49.8
202112,JOB_BM,경영/관리/전문직,8.8
202112,JOB_HW,전업주부,8.8
202112,JOB_GS,대학/대학원생,5.3
202112,JOB_ETC,기타/무직,11.1
202112,MRST_UM,미혼,37.7
202112,MRST_NK,신혼기(자녀 없음),8.2
202112,MRST_KD_EL,자녀 유아&성장(막내 입학전~초등생),20.2
202112,MRST_KD_MD,자녀 성장(막내 중고생),8.8
202112,MRST_KD_CL,자녀 성인(막내 대학),19.3
202112,MRST_KD_MR,자녀 독립(막내 결혼),6.0
202201,SEXDSTN_M,남성,52.3
202201,SEXDSTN_F,여성,47.7
202201,AGRDE_20,20대,18.7
202201,AGRDE_30,30대,18.9
202201,AGRDE_40,40대,21.8
202201,AGRDE_50,50대,22.3
202201,AGRDE_60,60대,18.3
202201,OC_AREA_SU,거주지역_서울특별시,19.0
202201,OC_AREA_BS,거주지역_부산광역시,6.6
202201,OC_AREA_DG,거주지역_대구광역시,4.9
202201,OC_AREA_IC,거주지역_인천광역시,5.3
202201,OC_AREA_GJ,거주지역_광주광역시,2.7
202201,OC_AREA_DJ,거주지역_대전광역시,2.6
202201,OC_AREA_US,거주지역_울산광역시,2.4
202201,OC_AREA_GG,거주지역_경기도,27.4
202201,OC_AREA_GW,거주지역_강원도,3.1
202201,OC_AREA_CHNB,거주지역_충청북도,2.6
202201,OC_AREA_CHNN_SJ,거주지역_충청남도(세종시 포함),4.8
202201,OC_AREA_JLBK,거주지역_전라북도,2.7
202201,OC_AREA_JLNM,거주지역_전라남도,3.5
202201,OC_AREA_GYNB,거주지역_경상북도,4.5
202201,OC_AREA_GYNN,거주지역_경상남도,6.8
202201,OC_AREA_JJ,거주지역_제주특별자치도,1.1
202201,HSHLD_INCOME_300,300만원 미만,11.8
202201,HSHLD_INCOME_300_500,300이상500만원 미만,26.6
202201,HSHLD_INCOME_500_700,500이상700만원 미만,28.9
202201,HSHLD_INCOME_700,700만원 이상,32.8
202201,JOB_SE,자영업,6.7
202201,JOB_SL,판매/서비스직,5.1
202201,JOB_GMW,기능/숙련/일반작업직,6.1
202201,JOB_WC,사무/기술직,44.6
202201,JOB_BM,경영/관리/전문직,9.6
202201,JOB_HW,전업주부,9.8
202201,JOB_GS,대학/대학원생,6.4
202201,JOB_ETC,기타/무직,11.7
202201,MRST_UM,미혼,35.8
202201,MRST_NK,신혼기(자녀 없음),7.7
202201,MRST_KD_EL,자녀 유아&성장(막내 입학전~초등생),18.0
202201,MRST_KD_MD,자녀 성장(막내 중고생),6.8
202201,MRST_KD_CL,자녀 성인(막내 대학),25.7
202201,MRST_KD_MR,자녀 독립(막내 결혼),6.0
202202,SEXDSTN_M,남성,51.8
202202,SEXDSTN_F,여성,48.2
202202,AGRDE_20,20대,19.1
202202,AGRDE_30,30대,19.9
202202,AGRDE_40,40대,21.5
202202,AGRDE_50,50대,21.5
202202,AGRDE_60,60대,18.0
202202,OC_AREA_SU,거주지역_서울특별시,18.2
202202,OC_AREA_BS,거주지역_부산광역시,6.4
202202,OC_AREA_DG,거주지역_대구광역시,5.0
202202,OC_AREA_IC,거주지역_인천광역시,6.6
202202,OC_AREA_GJ,거주지역_광주광역시,2.4
202202,OC_AREA_DJ,거주지역_대전광역시,3.2
202202,OC_AREA_US,거주지역_울산광역시,2.2
202202,OC_AREA_GG,거주지역_경기도,27.6
202202,OC_AREA_GW,거주지역_강원도,2.6
202202,OC_AREA_CHNB,거주지역_충청북도,3.0
202202,OC_AREA_CHNN_SJ,거주지역_충청남도(세종시 포함),4.5
202202,OC_AREA_JLBK,거주지역_전라북도,3.2
202202,OC_AREA_JLNM,거주지역_전라남도,2.8
202202,OC_AREA_GYNB,거주지역_경상북도,4.3
202202,OC_AREA_GYNN,거주지역_경상남도,6.7
202202,OC_AREA_JJ,거주지역_제주특별자치도,1.2
202202,HSHLD_INCOME_300,300만원 미만,11.8
202202,HSHLD_INCOME_300_500,300이상500만원 미만,24.3
202202,HSHLD_INCOME_500_700,500이상700만원 미만,27.9
202202,HSHLD_INCOME_700,700만원 이상,36.0
202202,JOB_SE,자영업,7.8
202202,JOB_SL,판매/서비스직,3.9
202202,JOB_GMW,기능/숙련/일반작업직,4.3
202202,JOB_WC,사무/기술직,45.7
202202,JOB_BM,경영/관리/전문직,10.1
202202,JOB_HW,전업주부,9.5
202202,JOB_GS,대학/대학원생,6.6
202202,JOB_ETC,기타/무직,12.2
202202,MRST_UM,미혼,35.0
202202,MRST_NK,신혼기(자녀 없음),7.6
202202,MRST_KD_EL,자녀 유아&성장(막내 입학전~초등생),17.9
202202,MRST_KD_MD,자녀 성장(막내 중고생),8.1
202202,MRST_KD_CL,자녀 성인(막내 대학),24.7
202202,MRST_KD_MR,자녀 독립(막내 결혼),6.6
202203,SEXDSTN_M,남성,53.1
202203,SEXDSTN_F,여성,46.9
202203,AGRDE_20,20대,18.8
202203,AGRDE_30,30대,19.3
202203,AGRDE_40,40대,22.6
202203,AGRDE_50,50대,20.8
202203,AGRDE_60,60대,18.6
202203,OC_AREA_SU,거주지역_서울특별시,19.8
202203,OC_AREA_BS,거주지역_부산광역시,6.3
202203,OC_AREA_DG,거주지역_대구광역시,4.1
202203,OC_AREA_IC,거주지역_인천광역시,5.8
202203,OC_AREA_GJ,거주지역_광주광역시,3.5
202203,OC_AREA_DJ,거주지역_대전광역시,3.1
202203,OC_AREA_US,거주지역_울산광역시,1.8
202203,OC_AREA_GG,거주지역_경기도,26.0
202203,OC_AREA_GW,거주지역_강원도,2.9
202203,OC_AREA_CHNB,거주지역_충청북도,3.0
202203,OC_AREA_CHNN_SJ,거주지역_충청남도(세종시 포함),4.9
202203,OC_AREA_JLBK,거주지역_전라북도,3.2
202203,OC_AREA_JLNM,거주지역_전라남도,3.3
202203,OC_AREA_GYNB,거주지역_경상북도,4.8
202203,OC_AREA_GYNN,거주지역_경상남도,6.5
202203,OC_AREA_JJ,거주지역_제주특별자치도,1.0
202203,HSHLD_INCOME_300,300만원 미만,12.3
202203,HSHLD_INCOME_300_500,300이상500만원 미만,24.6
202203,HSHLD_INCOME_500_700,500이상700만원 미만,31.2
202203,HSHLD_INCOME_700,700만원 이상,31.9
202203,JOB_SE,자영업,10.0
202203,JOB_SL,판매/서비스직,3.8
202203,JOB_GMW,기능/숙련/일반작업직,5.8
202203,JOB_WC,사무/기술직,44.8
202203,JOB_BM,경영/관리/전문직,8.6
202203,JOB_HW,전업주부,9.2
202203,JOB_GS,대학/대학원생,5.2
202203,JOB_ETC,기타/무직,12.6
202203,MRST_UM,미혼,35.4
202203,MRST_NK,신혼기(자녀 없음),8.4
202203,MRST_KD_EL,자녀 유아&성장(막내 입학전~초등생),16.7
202203,MRST_KD_MD,자녀 성장(막내 중고생),6.5
202203,MRST_KD_CL,자녀 성인(막내 대학),26.7
202203,MRST_KD_MR,자녀 독립(막내 결혼),6.3
202204,SEXDSTN_M,남성,53.5
202204,SEXDSTN_F,여성,46.5
202204,AGRDE_20,20대,20.4
202204,AGRDE_30,30대,19.4
202204,AGRDE_40,40대,20.4
202204,AGRDE_50,50대,21.6
202204,AGRDE_60,60대,18.2
202204,OC_AREA_SU,거주지역_서울특별시,19.1
202204,OC_AREA_BS,거주지역_부산광역시,6.6
202204,OC_AREA_DG,거주지역_대구광역시,4.9
202204,OC_AREA_IC,거주지역_인천광역시,6.4
202204,OC_AREA_GJ,거주지역_광주광역시,3.0
202204,OC_AREA_DJ,거주지역_대전광역시,2.7
202204,OC_AREA_US,거주지역_울산광역시,2.2
202204,OC_AREA_GG,거주지역_경기도,27.7
202204,OC_AREA_GW,거주지역_강원도,2.7
202204,OC_AREA_CHNB,거주지역_충청북도,2.5
202204,OC_AREA_CHNN_SJ,거주지역_충청남도(세종시 포함),4.5
202204,OC_AREA_JLBK,거주지역_전라북도,3.1
202204,OC_AREA_JLNM,거주지역_전라남도,3.0
202204,OC_AREA_GYNB,거주지역_경상북도,5.0
202204,OC_AREA_GYNN,거주지역_경상남도,5.8
202204,OC_AREA_JJ,거주지역_제주특별자치도,0.9
202204,HSHLD_INCOME_300,300만원 미만,10.7
202204,HSHLD_INCOME_300_500,300이상500만원 미만,25.6
202204,HSHLD_INCOME_500_700,500이상700만원 미만,28.8
202204,HSHLD_INCOME_700,700만원 이상,34.9
202204,JOB_SE,자영업,7.0
202204,JOB_SL,판매/서비스직,4.7
202204,JOB_GMW,기능/숙련/일반작업직,5.3
202204,JOB_WC,사무/기술직,48.0
202204,JOB_BM,경영/관리/전문직,9.5
202204,JOB_HW,전업주부,10.0
202204,JOB_GS,대학/대학원생,4.4
202204,JOB_ETC,기타/무직,11.0
202204,MRST_UM,미혼,35.5
202204,MRST_NK,신혼기(자녀 없음),6.9
202204,MRST_KD_EL,자녀 유아&성장(막내 입학전~초등생),17.7
202204,MRST_KD_MD,자녀 성장(막내 중고생),9.5
202204,MRST_KD_CL,자녀 성인(막내 대학),23.5
202204,MRST_KD_MR,자녀 독립(막내 결혼),6.8
202205,SEXDSTN_M,남성,53.5
202205,SEXDSTN_F,여성,46.5
202205,AGRDE_20,20대,18.2
202205,AGRDE_30,30대,20.4
202205,AGRDE_40,40대,21.4
202205,AGRDE_50,50대,22.8
202205,AGRDE_60,60대,17.2
202205,OC_AREA_SU,거주지역_서울특별시,18.3
202205,OC_AREA_BS,거주지역_부산광역시,6.4
202205,OC_AREA_DG,거주지역_대구광역시,4.9
202205,OC_AREA_IC,거주지역_인천광역시,5.7
