SCCNT_DE,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE
20240101,부산여행,여행,국내여행,부산광역시,2121,265,2386
20240101,제주여행,여행,국내여행,제주특별자치도,1708,175,1883
20240101,여수여행,여행,국내여행,전라남도,1327,137,1464
20240101,강릉여행,여행,국내여행,강원도,1042,134,1176
20240101,군산여행,여행,국내여행,전라북도,1090,74,1164
20240101,경주여행,여행,국내여행,경상북도,981,117,1098
20240101,청도여행,여행,국내여행,경상북도,969,46,1015
20240101,전주여행,여행,국내여행,전라북도,742,80,822
20240101,속초여행,여행,국내여행,강원도,674,90,764
20240101,대구여행,여행,국내여행,대구광역시,590,73,663
20240102,부산여행,여행,국내여행,부산광역시,2003,604,2607
20240102,제주여행,여행,국내여행,제주특별자치도,1703,448,2151
20240102,여수여행,여행,국내여행,전라남도,1228,268,1496
20240102,경주여행,여행,국내여행,경상북도,941,269,1210
20240102,강릉여행,여행,국내여행,강원도,868,292,1160
20240102,군산여행,여행,국내여행,전라북도,862,209,1071
20240102,전주여행,여행,국내여행,전라북도,653,211,864
20240102,속초여행,여행,국내여행,강원도,666,185,851
20240102,대구여행,여행,국내여행,대구광역시,604,170,774
20240102,대전여행,여행,국내여행,대전광역시,542,171,713
20240103,부산여행,여행,국내여행,부산광역시,1880,689,2569
20240103,제주여행,여행,국내여행,제주특별자치도,1562,437,1999
20240103,여수여행,여행,국내여행,전라남도,1120,286,1406
20240103,경주여행,여행,국내여행,경상북도,898,328,1226
20240103,강릉여행,여행,국내여행,강원도,828,285,1113
20240103,군산여행,여행,국내여행,전라북도,809,224,1033
20240103,전주여행,여행,국내여행,전라북도,685,202,887
20240103,속초여행,여행,국내여행,강원도,545,229,774
20240103,대전여행,여행,국내여행,대전광역시,545,197,742
20240103,대구여행,여행,국내여행,대구광역시,528,182,710
20240104,부산여행,여행,국내여행,부산광역시,1929,621,2550
20240104,제주여행,여행,국내여행,제주특별자치도,1443,399,1842
20240104,여수여행,여행,국내여행,전라남도,1176,294,1470
20240104,경주여행,여행,국내여행,경상북도,923,278,1201
20240104,군산여행,여행,국내여행,전라북도,879,205,1084
20240104,강릉여행,여행,국내여행,강원도,841,242,1083
20240104,전주여행,여행,국내여행,전라북도,713,190,903
20240104,속초여행,여행,국내여행,강원도,583,222,805
20240104,대구여행,여행,국내여행,대구광역시,601,189,790
20240104,대전여행,여행,국내여행,대전광역시,567,160,727
20240105,부산여행,여행,국내여행,부산광역시,1837,584,2421
20240105,제주여행,여행,국내여행,제주특별자치도,1335,356,1691
20240105,여수여행,여행,국내여행,전라남도,1046,293,1339
20240105,군산여행,여행,국내여행,전라북도,960,209,1169
20240105,경주여행,여행,국내여행,경상북도,806,305,1111
20240105,강릉여행,여행,국내여행,강원도,829,274,1103
20240105,전주여행,여행,국내여행,전라북도,643,171,814
20240105,속초여행,여행,국내여행,강원도,619,192,811
20240105,대구여행,여행,국내여행,대구광역시,588,168,756
20240105,목포여행,여행,국내여행,전라남도,519,171,690
20240106,부산여행,여행,국내여행,부산광역시,2071,244,2315
20240106,제주여행,여행,국내여행,제주특별자치도,1622,167,1789
20240106,여수여행,여행,국내여행,전라남도,1245,140,1385
20240106,군산여행,여행,국내여행,전라북도,1166,103,1269
20240106,경주여행,여행,국내여행,경상북도,1009,126,1135
20240106,강릉여행,여행,국내여행,강원도,976,139,1115
20240106,전주여행,여행,국내여행,전라북도,752,87,839
20240106,속초여행,여행,국내여행,강원도,663,82,745
20240106,대구여행,여행,국내여행,대구광역시,650,87,737
20240106,목포여행,여행,국내여행,전라남도,578,63,641
20240107,부산여행,여행,국내여행,부산광역시,2259,359,2618
20240107,제주여행,여행,국내여행,제주특별자치도,1804,242,2046
20240107,여수여행,여행,국내여행,전라남도,1347,142,1489
20240107,경주여행,여행,국내여행,경상북도,1100,163,1263
20240107,강릉여행,여행,국내여행,강원도,959,144,1103
20240107,군산여행,여행,국내여행,전라북도,913,88,1001
20240107,전주여행,여행,국내여행,전라북도,819,98,917
