행정동,식품위상업소수,음식점수,주점\u00b7비알코올음료점업 수,음식점 비중(%),주점\u00b7비알 비중(%),주점 비중(\uc74c식+\uc8fc점),주점 대비 음식점 비율(%),영업유형 구분
광탄면,256,209,47,81.64,18.36,18.36,22.5,주점중심
교하동,342,243,99,71.05,28.95,28.95,40.7,유흥미림
장단면,7,452,90,6457.14,1285.71,16.61,19.9,유흥미림
금촌1동,542,238,65,43.91,11.99,21.45,27.3,주점중심
금촌2동,303,88,25,29.04,8.25,22.12,28.4,생활상관
금촌3동,113,539,112,476.99,99.12,17.2,20.8,유흥미림
문산읍,651,140,26,21.51,3.99,15.66,18.6,생활상관
법원읍,166,372,134,224.1,80.72,26.48,36.0,유흥미림
운정1동,506,364,89,71.94,17.59,19.65,24.5,주점중심
운정2동,453,483,120,106.62,26.49,19.9,24.8,유흥미림
운정3동,603,150,51,24.88,8.46,25.37,34.0,생활상관
운정4동,201,283,72,140.8,35.82,20.28,25.4,유흥미림
운정5동,355,78,30,21.97,8.45,27.78,38.5,생활상관
운정6동,108,128,20,118.52,18.52,13.51,15.6,주점중심
월롱면,148,4,3,2.7,2.03,42.86,75.0,생활상관
적성면,161,137,24,85.09,14.91,14.91,17.5,주점중심
조리읍,268,223,45,83.21,16.79,16.79,20.2,주점중심
탄현면,416,310,106,74.52,25.48,25.48,34.2,유흥미림
파주읍,148,130,18,87.84,12.16,12.16,13.8,주점중심
파평면,57,49,8,85.96,14.04,14.04,16.3,주점중심
