RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,ALL_TURSM_TOUR_EXPNDTR_INTEN_VALUE,DMSTC_TURSM_TOUR_EXPNDTR_INTEN_VALUE,OVSEA_TURSM_TOUR_EXPNDTR_INTEN_VALUE
"53370025","20250609","F","60대","부산광역시","700만원 이상","비슷하게","약간 더 많이","비슷하게"
"53358527","20250609","F","60대","부산광역시","모름","약간 더 많이","비슷하게","약간 더 많이"
"53352942","20250609","F","60대","부산광역시","300만원 미만","비슷하게","약간 더 적게","비슷하게"
"53337298","20250609","F","60대","부산광역시","700만원 이상","약간 더 많이","약간 더 많이","비슷하게"
"53327780","20250609","F","60대","부산광역시","300이상500만원 미만","비슷하게","비슷하게","비슷하게"
"53348899","20250609","F","60대","부산광역시","모름","비슷하게","훨씬 더 많이","훨씬 더 많이"
"53337328","20250609","F","60대","울산광역시","300이상500만원 미만","약간 더 많이","약간 더 적게","비슷하게"
"53353353","20250609","F","60대","인천광역시","500이상700만원 미만","약간 더 많이","약간 더 많이","약간 더 많이"
"53361596","20250609","F","60대","인천광역시","700만원 이상","비슷하게","약간 더 적게","약간 더 적게"
"53343549","20250609","F","60대","경상남도","300만원 미만","비슷하게","비슷하게","비슷하게"
"53352019","20250609","F","60대","경상남도","500이상700만원 미만","비슷하게","비슷하게","훨씬 더 적게"
"53335168","20250609","F","60대","경상남도","700만원 이상","약간 더 많이","비슷하게","비슷하게"
"53341815","20250609","F","60대","경상남도","700만원 이상","약간 더 많이","약간 더 많이","약간 더 많이"
"53349973","20250609","F","50대","인천광역시","700만원 이상","약간 더 적게","약간 더 많이","약간 더 많이"
"53367358","20250609","F","50대","인천광역시","700만원 이상","훨씬 더 많이","훨씬 더 많이","훨씬 더 많이"
"53340372","20250609","F","50대","인천광역시","700만원 이상","약간 더 많이","비슷하게","약간 더 많이"
"53346757","20250609","F","50대","인천광역시","모름","약간 더 많이","약간 더 많이","약간 더 많이"
"53366848","20250609","F","50대","광주광역시","300이상500만원 미만","약간 더 많이","약간 더 적게","약간 더 많이"
"53360506","20250609","F","50대","광주광역시","300만원 미만","약간 더 많이","약간 더 많이","약간 더 많이"
"53338314","20250609","F","50대","울산광역시","700만원 이상","약간 더 적게","약간 더 적게","훨씬 더 적게"
"53341953","20250609","F","50대","충청북도","모름","비슷하게","약간 더 적게","약간 더 적게"
"53339959","20250609","F","50대","충청북도","모름","비슷하게","약간 더 적게","비슷하게"
"53342777","20250609","F","50대","충청남도(세종시 포함)","300이상500만원 미만","비슷하게","약간 더 많이","약간 더 많이"
"53355696","20250609","F","50대","충청남도(세종시 포함)","500이상700만원 미만","훨씬 더 많이","약간 더 많이","훨씬 더 많이"
"53342840","20250609","F","50대","충청남도(세종시 포함)","500이상700만원 미만","비슷하게","비슷하게","비슷하게"
"53370993","20250609","F","50대","경상북도","300이상500만원 미만","비슷하게","약간 더 적게","약간 더 적게"
"53377315","20250609","F","50대","경상북도","300이상500만원 미만","비슷하게","비슷하게","비슷하게"
"53362761","20250609","F","40대","서울특별시","300이상500만원 미만","비슷하게","약간 더 적게","비슷하게"
"53325324","20250609","F","40대","서울특별시","700만원 이상","약간 더 많이","약간 더 많이","약간 더 많이"
"53332537","20250609","F","40대","서울특별시","300이상500만원 미만","훨씬 더 많이","비슷하게","훨씬 더 많이"
"53371133","20250609","F","40대","서울특별시","700만원 이상","비슷하게","비슷하게","비슷하게"
"53350144","20250609","F","40대","서울특별시","300만원 미만","약간 더 적게","약간 더 적게","훨씬 더 적게"
"53339585","20250609","F","40대","서울특별시","700만원 이상","비슷하게","약간 더 적게","약간 더 많이"
"53363708","20250609","F","40대","서울특별시","모름","약간 더 적게","훨씬 더 적게","훨씬 더 적게"
"53325109","20250609","F","40대","서울특별시","모름","비슷하게","훨씬 더 적게","비슷하게"
"53342053","20250609","F","40대","서울특별시","모름","약간 더 많이","비슷하게","약간 더 많이"
"53337615","20250609","F","40대","부산광역시","모름","비슷하게","비슷하게","비슷하게"
"53353821","20250609","F","40대","부산광역시","500이상700만원 미만","약간 더 많이","약간 더 많이","약간 더 많이"
"53365008","20250609","F","40대","부산광역시","500이상700만원 미만","약간 더 적게","약간 더 적게","훨씬 더 적게"
"53356454","20250609","F","40대","인천광역시","모름","약간 더 많이","약간 더 많이","비슷하게"
"53327697","20250609","F","40대","인천광역시","500이상700만원 미만","약간 더 많이","약간 더 많이","약간 더 많이"
"53326144","20250609","F","40대","인천광역시","모름","훨씬 더 적게","훨씬 더 적게","훨씬 더 적게"
"53377147","20250609","F","40대","대전광역시","모름","약간 더 적게","비슷하게","비슷하게"
"53337570","20250609","F","40대","대전광역시","700만원 이상","비슷하게","약간 더 많이","약간 더 많이"
"53363855","20250609","F","40대","충청남도(세종시 포함)","500이상700만원 미만","비슷하게","약간 더 적게","비슷하게"
"53331357","20250609","F","40대","충청남도(세종시 포함)","500이상700만원 미만","약간 더 많이","약간 더 많이","약간 더 많이"
"53344350","20250609","F","40대","충청남도(세종시 포함)","모름","비슷하게","비슷하게","비슷하게"
"53363355","20250609","F","40대","제주도","300이상500만원 미만","약간 더 많이","약간 더 많이","약간 더 많이"
"53353822","20250609","F","40대","제주도","300이상500만원 미만","약간 더 많이","비슷하게","약간 더 많이"
"53351329","20250609","F","30대","서울특별시","500이상700만원 미만","비슷하게","약간 더 많이","약간 더 많이"
"53347913","20250609","F","30대","서울특별시","모름","약간 더 많이","약간 더 많이","훨씬 더 많이"
"53343889","20250609","F","30대","서울특별시","모름","훨씬 더 많이","훨씬 더 많이","비슷하게"
"53347517","20250609","F","30대","서울특별시","300만원 미만","비슷하게","비슷하게","비슷하게"
"53333323","20250609","F","30대","서울특별시","500이상700만원 미만","약간 더 적게","훨씬 더 적게","훨씬 더 적게"
"53323605","20250609","F","30대","서울특별시","모름","비슷하게","약간 더 적게","비슷하게"
"53352733","20250609","F","30대","부산광역시","500이상700만원 미만","약간 더 적게","약간 더 적게","약간 더 적게"
"53376558","20250609","F","30대","부산광역시","500이상700만원 미만","약간 더 많이","약간 더 많이","비슷하게"
"53349713","20250609","F","30대","대구광역시","300만원 미만","훨씬 더 적게","훨씬 더 적게","훨씬 더 적게"
"53368479","20250609","F","30대","광주광역시","500이상700만원 미만","약간 더 적게","비슷하게","약간 더 적게"
"53335675","20250609","F","30대","충청남도(세종시 포함)","모름","비슷하게","비슷하게","비슷하게"
"53365948","20250609","F","30대","충청남도(세종시 포함)","모름","비슷하게","비슷하게","비슷하게"
"53370331","20250609","F","30대","충청남도(세종시 포함)","700만원 이상","비슷하게","비슷하게","비슷하게"
"53357726","20250609","F","30대","경상북도","모름","약간 더 많이","약간 더 많이","비슷하게"
"53344138","20250609","F","30대","경상북도","모름","약간 더 적게","약간 더 적게","훨씬 더 적게"
"53336074","20250609","F","30대","경상남도","700만원 이상","비슷하게","비슷하게","비슷하게"
"53330853","20250609","F","30대","경상남도","300이상500만원 미만","약간 더 많이","비슷하게","약간 더 많이"
"53329400","20250609","F","30대","경상남도","300만원 미만","비슷하게","비슷하게","비슷하게"
"53356364","20250609","F","30대","경상남도","300만원 미만","약간 더 많이","약간 더 많이","비슷하게"
"53331363","20250609","F","20대","부산광역시","300만원 미만","비슷하게","비슷하게","훨씬 더 많이"
"53344095","20250609","F","20대","강원도","모름","비슷하게","약간 더 많이","약간 더 많이"
"53342619","20250609","F","20대","강원도","모름","약간 더 많이","약간 더 많이","약간 더 많이"
"53332672","20250609","F","20대","전라남도","모름","훨씬 더 적게","훨씬 더 적게","훨씬 더 적게"
"53331154","20250609","F","20대","전라남도","모름","약간 더 많이","약간 더 많이","약간 더 많이"
"457707","20250609","F","20대","전라남도","500이상700만원 미만","약간 더 많이","약간 더 많이","비슷하게"
"53341597","20250609","M","60대","대구광역시","700만원 이상","비슷하게","비슷하게","약간 더 많이"
"53328335","20250609","M","60대","대구광역시","300만원 미만","비슷하게","비슷하게","비슷하게"
"53341747","20250609","M","60대","대구광역시","300만원 미만","비슷하게","비슷하게","비슷하게"
"53356065","20250609","M","60대","광주광역시","300만원 미만","비슷하게","비슷하게","비슷하게"
"53365759","20250609","M","50대","울산광역시","700만원 이상","약간 더 적게","훨씬 더 적게","약간 더 적게"
"53355633","20250609","M","50대","경상북도","700만원 이상","비슷하게","약간 더 적게","비슷하게"
"53349467","20250609","M","50대","경상북도","모름","약간 더 많이","약간 더 많이","약간 더 많이"
"53373468","20250609","M","50대","경상북도","700만원 이상","약간 더 적게","비슷하게","비슷하게"
"53341440","20250609","M","50대","경상북도","500이상700만원 미만","약간 더 적게","약간 더 적게","훨씬 더 적게"
"53342211","20250609","M","40대","서울특별시","500이상700만원 미만","약간 더 적게","비슷하게","훨씬 더 적게"
"53344181","20250609","M","40대","서울특별시","700만원 이상","비슷하게","비슷하게","비슷하게"
"53373442","20250609","M","40대","서울특별시","300이상500만원 미만","약간 더 많이","약간 더 많이","비슷하게"
"53353434","20250609","M","40대","서울특별시","300이상500만원 미만","비슷하게","약간 더 많이","비슷하게"
"53323787","20250609","M","40대","서울특별시","300이상500만원 미만","약간 더 적게","약간 더 많이","비슷하게"
"53365307","20250609","M","40대","서울특별시","700만원 이상","약간 더 많이","약간 더 많이","약간 더 많이"
"53370291","20250609","M","40대","서울특별시","700만원 이상","약간 더 적게","약간 더 적게","약간 더 적게"
"53322823","20250609","M","40대","서울특별시","모름","비슷하게","비슷하게","비슷하게"
"53337752","20250609","M","40대","서울특별시","700만원 이상","약간 더 많이","약간 더 많이","약간 더 많이"
"53322184","20250609","M","40대","서울특별시","700만원 이상","비슷하게","비슷하게","비슷하게"
"53372340","20250609","M","40대","서울특별시","500이상700만원 미만","비슷하게","비슷하게","비슷하게"
"53338320","20250609","M","40대","부산광역시","모름","비슷하게","약간 더 적게","약간 더 많이"
"53357191","20250609","M","40대","부산광역시","300이상500만원 미만","비슷하게","약간 더 많이","비슷하게"
"53362014","20250609","M","40대","인천광역시","700만원 이상","약간 더 많이","약간 더 많이","약간 더 많이"
"53333040","20250609","M","40대","인천광역시","300이상500만원 미만","약간 더 많이","약간 더 많이","약간 더 많이"
"53371350","20250609","M","40대","인천광역시","300만원 미만","약간 더 많이","약간 더 많이","훨씬 더 적게"
"53348653","20250609","M","40대","대전광역시","500이상700만원 미만","약간 더 많이","약간 더 많이","훨씬 더 많이"
"53349783","20250609","M","40대","대전광역시","300이상500만원 미만","비슷하게","비슷하게","비슷하게"
"53362054","20250609","M","40대","울산광역시","700만원 이상","훨씬 더 많이","약간 더 많이","비슷하게"
"53331078","20250609","M","40대","충청남도(세종시 포함)","500이상700만원 미만","약간 더 많이","약간 더 적게","비슷하게"
"53347880","20250609","M","40대","충청남도(세종시 포함)","300이상500만원 미만","약간 더 많이","약간 더 적게","비슷하게"
