RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_COM_NMPR_NM,TOUR_PD_VALUE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
"159401","20241118","10~20만원 미만","3~5만원 미만","5~7만원 미만","1~3만원 미만","1만원 미만","1만원 미만","1만원 미만","강원도","속초시","2명","1박 2일","M","50대","기타","신혼기(자녀 없음)","자영업","300~500만원 미만"
"172192","20241118","모름","모름","모름","모름","모름","모름","모름","서울시","모름","2명","2박 3일","M","20대","미혼","미혼","기타/무직","모름"
"285078","20241118","10~20만원 미만","3~5만원 미만","7~10만원 미만","3~5만원 미만","1만원 미만","1만원 미만","1만원 미만","경상북도","경주시","2명","2박 3일","M","20대","미혼","미혼","사무/기술직","모름"
"306708","20241118","10만원 미만","3~5만원 미만","1~3만원 미만","1만원 미만","1만원 미만","1만원 미만","1만원 미만","경상북도","경주시","모름","1박 2일","M","40대","기혼","자녀 성장(막내 중고생)","기능/숙련/일반작업직","300~500만원 미만"
"319932","20241118","10~20만원 미만","1만원 미만","7~10만원 미만","1~3만원 미만","1~3만원 미만","3~5만원 미만","1만원 미만","강원도","속초시","3명","2박 3일","F","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","300~500만원 미만"
"347608","20241118","10~20만원 미만","3~5만원 미만","3~5만원 미만","3~5만원 미만","1만원 미만","1만원 미만","1만원 미만","대구시","모름","3명","1박 2일","F","20대","기혼","자녀 유아&성장(막내 입학전~초등생)","전업주부","모름"
"365310","20241118","모름","모름","모름","모름","모름","모름","모름","서울시","모름","4명","3박 4일","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","500~700만원 미만"
"384024","20241118","10~20만원 미만","1만원 미만","5~7만원 미만","1~3만원 미만","1~3만원 미만","5~7만원 미만","3~5만원 미만","전라남도","영암군","2명","2박 3일","F","60대 이상","기혼","자녀 성인(막내 대학)","사무/기술직","모름"
"384978","20241118","10~20만원 미만","3~5만원 미만","3~5만원 미만","3~5만원 미만","5~7만원 미만","1만원 미만","1만원 미만","부산시","모름","2명","1박 2일","F","30대","미혼","미혼","기타/무직","모름"
"38610","20241118","모름","모름","모름","모름","모름","모름","모름","인천시","모름","2명","1박 2일","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","500~700만원 미만"
"390530","20241118","40만원 이상","10만원 이상","7~10만원 미만","3~5만원 미만","1만원 미만","1만원 미만","1만원 미만","제주도","구좌읍/대정읍","2명","4박 5일","F","20대","미혼","미혼","기타/무직","모름"
"393569","20241118","모름","모름","모름","모름","모름","모름","모름","대구시","모름","2명","4박 5일","F","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","판매/서비스직","700만원 이상"
"400397","20241118","40만원 이상","10만원 이상","10만원 이상","1만원 미만","1만원 미만","10만원 이상","1만원 미만","경상북도","경주시/포항시","2명","3박 4일","M","30대","기혼","신혼기(자녀 없음)","사무/기술직","300~500만원 미만"
"408249","20241118","모름","모름","모름","모름","모름","모름","모름","경상북도","경주시","2명","3박 4일","F","20대","미혼","미혼","사무/기술직","모름"
"411321","20241118","10~20만원 미만","5~7만원 미만","3~5만원 미만","1~3만원 미만","1만원 미만","1만원 미만","1만원 미만","강원도","춘천시/홍천군","2명","1박 2일","M","20대","미혼","미혼","대학/대학원생","모름"
"411797","20241118","40만원 이상","10만원 이상","10만원 이상","10만원 이상","5~7만원 미만","1만원 미만","1만원 미만","제주도","서귀포시(시내동)","2명","2박 3일","M","20대","미혼","미혼","대학/대학원생","700만원 이상"
"417866","20241118","10~20만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","대구시","모름","2명","3박 4일","M","20대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","300~500만원 미만"
"429940","20241118","20~30만원 미만","1만원 미만","3~5만원 미만","3~5만원 미만","10만원 이상","3~5만원 미만","1만원 미만","경기도","고양시","혼자서","1박 2일","M","20대","미혼","미혼","기능/숙련/일반작업직","모름"
"433835","20241118","20~30만원 미만","3~5만원 미만","7~10만원 미만","3~5만원 미만","1~3만원 미만","1~3만원 미만","3~5만원 미만","부산시","모름","5명 이상","6박 7일 이상","M","20대","미혼","미혼","대학/대학원생","모름"
"434809","20241118","모름","모름","모름","모름","모름","모름","모름","인천시","모름","2명","모름","M","20대","미혼","미혼","대학/대학원생","700만원 이상"
"444579","20241118","10~20만원 미만","5~7만원 미만","5~7만원 미만","1만원 미만","1만원 미만","1~3만원 미만","1만원 미만","부산시","모름","2명","2박 3일","F","20대","기혼","신혼기(자녀 없음)","사무/기술직","700만원 이상"
"444609","20241118","10만원 미만","1만원 미만","5~7만원 미만","1~3만원 미만","1만원 미만","1만원 미만","1만원 미만","서울시","모름","3명","1박 2일","F","20대","미혼","미혼","기타/무직","모름"
"446254","20241118","모름","모름","모름","모름","모름","모름","모름","부산시","모름","3명","1박 2일","F","20대","미혼","미혼","사무/기술직","700만원 이상"
"447441","20241118","40만원 이상","10만원 이상","10만원 이상","10만원 이상","1만원 미만","10만원 이상","1만원 미만","제주도","서귀포시(시내동)","5명 이상","2박 3일","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","모름"
"451823","20241118","모름","모름","모름","모름","모름","모름","모름","울산시","모름","2명","1박 2일","M","20대","미혼","미혼","사무/기술직","모름"
"451994","20241118","10~20만원 미만","1만원 미만","5~7만원 미만","10만원 이상","1만원 미만","1만원 미만","1만원 미만","경상남도","고성군/진주시","2명","1박 2일","F","30대","기혼","자녀 성장(막내 중고생)","사무/기술직","300~500만원 미만"
