기간,기준년월,기초지자체,카테고리중분류명,기초지자체 검색건수
22.10~23.09,202210,파주시,전체,796182
22.10~23.09,202211,파주시,전체,602224
22.10~23.09,202212,파주시,전체,522206
22.10~23.09,202301,파주시,전체,499159
22.10~23.09,202302,파주시,전체,519745
22.10~23.09,202303,파주시,전체,644070
22.10~23.09,202304,파주시,전체,630737
22.10~23.09,202305,파주시,전체,665615
22.10~23.09,202306,파주시,전체,622661
22.10~23.09,202307,파주시,전체,620919
22.10~23.09,202308,파주시,전체,662885
22.10~23.09,202309,파주시,전체,712860
22.10~23.09,202210,파주시,숙박,36409
22.10~23.09,202210,파주시,음식,318804
22.10~23.09,202210,파주시,기타관광,108551
22.10~23.09,202210,파주시,쇼핑,139107
22.10~23.09,202210,파주시,자연관광,11784
22.10~23.09,202210,파주시,문화관광,97604
22.10~23.09,202210,파주시,역사관광,14999
22.10~23.09,202210,파주시,체험관광,2937
22.10~23.09,202210,파주시,레저스포츠,65987
22.10~23.09,202211,파주시,숙박,30016
22.10~23.09,202211,파주시,음식,254954
22.10~23.09,202211,파주시,기타관광,83011
22.10~23.09,202211,파주시,쇼핑,104110
22.10~23.09,202211,파주시,자연관광,6145
22.10~23.09,202211,파주시,문화관광,59446
22.10~23.09,202211,파주시,역사관광,10885
22.10~23.09,202211,파주시,체험관광,2065
22.10~23.09,202211,파주시,레저스포츠,51592
22.10~23.09,202212,파주시,숙박,27490
22.10~23.09,202212,파주시,음식,257028
22.10~23.09,202212,파주시,기타관광,61378
22.10~23.09,202212,파주시,쇼핑,100713
22.10~23.09,202212,파주시,문화관광,46594
22.10~23.09,202212,파주시,역사관광,5579
22.10~23.09,202212,파주시,자연관광,2513
22.10~23.09,202212,파주시,체험관광,1841
22.10~23.09,202212,파주시,레저스포츠,19070
22.10~23.09,202301,파주시,숙박,22423
22.10~23.09,202301,파주시,음식,251586
22.10~23.09,202301,파주시,기타관광,63142
22.10~23.09,202301,파주시,쇼핑,86558
22.10~23.09,202301,파주시,문화관광,45121
22.10~23.09,202301,파주시,역사관광,8708
22.10~23.09,202301,파주시,자연관광,3508
22.10~23.09,202301,파주시,체험관광,2035
22.10~23.09,202301,파주시,레저스포츠,16078
22.10~23.09,202302,파주시,숙박,22332
22.10~23.09,202302,파주시,음식,249294
22.10~23.09,202302,파주시,기타관광,66770
22.10~23.09,202302,파주시,쇼핑,89345
22.10~23.09,202302,파주시,문화관광,49562
22.10~23.09,202302,파주시,역사관광,7151
22.10~23.09,202302,파주시,자연관광,3635
22.10~23.09,202302,파주시,체험관광,2125
22.10~23.09,202302,파주시,레저스포츠,29531
22.10~23.09,202303,파주시,숙박,24441
22.10~23.09,202303,파주시,음식,297077
22.10~23.09,202303,파주시,기타관광,81745
22.10~23.09,202303,파주시,쇼핑,109570
22.10~23.09,202303,파주시,자연관광,5371
22.10~23.09,202303,파주시,문화관광,61808
22.10~23.09,202303,파주시,역사관광,8977
22.10~23.09,202303,파주시,체험관광,2148
22.10~23.09,202303,파주시,레저스포츠,52933
22.10~23.09,202304,파주시,숙박,28808
22.10~23.09,202304,파주시,음식,303135
22.10~23.09,202304,파주시,기타관광,66087
22.10~23.09,202304,파주시,쇼핑,103348
22.10~23.09,202304,파주시,문화관광,64091
22.10~23.09,202304,파주시,역사관광,9737
22.10~23.09,202304,파주시,자연관광,3154
22.10~23.09,202304,파주시,체험관광,2554
22.10~23.09,202304,파주시,레저스포츠,49823
22.10~23.09,202305,파주시,숙박,30639
22.10~23.09,202305,파주시,음식,326714
22.10~23.09,202305,파주시,기타관광,65031
22.10~23.09,202305,파주시,쇼핑,104926
22.10~23.09,202305,파주시,문화관광,70164
22.10~23.09,202305,파주시,역사관광,11656
22.10~23.09,202305,파주시,자연관광,3526
22.10~23.09,202305,파주시,체험관광,2558
22.10~23.09,202305,파주시,레저스포츠,50401
22.10~23.09,202306,파주시,기타관광,63513
22.10~23.09,202306,파주시,쇼핑,87823
22.10~23.09,202306,파주시,숙박,29968
22.10~23.09,202306,파주시,음식,306815
22.10~23.09,202306,파주시,문화관광,66894
22.10~23.09,202306,파주시,역사관광,8754
22.10~23.09,202306,파주시,자연관광,3583
22.10~23.09,202306,파주시,체험관광,2555
22.10~23.09,202306,파주시,레저스포츠,52756
22.10~23.09,202307,파주시,기타관광,58287
22.10~23.09,202307,파주시,쇼핑,86540
22.10~23.09,202307,파주시,숙박,27520
22.10~23.09,202307,파주시,음식,333220
22.10~23.09,202307,파주시,자연관광,2045
22.10~23.09,202307,파주시,문화관광,57616
22.10~23.09,202307,파주시,역사관광,7451
22.10~23.09,202307,파주시,체험관광,2011
22.10~23.09,202307,파주시,레저스포츠,46229
22.10~23.09,202308,파주시,숙박,29023
22.10~23.09,202308,파주시,음식,347792
22.10~23.09,202308,파주시,기타관광,65252
22.10~23.09,202308,파주시,쇼핑,89243
22.10~23.09,202308,파주시,문화관광,69574
22.10~23.09,202308,파주시,역사관광,8915
22.10~23.09,202308,파주시,자연관광,3613
22.10~23.09,202308,파주시,체험관광,1743
22.10~23.09,202308,파주시,레저스포츠,47730
22.10~23.09,202309,파주시,숙박,31438
22.10~23.09,202309,파주시,음식,322357
22.10~23.09,202309,파주시,기타관광,86952
22.10~23.09,202309,파주시,쇼핑,105068
22.10~23.09,202309,파주시,자연관광,7271
22.10~23.09,202309,파주시,문화관광,80767
22.10~23.09,202309,파주시,역사관광,12497
22.10~23.09,202309,파주시,체험관광,2558
22.10~23.09,202309,파주시,레저스포츠,63952
23.10~24.09,202310,파주시,전체,802434
23.10~24.09,202311,파주시,전체,571570
23.10~24.09,202312,파주시,전체,563326
23.10~24.09,202401,파주시,전체,487752
23.10~24.09,202402,파주시,전체,518698
23.10~24.09,202403,파주시,전체,661091
23.10~24.09,202404,파주시,전체,656475
23.10~24.09,202405,파주시,전체,747173
23.10~24.09,202406,파주시,전체,719128
23.10~24.09,202407,파주시,전체,723284
23.10~24.09,202408,파주시,전체,774534
23.10~24.09,202409,파주시,전체,790436
23.10~24.09,202310,파주시,기타관광,102904
23.10~24.09,202310,파주시,쇼핑,133889
23.10~24.09,202310,파주시,숙박,35934
23.10~24.09,202310,파주시,음식,325266
23.10~24.09,202310,파주시,자연관광,13483
23.10~24.09,202310,파주시,문화관광,105406
23.10~24.09,202310,파주시,역사관광,14033
23.10~24.09,202310,파주시,체험관광,2933
23.10~24.09,202310,파주시,레저스포츠,68586
23.10~24.09,202311,파주시,기타관광,64237
23.10~24.09,202311,파주시,쇼핑,97996
23.10~24.09,202311,파주시,숙박,29316
23.10~24.09,202311,파주시,음식,257782
23.10~24.09,202311,파주시,자연관광,4765
23.10~24.09,202311,파주시,문화관광,59429
23.10~24.09,202311,파주시,역사관광,8384
23.10~24.09,202311,파주시,체험관광,1713
23.10~24.09,202311,파주시,레저스포츠,47948
23.10~24.09,202312,파주시,기타관광,57120
23.10~24.09,202312,파주시,쇼핑,96782
23.10~24.09,202312,파주시,숙박,26458
23.10~24.09,202312,파주시,음식,291568
23.10~24.09,202312,파주시,문화관광,58625
23.10~24.09,202312,파주시,역사관광,5904
23.10~24.09,202312,파주시,자연관광,2722
23.10~24.09,202312,파주시,체험관광,1749
23.10~24.09,202312,파주시,레저스포츠,22398
23.10~24.09,202401,파주시,기타관광,53408
23.10~24.09,202401,파주시,쇼핑,75370
23.10~24.09,202401,파주시,숙박,19270
23.10~24.09,202401,파주시,음식,263640
23.10~24.09,202401,파주시,자연관광,2815
23.10~24.09,202401,파주시,문화관광,49017
23.10~24.09,202401,파주시,역사관광,6822
23.10~24.09,202401,파주시,체험관광,1884
23.10~24.09,202401,파주시,레저스포츠,15526
23.10~24.09,202402,파주시,기타관광,58215
23.10~24.09,202402,파주시,문화관광,55757
23.10~24.09,202402,파주시,쇼핑,90399
23.10~24.09,202402,파주시,숙박,18798
23.10~24.09,202402,파주시,음식,258936
23.10~24.09,202402,파주시,자연관광,3285
23.10~24.09,202402,파주시,역사관광,8867
23.10~24.09,202402,파주시,체험관광,2053
23.10~24.09,202402,파주시,레저스포츠,22388
23.10~24.09,202403,파주시,기타관광,71161
23.10~24.09,202403,파주시,문화관광,69279
23.10~24.09,202403,파주시,쇼핑,112136
23.10~24.09,202403,파주시,숙박,24361
23.10~24.09,202403,파주시,음식,318777
23.10~24.09,202403,파주시,자연관광,4993
23.10~24.09,202403,파주시,역사관광,8665
23.10~24.09,202403,파주시,체험관광,2213
23.10~24.09,202403,파주시,레저스포츠,49506
23.10~24.09,202404,파주시,기타관광,70678
23.10~24.09,202404,파주시,문화관광,77713
23.10~24.09,202404,파주시,쇼핑,104175
23.10~24.09,202404,파주시,숙박,28156
23.10~24.09,202404,파주시,음식,293956
23.10~24.09,202404,파주시,자연관광,8187
23.10~24.09,202404,파주시,역사관광,10413
23.10~24.09,202404,파주시,체험관광,2095
23.10~24.09,202404,파주시,레저스포츠,61102
23.10~24.09,202405,파주시,기타관광,76486
23.10~24.09,202405,파주시,쇼핑,107302
23.10~24.09,202405,파주시,숙박,34291
23.10~24.09,202405,파주시,음식,352237
23.10~24.09,202405,파주시,자연관광,8723
23.10~24.09,202405,파주시,문화관광,84630
23.10~24.09,202405,파주시,역사관광,13811
23.10~24.09,202405,파주시,체험관광,2420
23.10~24.09,202405,파주시,레저스포츠,67273
23.10~24.09,202406,파주시,기타관광,69715
23.10~24.09,202406,파주시,쇼핑,97149
23.10~24.09,202406,파주시,숙박,30674
23.10~24.09,202406,파주시,음식,367160
23.10~24.09,202406,파주시,자연관광,7342
23.10~24.09,202406,파주시,문화관광,72914
23.10~24.09,202406,파주시,역사관광,9550
23.10~24.09,202406,파주시,체험관광,2643
23.10~24.09,202406,파주시,레저스포츠,61981
23.10~24.09,202407,파주시,기타관광,55430
23.10~24.09,202407,파주시,쇼핑,81389
23.10~24.09,202407,파주시,숙박,24041
23.10~24.09,202407,파주시,음식,438530
23.10~24.09,202407,파주시,자연관광,4776
23.10~24.09,202407,파주시,문화관광,60504
23.10~24.09,202407,파주시,역사관광,7228
23.10~24.09,202407,파주시,체험관광,1767
23.10~24.09,202407,파주시,레저스포츠,49619
23.10~24.09,202408,파주시,기타관광,61886
23.10~24.09,202408,파주시,쇼핑,91726
23.10~24.09,202408,파주시,숙박,29382
23.10~24.09,202408,파주시,음식,443370
23.10~24.09,202408,파주시,자연관광,6747
23.10~24.09,202408,파주시,문화관광,77433
23.10~24.09,202408,파주시,역사관광,9457
23.10~24.09,202408,파주시,체험관광,1767
23.10~24.09,202408,파주시,레저스포츠,52766
23.10~24.09,202409,파주시,기타관광,72330
23.10~24.09,202409,파주시,쇼핑,115321
23.10~24.09,202409,파주시,숙박,28298
23.10~24.09,202409,파주시,음식,406807
23.10~24.09,202409,파주시,자연관광,6330
23.10~24.09,202409,파주시,문화관광,87781
23.10~24.09,202409,파주시,역사관광,12569
23.10~24.09,202409,파주시,체험관광,2113
23.10~24.09,202409,파주시,레저스포츠,58887
24.10~25.09,202410,파주시,전체,790531
24.10~25.09,202411,파주시,전체,631998
24.10~25.09,202412,파주시,전체,553705
24.10~25.09,202502,파주시,전체,456755
24.10~25.09,202503,파주시,전체,636675
24.10~25.09,202504,파주시,전체,588468
24.10~25.09,202501,파주시,전체,529824
24.10~25.09,202505,파주시,전체,736738
24.10~25.09,202506,파주시,전체,646083
24.10~25.09,202507,파주시,전체,595814
24.10~25.09,202508,파주시,전체,682757
24.10~25.09,202509,파주시,전체,583804
24.10~25.09,202410,파주시,기타관광,78991
24.10~25.09,202410,파주시,쇼핑,115917
24.10~25.09,202410,파주시,숙박,33109
24.10~25.09,202410,파주시,음식,378217
24.10~25.09,202410,파주시,자연관광,3477
24.10~25.09,202410,파주시,문화관광,102172
24.10~25.09,202410,파주시,역사관광,12347
24.10~25.09,202410,파주시,체험관광,2555
24.10~25.09,202410,파주시,레저스포츠,63746
24.10~25.09,202411,파주시,기타관광,68355
24.10~25.09,202411,파주시,쇼핑,102613
24.10~25.09,202411,파주시,숙박,29788
24.10~25.09,202411,파주시,음식,291527
24.10~25.09,202411,파주시,자연관광,2712
24.10~25.09,202411,파주시,문화관광,72168
24.10~25.09,202411,파주시,역사관광,14117
24.10~25.09,202411,파주시,체험관광,2273
24.10~25.09,202411,파주시,레저스포츠,48445
24.10~25.09,202412,파주시,기타관광,48034
24.10~25.09,202412,파주시,쇼핑,101714
24.10~25.09,202412,파주시,숙박,24757
24.10~25.09,202412,파주시,음식,293810
24.10~25.09,202412,파주시,문화관광,52690
24.10~25.09,202412,파주시,역사관광,6028
24.10~25.09,202412,파주시,자연관광,1489
24.10~25.09,202412,파주시,체험관광,1868
24.10~25.09,202412,파주시,레저스포츠,23315
24.10~25.09,202502,파주시,기타관광,42153
24.10~25.09,202502,파주시,쇼핑,75553
24.10~25.09,202502,파주시,숙박,17463
24.10~25.09,202502,파주시,음식,248506
24.10~25.09,202502,파주시,문화관광,45275
24.10~25.09,202502,파주시,역사관광,5852
24.10~25.09,202502,파주시,자연관광,1528
24.10~25.09,202502,파주시,체험관광,1919
24.10~25.09,202502,파주시,레저스포츠,18506
24.10~25.09,202503,파주시,기타관광,61169
24.10~25.09,202503,파주시,쇼핑,115059
24.10~25.09,202503,파주시,숙박,22469
24.10~25.09,202503,파주시,음식,319448
24.10~25.09,202503,파주시,자연관광,2551
24.10~25.09,202503,파주시,문화관광,60746
24.10~25.09,202503,파주시,역사관광,7969
24.10~25.09,202503,파주시,체험관광,2343
24.10~25.09,202503,파주시,레저스포츠,44921
24.10~25.09,202504,파주시,기타관광,58212
24.10~25.09,202504,파주시,쇼핑,89906
24.10~25.09,202504,파주시,숙박,23382
24.10~25.09,202504,파주시,음식,282057
24.10~25.09,202504,파주시,자연관광,3377
24.10~25.09,202504,파주시,문화관광,64800
24.10~25.09,202504,파주시,역사관광,8847
24.10~25.09,202504,파주시,체험관광,1896
24.10~25.09,202504,파주시,레저스포츠,55991
24.10~25.09,202501,파주시,기타관광,48141
24.10~25.09,202501,파주시,쇼핑,94074
24.10~25.09,202501,파주시,숙박,20501
24.10~25.09,202501,파주시,음식,284094
24.10~25.09,202501,파주시,문화관광,50834
24.10~25.09,202501,파주시,역사관광,8656
24.10~25.09,202501,파주시,자연관광,1967
24.10~25.09,202501,파주시,체험관광,2528
24.10~25.09,202501,파주시,레저스포츠,19029
24.10~25.09,202505,파주시,기타관광,74937
24.10~25.09,202505,파주시,문화관광,88570
24.10~25.09,202505,파주시,쇼핑,108184
