시도명,시군구명,발행년월,월별카드발행수량,월별카드충전액,월별카드사용액,관리기관명,관리기관전화번호
경기도,파주시,Jan-21,7290,7177962668,7383664117,경기도 파주시청,031-940-4522
경기도,파주시,Feb-21,12210,6202560872,5890076583,경기도 파주시청,031-940-4522
경기도,파주시,Mar-21,8565,8519169145,8543697205,경기도 파주시청,031-940-4522
경기도,파주시,Apr-21,8553,9117730470,9391042737,경기도 파주시청,031-940-4522
경기도,파주시,May-21,10829,8460224143,7902526614,경기도 파주시청,031-940-4522
경기도,파주시,Jun-21,16942,14372641441,12513976221,경기도 파주시청,031-940-4522
경기도,파주시,Jul-21,5138,11252203091,12481217503,경기도 파주시청,031-940-4522
경기도,파주시,Aug-21,4520,11750433787,11934849497,경기도 파주시청,031-940-4522
경기도,파주시,Sep-21,10373,8527385944,8249068904,경기도 파주시청,031-940-4522
경기도,파주시,Oct-21,9437,9248052976,8794330004,경기도 파주시청,031-940-4522
경기도,파주시,Nov-21,11399,11292912218,10042671635,경기도 파주시청,031-940-4522
경기도,파주시,Dec-21,4539,8583899182,10512246990,경기도 파주시청,031-940-4522
경기도,파주시,Jan-22,3549,13590838948,12221895905,경기도 파주시청,031-940-4522
경기도,파주시,Feb-22,2977,11898114789,11126517889,경기도 파주시청,031-940-4522
경기도,파주시,Mar-22,2828,13046522266,13122720005,경기도 파주시청,031-940-4522
경기도,파주시,Apr-22,3051,13300526119,13624611200,경기도 파주시청,031-940-4522
경기도,파주시,May-22,2818,13707019535,13817283236,경기도 파주시청,031-940-4522
경기도,파주시,Jun-22,2543,13657446025,13393079226,경기도 파주시청,031-940-4522
경기도,파주시,Jul-22,5397,14081854926,13737441378,경기도 파주시청,031-940-4522
경기도,파주시,Aug-22,4362,14200857066,13896232436,경기도 파주시청,031-940-4522
경기도,파주시,Sep-22,4037,13188819473,14641776416,경기도 파주시청,031-940-4522
경기도,파주시,Oct-22,5130,11328837622,12045191073,경기도 파주시청,031-940-4522
경기도,파주시,Nov-22,3501,11060537599,11133850714,경기도 파주시청,031-940-4522
경기도,파주시,Dec-22,3201,8123206583,9591210507,경기도 파주시청,031-940-4522
경기도,파주시,Jan-23,4338,16974252136,12234509189,경기도 파주시청,031-940-4522
경기도,파주시,Feb-23,12285,11968059573,12623194851,경기도 파주시청,031-940-4522
경기도,파주시,Mar-23,57418,13154870013,12046354074,경기도 파주시청,031-940-4522
경기도,파주시,Apr-23,9000,14784976832,15133517539,경기도 파주시청,031-940-4522
경기도,파주시,May-23,5683,19555162944,18103794043,경기도 파주시청,031-940-4522
경기도,파주시,Jun-23,3107,15412049608,16012931910,경기도 파주시청,031-940-4522
경기도,파주시,Jul-23,3328,12082050757,13894471895,경기도 파주시청,031-940-4522
경기도,파주시,Aug-23,2977,11778587034,12397326100,경기도 파주시청,031-940-4522
경기도,파주시,Sep-23,2800,11065588350,11896621431,경기도 파주시청,031-940-4522
경기도,파주시,Oct-23,2702,11495620526,11592889013,경기도 파주시청,031-940-4522
경기도,파주시,Nov-23,2247,10670094232,10360562983,경기도 파주시청,031-940-4522
경기도,파주시,Dec-23,2198,8825856738,10127057702,경기도 파주시청,031-940-4522
경기도,파주시,Jan-24,4969,16560243976,13095386462,경기도 파주시청,031-940-4522
경기도,파주시,Feb-24,4802,29503457382,19037751007,경기도 파주시청,031-940-4522
경기도,파주시,Mar-24,4560,20189107359,21171084393,경기도 파주시청,031-940-4522
경기도,파주시,Apr-24,4188,19425625475,20882199985,경기도 파주시청,031-940-4522
경기도,파주시,May-24,3816,24200253137,22546037945,경기도 파주시청,031-940-4522
경기도,파주시,Jun-24,3026,18785151188,20745631805,경기도 파주시청,031-940-4522
경기도,파주시,Jul-24,4265,19785977455,21038642771,경기도 파주시청,031-940-4522
경기도,파주시,Aug-24,3695,20215364990,21108155935,경기도 파주시청,031-940-4522
경기도,파주시,Sep-24,3796,24623876665,21827358082,경기도 파주시청,031-940-4522
경기도,파주시,Oct-24,4476,20157024454,22117096949,경기도 파주시청,031-940-4522
