연도,월,매출금액(백만원),매출건수(건),누적매출금액(백만원),전월대비 매출증감률(%),전년동월대비 매출증감률(%),3개월 이동평균 매출(백만원),월별 매출비중(%),객단가(만원),객단가(원),건담 이용지수(평균=100),기준월
2023,9,784,31891,784,,,,5.31,2.5,24584,136.5,2023-09-01
2023,10,849,36664,1633,8.29,,,5.75,2.3,23156,156.9,2023-10-01
2023,11,496,17674,2129,-41.58,,709.667,3.36,2.8,28064,75.6,2023-11-01
2023,12,487,14743,2616,-1.81,,610.667,3.3,3.3,33033,63.1,2023-12-01
2024,1,474,14207,3090,-2.67,,485.667,3.21,3.3,33364,60.8,2024-01-01
2024,2,555,17837,3645,17.09,,505.333,3.76,3.1,31115,76.3,2024-02-01
2024,3,698,26992,4343,25.77,,575.667,4.73,2.6,25860,115.5,2024-03-01
2024,4,727,28426,5070,4.15,,660.0,4.92,2.6,25575,121.6,2024-04-01
2024,5,738,28174,5808,1.51,,721.0,5.0,2.6,26194,120.5,2024-05-01
2024,6,701,27502,6509,-5.01,,722.0,4.75,2.5,25489,117.7,2024-06-01
2024,7,519,18285,7028,-25.96,,652.667,3.51,2.8,28384,78.2,2024-07-01
2024,8,692,24878,7720,33.33,,637.333,4.69,2.8,27816,106.4,2024-08-01
2024,9,754,30788,8474,8.96,-3.83,655.0,5.11,2.4,24490,131.7,2024-09-01
2024,10,751,31973,9225,-0.4,-11.54,732.333,5.09,2.3,23489,136.8,2024-10-01
2024,11,617,22411,9842,-17.84,24.4,707.333,4.18,2.8,27531,95.9,2024-11-01
2024,12,502,14507,10344,-18.64,3.08,623.333,3.4,3.5,34604,62.1,2024-12-01
2025,1,546,15515,10890,8.76,15.19,555.0,3.7,3.5,35192,66.4,2025-01-01
2025,2,490,13531,11380,-10.26,-11.71,512.667,3.32,3.6,36213,57.9,2025-02-01
2025,3,682,23180,12062,39.18,-2.29,572.667,4.62,2.9,29422,99.2,2025-03-01
2025,4,619,22062,12681,-9.24,-14.86,597.0,4.19,2.8,28057,94.4,2025-04-01
2025,5,809,31742,13490,30.69,9.62,703.333,5.48,2.5,25487,135.8,2025-05-01
2025,6,697,26287,14187,-13.84,-0.57,708.333,4.72,2.7,26515,112.5,2025-06-01
2025,7,579,18276,14766,-16.93,11.56,695.0,3.92,3.2,31681,78.2,2025-07-01
