기준년월,구분,방문지,방문자 수,방문자 수 비율
202210,전체 외지인,경기도 파주시,6875177,100
202211,전체 외지인,경기도 파주시,5962294,100
202212,전체 외지인,경기도 파주시,5406384,100
202301,전체 외지인,경기도 파주시,5647458,100
202302,전체 외지인,경기도 파주시,5376967,100
202303,전체 외지인,경기도 파주시,6396509,100
202304,전체 외지인,경기도 파주시,5994911,100
202305,전체 외지인,경기도 파주시,6709040,100
202306,전체 외지인,경기도 파주시,6299402,100
202307,전체 외지인,경기도 파주시,6470114,100
202308,전체 외지인,경기도 파주시,6306934,100
202309,전체 외지인,경기도 파주시,6493391,100
202310,전체 외지인,경기도 파주시,6699018,100
202311,전체 외지인,경기도 파주시,5441533,100
202312,전체 외지인,경기도 파주시,5277738,100
202401,전체 외지인,경기도 파주시,5366273,100
202402,전체 외지인,경기도 파주시,5914420,100
202403,전체 외지인,경기도 파주시,6343575,100
202404,전체 외지인,경기도 파주시,5663391,100
202405,전체 외지인,경기도 파주시,6402097,100
202406,전체 외지인,경기도 파주시,5810265,100
202407,전체 외지인,경기도 파주시,5647240,100
202408,전체 외지인,경기도 파주시,6002915,100
202409,전체 외지인,경기도 파주시,6386635,100
202410,전체 외지인,경기도 파주시,6419461,100
202411,전체 외지인,경기도 파주시,5735901,100
202412,전체 외지인,경기도 파주시,5380657,100
202501,전체 외지인,경기도 파주시,5769181,100
202502,전체 외지인,경기도 파주시,5048202,100
202503,전체 외지인,경기도 파주시,6363726,100
202504,전체 외지인,경기도 파주시,5717660,100
202505,전체 외지인,경기도 파주시,6883995,100
202506,전체 외지인,경기도 파주시,6022460,100
202507,전체 외지인,경기도 파주시,6220576,100
202508,전체 외지인,경기도 파주시,6180965,100
202509,전체 외지인,경기도 파주시,6090378,100
