번호,지역,업종,상호,주소,연락처,객실수,기타
구분,지역,업종,상호,주소(도로명),연락처,객실수,기타
1,광탄면,숙박업,CC 호텔,경기도 파주시 광탄면 보광로 834,031-949-6270,26,
2,광탄면,숙박업,우일여관,경기도 파주시 광탄면 혜음로 1130,031-947-0032,6,
3,광탄면,숙박업,시실리,"경기도 파주시 광탄면 보광로 569, 1,2층",010-5260-6338,19,
4,광탄면,숙박업,리멤버 호텔,"경기도 파주시 광탄면 기산로 61-17 (,272-1)",010-3725-223,25,
5,광탄면,숙박업,게이트호텔,"경기도 파주시 광탄면 보광로 505, 2, 3, 4층",031-947-2888,28,
6,광탄면,숙박업,동그라미호텔,경기도 파주시 광탄면 보광로 548,031-949-9975,19,
7,금촌2동,숙박업,호텔뷰티플,경기도 파주시 중앙로 94-9 (금릉동),031-941-3555,30,
8,금촌2동,숙박업,대도여관,경기도 파주시 명동길 50 (금촌동),031-941-2542,8,
9,금촌1동,숙박업,더스테이파주,경기도 파주시 명동길 59-1 (금촌동),031-941-3784,25,
10,금촌1동,숙박업,그라체(Grazie),경기도 파주시 새꽃로 176 (금촌동),031-949-6800,44,
11,금촌1동,숙박업,에스(S)모텔,"경기도 파주시 새꽃로 203 (금촌동,,178,179)",031-942-4293,26,
12,금촌2동,숙박업,호텔인카페 파주점,경기도 파주시 원앙길 8 (금촌동),031-949-2240,47,
13,금촌1동,숙박업,소도 스테이,경기도 파주시 아동로 5-10 (금촌동),031-949-1583,10,
14,금촌1동,숙박업,윈저,경기도 파주시 원앙길 6 (금촌동),031-945-0335,42,
15,금촌1동,숙박업,프롬에이치 소도호텔 파주점,"경기도 파주시 원앙길 8-8, 소도호텔 (금촌동)",031-949-1583,42,
16,금촌1동,숙박업,개성여관,경기도 파주시 중앙로 312-2 (금촌동),031-944-0925,10,
17,금촌1동,숙박업,서울여관,경기도 파주시 아동로 4-2 (금촌동),031-945-4606,9,
18,금촌1동,숙박업,성심모텔,경기도 파주시 아동로 4-3 (금촌동),031-944-8884,12,
19,금촌2동,숙박업,은하,경기도 파주시 금정24길 28 (금촌동),031-941-3297,8,
