업종명,기준년도,상위업종명,현황수
전체,202410,전체,6
전체,202411,전체,5
전체,202412,전체,1
전체,202502,전체,2
전체,202503,전체,1
전체,202504,전체,2
전체,202505,전체,2
전체,202506,전체,3
전체,202507,전체,12
전체,202508,전체,4
전체,202509,전체,5
전체,202410,테마파크업,1
테마파크업(기타),202410,테마파크업,1
전체,202411,테마파크업,1
테마파크업(기타),202411,테마파크업,1
전체,202505,테마파크업,1
테마파크업(기타),202505,테마파크업,1
전체,202507,테마파크업,8
테마파크업(기타),202507,테마파크업,7
일반테마파크업,202507,테마파크업,1
전체,202508,테마파크업,2
일반테마파크업,202508,테마파크업,1
테마파크업(기타),202508,테마파크업,1
전체,202509,테마파크업,1
테마파크업(기타),202509,테마파크업,1
전체,202410,관광객 이용시설업,3
일반야영장업,202410,관광객 이용시설업,2
자동차야영장업,202410,관광객 이용시설업,1
전체,202411,관광객 이용시설업,1
자동차야영장업,202411,관광객 이용시설업,1
전체,202412,관광객 이용시설업,1
자동차야영장업,202412,관광객 이용시설업,1
전체,202502,관광객 이용시설업,1
일반야영장업,202502,관광객 이용시설업,1
전체,202504,관광객 이용시설업,2
일반야영장업,202504,관광객 이용시설업,1
외국인관광도시민박업,202504,관광객 이용시설업,1
전체,202506,관광객 이용시설업,2
일반야영장업,202506,관광객 이용시설업,2
전체,202507,관광객 이용시설업,1
외국인관광도시민박업,202507,관광객 이용시설업,1
전체,202508,관광객 이용시설업,1
외국인관광도시민박업,202508,관광객 이용시설업,1
전체,202509,관광객 이용시설업,1
일반야영장업,202509,관광객 이용시설업,1
전체,202410,여행업,2
국내외여행업,202410,여행업,2
전체,202411,여행업,3
종합여행업,202411,여행업,2
국내여행업,202411,여행업,1
전체,202502,여행업,1
종합여행업,202502,여행업,1
전체,202503,여행업,1
국내외여행업,202503,여행업,1
전체,202505,여행업,1
종합여행업,202505,여행업,1
전체,202506,여행업,1
종합여행업,202506,여행업,1
전체,202507,여행업,3
종합여행업,202507,여행업,1
국내외여행업,202507,여행업,1
국내여행업,202507,여행업,1
전체,202508,여행업,1
국내외여행업,202508,여행업,1
전체,202509,여행업,3
종합여행업,202509,여행업,2
국내외여행업,202509,여행업,1
