업종명,기준년도,상위업종명,현황수
전체,202503,전체,4
전체,202504,전체,7
전체,202505,전체,6
전체,202506,전체,6
전체,202507,전체,1
전체,202509,전체,5
전체,202503,여행업,4
국내외여행업,202503,여행업,2
종합여행업,202503,여행업,2
전체,202504,여행업,6
국내여행업,202504,여행업,3
국내외여행업,202504,여행업,2
종합여행업,202504,여행업,1
전체,202505,여행업,6
국내외여행업,202505,여행업,3
종합여행업,202505,여행업,3
전체,202507,여행업,1
국내외여행업,202507,여행업,1
전체,202509,여행업,2
국내외여행업,202509,여행업,1
국내여행업,202509,여행업,1
전체,202504,테마파크업,1
테마파크업(기타),202504,테마파크업,1
전체,202506,테마파크업,6
테마파크업(기타),202506,테마파크업,6
전체,202509,테마파크업,3
테마파크업(기타),202509,테마파크업,2
일반테마파크업,202509,테마파크업,1
