기준년월,기초지자체,카테고리중분류명,기초지자체 검색건수
202310,파주시,전체,802434
202311,파주시,전체,571570
202312,파주시,전체,563326
202401,파주시,전체,487752
202402,파주시,전체,518698
202403,파주시,전체,661091
202404,파주시,전체,656475
202405,파주시,전체,747173
202406,파주시,전체,719128
202407,파주시,전체,723284
202408,파주시,전체,774534
202409,파주시,전체,790436
202310,파주시,기타관광,102904
202310,파주시,쇼핑,133889
202310,파주시,숙박,35934
202310,파주시,음식,325266
202310,파주시,자연관광,13483
202310,파주시,문화관광,105406
202310,파주시,역사관광,14033
202310,파주시,체험관광,2933
202310,파주시,레저스포츠,68586
202311,파주시,기타관광,64237
202311,파주시,쇼핑,97996
202311,파주시,숙박,29316
202311,파주시,음식,257782
202311,파주시,자연관광,4765
202311,파주시,문화관광,59429
202311,파주시,역사관광,8384
202311,파주시,체험관광,1713
202311,파주시,레저스포츠,47948
202312,파주시,기타관광,57120
202312,파주시,쇼핑,96782
202312,파주시,숙박,26458
202312,파주시,음식,291568
202312,파주시,문화관광,58625
202312,파주시,역사관광,5904
202312,파주시,자연관광,2722
202312,파주시,체험관광,1749
202312,파주시,레저스포츠,22398
202401,파주시,기타관광,53408
202401,파주시,쇼핑,75370
202401,파주시,숙박,19270
202401,파주시,음식,263640
202401,파주시,자연관광,2815
202401,파주시,문화관광,49017
202401,파주시,역사관광,6822
202401,파주시,체험관광,1884
202401,파주시,레저스포츠,15526
202402,파주시,기타관광,58215
202402,파주시,문화관광,55757
202402,파주시,쇼핑,90399
202402,파주시,숙박,18798
202402,파주시,음식,258936
202402,파주시,자연관광,3285
202402,파주시,역사관광,8867
202402,파주시,체험관광,2053
202402,파주시,레저스포츠,22388
202403,파주시,기타관광,71161
202403,파주시,문화관광,69279
202403,파주시,쇼핑,112136
202403,파주시,숙박,24361
202403,파주시,음식,318777
202403,파주시,자연관광,4993
202403,파주시,역사관광,8665
202403,파주시,체험관광,2213
202403,파주시,레저스포츠,49506
202404,파주시,기타관광,70678
202404,파주시,문화관광,77713
202404,파주시,쇼핑,104175
202404,파주시,숙박,28156
202404,파주시,음식,293956
202404,파주시,자연관광,8187
202404,파주시,역사관광,10413
202404,파주시,체험관광,2095
202404,파주시,레저스포츠,61102
202405,파주시,기타관광,76486
202405,파주시,쇼핑,107302
202405,파주시,숙박,34291
202405,파주시,음식,352237
202405,파주시,자연관광,8723
202405,파주시,문화관광,84630
202405,파주시,역사관광,13811
202405,파주시,체험관광,2420
202405,파주시,레저스포츠,67273
202406,파주시,기타관광,69715
202406,파주시,쇼핑,97149
202406,파주시,숙박,30674
202406,파주시,음식,367160
202406,파주시,자연관광,7342
202406,파주시,문화관광,72914
202406,파주시,역사관광,9550
202406,파주시,체험관광,2643
202406,파주시,레저스포츠,61981
202407,파주시,기타관광,55430
202407,파주시,쇼핑,81389
202407,파주시,숙박,24041
202407,파주시,음식,438530
202407,파주시,자연관광,4776
202407,파주시,문화관광,60504
202407,파주시,역사관광,7228
202407,파주시,체험관광,1767
202407,파주시,레저스포츠,49619
202408,파주시,기타관광,61886
202408,파주시,쇼핑,91726
202408,파주시,숙박,29382
202408,파주시,음식,443370
202408,파주시,자연관광,6747
202408,파주시,문화관광,77433
202408,파주시,역사관광,9457
202408,파주시,체험관광,1767
202408,파주시,레저스포츠,52766
202409,파주시,기타관광,72330
202409,파주시,쇼핑,115321
202409,파주시,숙박,28298
202409,파주시,음식,406807
202409,파주시,자연관광,6330
202409,파주시,문화관광,87781
202409,파주시,역사관광,12569
202409,파주시,체험관광,2113
202409,파주시,레저스포츠,58887
