기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
가평군,기타관광,3826503,2.5,335153,8.8
가평군,레저스포츠,3826503,2.5,502540,13.1
가평군,문화관광,3826503,2.5,347569,9.1
가평군,쇼핑,3826503,2.5,10602,0.3
가평군,숙박,3826503,2.5,938373,24.5
가평군,역사관광,3826503,2.5,16444,0.4
가평군,음식,3826503,2.5,1400354,36.6
가평군,자연관광,3826503,2.5,273790,7.2
가평군,체험관광,3826503,2.5,1678,0.0
고양시 덕양구,기타관광,6291583,4.1,327438,5.2
고양시 덕양구,레저스포츠,6291583,4.1,457804,7.3
고양시 덕양구,문화관광,6291583,4.1,478017,7.6
고양시 덕양구,쇼핑,6291583,4.1,1497678,23.8
고양시 덕양구,숙박,6291583,4.1,96359,1.5
고양시 덕양구,역사관광,6291583,4.1,194964,3.1
고양시 덕양구,음식,6291583,4.1,3199443,50.9
고양시 덕양구,자연관광,6291583,4.1,7301,0.1
고양시 덕양구,체험관광,6291583,4.1,32579,0.5
고양시 일산동구,기타관광,4332043,2.8,100369,2.3
고양시 일산동구,레저스포츠,4332043,2.8,99899,2.3
고양시 일산동구,문화관광,4332043,2.8,642589,14.8
고양시 일산동구,쇼핑,4332043,2.8,655028,15.1
고양시 일산동구,숙박,4332043,2.8,173045,4.0
고양시 일산동구,역사관광,4332043,2.8,16961,0.4
고양시 일산동구,음식,4332043,2.8,2634549,60.8
고양시 일산동구,자연관광,4332043,2.8,1077,0.0
고양시 일산동구,체험관광,4332043,2.8,8526,0.2
고양시 일산서구,기타관광,3053941,2.0,65834,2.2
고양시 일산서구,레저스포츠,3053941,2.0,38471,1.3
고양시 일산서구,문화관광,3053941,2.0,1032949,33.8
고양시 일산서구,쇼핑,3053941,2.0,661596,21.7
고양시 일산서구,숙박,3053941,2.0,107614,3.5
고양시 일산서구,역사관광,3053941,2.0,243,0.0
고양시 일산서구,음식,3053941,2.0,1133374,37.1
고양시 일산서구,자연관광,3053941,2.0,2316,0.1
고양시 일산서구,체험관광,3053941,2.0,11544,0.4
과천시,기타관광,1571905,1.0,7932,0.5
과천시,레저스포츠,1571905,1.0,195880,12.5
과천시,문화관광,1571905,1.0,852545,54.2
과천시,쇼핑,1571905,1.0,10437,0.7
과천시,숙박,1571905,1.0,13718,0.9
과천시,역사관광,1571905,1.0,14283,0.9
과천시,음식,1571905,1.0,469773,29.9
과천시,자연관광,1571905,1.0,5315,0.3
과천시,체험관광,1571905,1.0,2022,0.1
광명시,기타관광,3537282,2.3,1543007,43.6
광명시,레저스포츠,3537282,2.3,108057,3.1
광명시,문화관광,3537282,2.3,139202,3.9
광명시,쇼핑,3537282,2.3,451455,12.8
광명시,숙박,3537282,2.3,107558,3.0
광명시,역사관광,3537282,2.3,5430,0.2
광명시,음식,3537282,2.3,1047654,29.6
광명시,자연관광,3537282,2.3,133835,3.8
광명시,체험관광,3537282,2.3,1084,0.0
광주시,기타관광,4103443,2.7,39664,1.0
광주시,레저스포츠,4103443,2.7,536398,13.1
광주시,문화관광,4103443,2.7,511283,12.5
광주시,쇼핑,4103443,2.7,52786,1.3
광주시,숙박,4103443,2.7,258222,6.3
광주시,역사관광,4103443,2.7,130517,3.2
광주시,음식,4103443,2.7,2513160,61.2
광주시,자연관광,4103443,2.7,53751,1.3
광주시,체험관광,4103443,2.7,7662,0.2
구리시,기타관광,2052369,1.3,11212,0.5
구리시,레저스포츠,2052369,1.3,69356,3.4
구리시,문화관광,2052369,1.3,241238,11.8
구리시,쇼핑,2052369,1.3,689995,33.6
구리시,숙박,2052369,1.3,74693,3.6
구리시,역사관광,2052369,1.3,35261,1.7
구리시,음식,2052369,1.3,925649,45.1
구리시,자연관광,2052369,1.3,43,0.0
구리시,체험관광,2052369,1.3,4922,0.2
군포시,기타관광,883415,0.6,5058,0.6
군포시,레저스포츠,883415,0.6,46251,5.2
군포시,문화관광,883415,0.6,89469,10.1
군포시,쇼핑,883415,0.6,165970,18.8
군포시,숙박,883415,0.6,28204,3.2
군포시,역사관광,883415,0.6,5844,0.7
군포시,음식,883415,0.6,493053,55.8
군포시,자연관광,883415,0.6,49314,5.6
군포시,체험관광,883415,0.6,252,0.0
김포시,기타관광,5506610,3.6,22359,0.4
김포시,레저스포츠,5506610,3.6,126646,2.3
김포시,문화관광,5506610,3.6,408261,7.4
김포시,쇼핑,5506610,3.6,1147877,20.8
김포시,숙박,5506610,3.6,288291,5.2
김포시,역사관광,5506610,3.6,36515,0.7
김포시,음식,5506610,3.6,3260460,59.2
김포시,자연관광,5506610,3.6,180035,3.3
김포시,체험관광,5506610,3.6,36166,0.7
남양주시,기타관광,8686888,5.6,552517,6.4
남양주시,레저스포츠,8686888,5.6,360538,4.2
남양주시,문화관광,8686888,5.6,680846,7.8
남양주시,쇼핑,8686888,5.6,1015452,11.7
남양주시,숙박,8686888,5.6,241249,2.8
남양주시,역사관광,8686888,5.6,238286,2.7
남양주시,음식,8686888,5.6,5435466,62.6
남양주시,자연관광,8686888,5.6,102698,1.2
남양주시,체험관광,8686888,5.6,59836,0.7
동두천시,기타관광,626239,0.4,53157,8.5
동두천시,레저스포츠,626239,0.4,33094,5.3
동두천시,문화관광,626239,0.4,55756,8.9
동두천시,쇼핑,626239,0.4,20619,3.3
동두천시,숙박,626239,0.4,46464,7.4
동두천시,역사관광,626239,0.4,3353,0.5
동두천시,음식,626239,0.4,364229,58.2
동두천시,자연관광,626239,0.4,47923,7.7
동두천시,체험관광,626239,0.4,1644,0.3
부천시,기타관광,998123,0.6,42956,4.3
부천시,레저스포츠,998123,0.6,5865,0.6
부천시,문화관광,998123,0.6,162916,16.3
부천시,쇼핑,998123,0.6,306869,30.7
부천시,숙박,998123,0.6,39902,4.0
부천시,역사관광,998123,0.6,5822,0.6
부천시,음식,998123,0.6,431445,43.2
부천시,자연관광,998123,0.6,1767,0.2
부천시,체험관광,998123,0.6,581,0.1
부천시 소사구,레저스포츠,549431,0.4,3309,0.6
부천시 소사구,문화관광,549431,0.4,73166,13.3
부천시 소사구,쇼핑,549431,0.4,241357,43.9
부천시 소사구,숙박,549431,0.4,2896,0.5
부천시 소사구,역사관광,549431,0.4,5355,1.0
