기초지자체,검색건수
수원시 장안구,2641877
수원시 권선구,3280462
수원시 팔달구,3110216
수원시 영통구,3259460
성남시 수정구,1623940
성남시 중원구,584489
성남시 분당구,6037157
의정부시,2599586
안양시 만안구,1061050
안양시 동안구,1630532
부천시 원미구,2620674
부천시 소사구,704926
부천시 오정구,517125
광명시,3303071
평택시,4530468
동두천시,567572
안산시 상록구,1183408
안산시 단원구,3013951
고양시 덕양구,5774805
고양시 일산동구,4092717
고양시 일산서구,2941906
과천시,1628531
구리시,1983429
남양주시,8068406
오산시,1782824
시흥시,4511681
군포시,768312
의왕시,2134928
하남시,5241775
용인시 처인구,5766192
용인시 기흥구,4227339
용인시 수지구,2571997
파주시,7433152
이천시,3213008
안성시,3176790
김포시,5165308
화성시,9643684
광주시,3856905
양주시,2672836
포천시,3569861
여주시,3398973
연천군,862197
가평군,3365415
양평군,2693690
