기준년월,기초지자체,중분류,소비액(천원)
202210,파주시,관광총소비,2592974.0
202211,파주시,관광총소비,1981412.0
202212,파주시,관광총소비,2097593.0
202301,파주시,관광총소비,1609450.0
202302,파주시,관광총소비,1310849.0
202303,파주시,관광총소비,2246030.0
202304,파주시,관광총소비,2756724.0
202305,파주시,관광총소비,3052248.0
202306,파주시,관광총소비,2618751.0
202307,파주시,관광총소비,2177644.0
202308,파주시,관광총소비,2303840.0
202309,파주시,관광총소비,2324124.0
202210,파주시,호텔,25307.0
202210,파주시,캠핑장/펜션,1603.0
202210,파주시,기타숙박,149995.0
202210,파주시,육상운송,29274.0
202210,파주시,렌터카,700.0
202210,파주시,대형쇼핑몰,1502093.0
202210,파주시,레저용품쇼핑,9717.0
202210,파주시,기타관광쇼핑,391297.0
202210,파주시,관광유원시설,1714.0
202210,파주시,골프장,49263.0
202210,파주시,기타레저,16151.0
202210,파주시,문화서비스,1095.0
202210,파주시,의료관광,36302.0
202210,파주시,뷰티,137414.0
202210,파주시,일반외식업,200738.0
202210,파주시,제과음료업,40310.0
202211,파주시,호텔,17157.0
202211,파주시,캠핑장/펜션,310.0
202211,파주시,기타숙박,118269.0
202211,파주시,육상운송,19081.0
202211,파주시,렌터카,0.0
202211,파주시,대형쇼핑몰,1072851.0
202211,파주시,레저용품쇼핑,18457.0
202211,파주시,기타관광쇼핑,298129.0
202211,파주시,관광유원시설,975.0
202211,파주시,골프장,24696.0
202211,파주시,기타레저,11886.0
202211,파주시,문화서비스,1247.0
202211,파주시,의료관광,30422.0
202211,파주시,뷰티,141523.0
202211,파주시,일반외식업,193575.0
202211,파주시,제과음료업,32832.0
202212,파주시,호텔,13123.0
202212,파주시,기타숙박,98510.0
202212,파주시,여행업,1540.0
202212,파주시,육상운송,27467.0
202212,파주시,렌터카,1100.0
202212,파주시,대형쇼핑몰,1174935.0
202212,파주시,레저용품쇼핑,14279.0
202212,파주시,기타관광쇼핑,402099.0
202212,파주시,관광유원시설,1269.0
202212,파주시,골프장,11914.0
202212,파주시,기타레저,14713.0
202212,파주시,문화서비스,1801.0
202212,파주시,의료관광,22868.0
202212,파주시,뷰티,107828.0
202212,파주시,일반외식업,169595.0
202212,파주시,제과음료업,34553.0
202301,파주시,호텔,19344.0
202301,파주시,기타숙박,114291.0
202301,파주시,육상운송,18495.0
202301,파주시,대형쇼핑몰,897265.0
202301,파주시,레저용품쇼핑,5816.0
202301,파주시,기타관광쇼핑,301592.0
202301,파주시,관광유원시설,734.0
202301,파주시,골프장,6338.0
202301,파주시,기타레저,9135.0
202301,파주시,문화서비스,838.0
